Normal_ENG,Normal_m,Normal_Deep,Simple_ENG,Simple_m,Simple_Deep
"Kansas is an American rock band which became popular in the 1970s , with hit singles such as `` Carry On Wayward Son '' and `` Dust in the Wind '' .
","Kansas è una band rock statunitense che è diventata popolare negli anni '70 , con singoli di successo come Carry On Wayward Son '"" e Dust in the Wind '.""","I Kansas sono un gruppo rock americano che ha raggiunto la popolarità negli anni Settanta, con singoli di successo come ""Carry On Wayward Son"" e ""Dust in the Wind"".
","They are best known for songs including `` Carry on Wayward Son '' and `` Dust in The Wind '' .
","Essi sono più noti per le canzoni tra cui Carry on Wayward Son '"" e Dust in The Wind '' .","Sono noti soprattutto per canzoni come ""Carry on Wayward Son"" e ""Dust in The Wind"".
"
"TU Dresden is a campus university in most aspects .
",TU Dresda è un'università del campus nella maggior parte degli aspetti.,"La TU di Dresda è un'università campus sotto molti aspetti.
","TU Dresden is a campus university , This means that most of its buildings are in one area rather than being spread out across the city .
","TU Dresda è un'università del campus , Questo significa che la maggior parte dei suoi edifici sono in una zona piuttosto che essere sparsi in tutta la città .","La TU di Dresda è un campus universitario, il che significa che la maggior parte degli edifici si trova in un'unica area anziché essere sparsi per la città.
"
"Its county seat is Lenoir .
",Il capoluogo di contea è Lenoir.,"La sede della contea è Lenoir .
","Its county seat is Lenoir .
",Il capoluogo di contea è Lenoir.,"La sede della contea è Lenoir .
"
"On September 21 , 2009 , CNET reported that Warner Music Group had possibly struck a new deal with YouTube and WMG videos may start appearing back on YouTube within weeks . It was confirmed on Warner Music Group News and the YouTube Blog on September 29 , 2009 that YouTube and Warner Music Group were in a multi-year deal with the two .
","Il 21 settembre 2009 , CNET ha riferito che Warner Music Group aveva probabilmente raggiunto un nuovo accordo con YouTube e WMG video possono iniziare a comparire di nuovo su YouTube entro settimane . E 'stato confermato su Warner Music Group News e il Blog YouTube il 29 settembre 2009 che YouTube e Warner Music Group sono stati in un contratto pluriennale con i due .","Il 21 settembre 2009, CNET ha riferito che Warner Music Group ha probabilmente raggiunto un nuovo accordo con YouTube e che i video di WMG potrebbero iniziare ad apparire nuovamente su YouTube entro poche settimane. Il 29 settembre 2009, Warner Music Group News e il blog di YouTube hanno confermato che YouTube e Warner Music Group hanno concluso un accordo pluriennale.
","In September 2009 , both Warner Music Group and Youtube decided on a new amount of money .
","Nel settembre 2009 , sia Warner Music Group che Youtube hanno deciso una nuova somma di denaro .","Nel settembre 2009, sia Warner Music Group che Youtube hanno deciso una nuova somma di denaro.
"
"The sea is one of the most seismic areas in the world .
",Il mare è una delle aree più sismiche del mondo.,"Il mare è una delle zone più sismiche del mondo.
","The sea is one of the most seismic areas in the world .
",Il mare è una delle aree più sismiche del mondo.,"Il mare è una delle zone più sismiche del mondo.
"
"Alfonso Pérez Muñoz , usually referred to as Alfonso , is a former Spanish footballer , in the striker position .
","Alfonso Pérez Muñoz , di solito indicato come Alfonso , è un ex calciatore spagnolo , nella posizione di attaccante .","Alfonso Pérez Muñoz, solitamente indicato come Alfonso, è un ex calciatore spagnolo, di ruolo attaccante.
","Alfonso Pérez is a former Spanish football player .
",Alfonso Pérez è un ex calciatore spagnolo.,"Alfonso Pérez è un ex calciatore spagnolo.
"
"In the United States and some other countries , landmarks may be called `` historic shrines . '' Notable shrines of this type include :
","Negli Stati Uniti e in alcuni altri paesi , i punti di riferimento possono essere chiamati santuari storici . ' ' Notevoli santuari di questo tipo includono:","Negli Stati Uniti e in alcuni altri paesi, i punti di riferimento possono essere chiamati ""santuari storici"". Tra i santuari di questo tipo ricordiamo :
","Shrines are common in Muslim countries .
",I santuari sono comuni nei paesi musulmani.,"I santuari sono comuni nei paesi musulmani.
"
"Archaeological digs in 1885 and 1944 have uncovered stilt houses from the Stone and Bronze Ages .
",Gli scavi archeologici del 1885 e del 1944 hanno scoperto le case dei trampoli dell'Età della Pietra e del Bronzo.,"Gli scavi archeologici del 1885 e del 1944 hanno portato alla luce palafitte dell'età della pietra e del bronzo.
","Archaeological digs in 1885 and 1944 have uncovered stilt houses from the Stone and Bronze Ages .
",Gli scavi archeologici del 1885 e del 1944 hanno scoperto le case dei trampoli dell'Età della Pietra e del Bronzo.,"Gli scavi archeologici del 1885 e del 1944 hanno portato alla luce palafitte dell'età della pietra e del bronzo.
"
"The umbrella of the Evangelical Church in Germany comprises 22 regional churches , two Reformed , nine Lutheran and 11 united bodies .
","L'ombrello della Chiesa evangelica in Germania comprende 22 chiese regionali , due Riformati , nove Luterani e 11 corpi uniti .","L'ombrello della Chiesa evangelica in Germania comprende 22 chiese regionali, due riformate, nove luterane e 11 organismi uniti.
","The Evangelical Church in Germany is a series of 23 regional Lutheran , Reformed and United Protestant churches .
","La Chiesa evangelica in Germania è una serie di 23 chiese protestanti regionali luterane, riformate e unite.","La Chiesa evangelica in Germania è una serie di 23 chiese regionali luterane, riformate e protestanti unite.
"
"Originally setup as the National Air Traffic Control Services in 1962 , bringing together responsibility for the UK 's existing military and civil Air Traffic Control services , the organization became National Air Traffic Services when responsibility for sponsoring the civil air traffic service component was transferred to the newly formed UK Civil Aviation Authority in 1972 .
","Originariamente istituito come National Air Traffic Control Services nel 1962 , che riunisce la responsabilità per il Regno Unito 's esistenti militari e civili servizi di controllo del traffico aereo , l'organizzazione è diventata National Air Traffic Services quando la responsabilità di sponsorizzare la componente di traffico aereo civile è stato trasferito alla nuova forma UK Civil Aviation Authority nel 1972 .","Nata come National Air Traffic Control Services nel 1962, che riuniva la responsabilità dei servizi di controllo del traffico aereo militare e civile esistenti nel Regno Unito, l'organizzazione è diventata National Air Traffic Services quando la responsabilità di sponsorizzare la componente civile del servizio di traffico aereo è stata trasferita alla neonata UK Civil Aviation Authority nel 1972.
","Before 2001 the Civil Aviation Authority handled air traffic control .
",Prima del 2001 l' Autorità per l' aviazione civile ha gestito il controllo del traffico aereo .,"Prima del 2001 l'Autorità per l'aviazione civile si occupava del controllo del traffico aereo.
"
"Iraq 's egress to the gulf is narrow and easily blockaded consisting of the marshy river delta of the Shatt al-Arab , which carries the waters of the Euphrates and the Tigris Rivers , where the left bank is held by Iran .
","L'uscita dell'Iraq verso il golfo è stretta e facilmente bloccata costituita dal delta del fiume paludoso dello Shatt al-Arab, che trasporta le acque dell'Eufrate e dei fiumi Tigri, dove la riva sinistra è detenuta dall'Iran.","L'ingresso dell'Iraq nel golfo è stretto e facilmente bloccabile: si tratta del delta paludoso del fiume Shatt al-Arab, che trasporta le acque dell'Eufrate e del Tigri, la cui sponda sinistra è tenuta dall'Iran.
","On the west , it connects a major river delta of Shatt al-Arab . In this river delta , waters of two big rivers of the area flow into : the waters of the Euphrates and the Tigris rivers .
","A ovest, collega un grande delta del fiume di Shatt al-Arab. In questo delta del fiume, le acque di due grandi fiumi dell'area confluiscono in: le acque dell'Eufrate e dei fiumi Tigri.","A ovest, collega un importante delta fluviale dello Shatt al-Arab. In questo delta fluviale confluiscono le acque di due grandi fiumi della zona: le acque dell'Eufrate e del Tigri.
"
"At Judgment Day James successfully defended her title against Melina and Beth Phoenix in a triple-threat match .
",Al Giorno del Giudizio James difese con successo il suo titolo contro Melina e Beth Phoenix in un match a tre minacce.,"A Judgment Day la James ha difeso con successo il titolo contro Melina e Beth Phoenix in un triple-threat match.
","At Judgment Day James successfully defended the Women 's Championship against Phoenix and Melina in a Triple Threat match .
",A Judge Day James ha difeso con successo il Campionato delle Donne contro Phoenix e Melina in un Triple Threat match.,"A Judgment Day James ha difeso con successo il Women's Championship contro Phoenix e Melina in un Triple Threat match.
"
"In the United Kingdom , civil partnerships were introduced in 2005 . The law gives civil partners the same benefits and associated legal rights of marriage ; ranging from tax exemptions and joint property rights , to next-of-kin status and shared parenting responsibilities .
","Nel Regno Unito , le società civili sono state introdotte nel 2005 . La legge conferisce ai partner civili gli stessi benefici e i relativi diritti legali del matrimonio; vanno dalle esenzioni fiscali e dai diritti di proprietà congiunta , allo status di parente prossimo e alle responsabilità genitoriali condivise .","Nel Regno Unito le unioni civili sono state introdotte nel 2005. La legge conferisce ai partner civili gli stessi benefici e gli stessi diritti legali del matrimonio, dalle esenzioni fiscali ai diritti di proprietà comune, dallo status di parente prossimo alle responsabilità genitoriali condivise.
","In the United Kingdom , civil partnerships have identical legal status to a marriage , and partners have all the same benefits and legal rights ; ranging from tax exemptions and joint property rights , to next-of-kin status and shared parenting responsibilities .
","Nel Regno Unito , le unioni civili hanno lo stesso status giuridico di un matrimonio , e i partner hanno tutti gli stessi vantaggi e diritti legali; vanno dalle esenzioni fiscali e dai diritti di proprietà congiunta , allo status di parente prossimo e alle responsabilità genitoriali condivise .","Nel Regno Unito, le unioni civili hanno uno status giuridico identico a quello del matrimonio e i partner godono di tutti gli stessi benefici e diritti legali, dalle esenzioni fiscali ai diritti di proprietà congiunti, dallo status di parente prossimo alle responsabilità genitoriali condivise.
"
"Bursa has twenty sister cities .
",Bursa ha venti città sorelle.,"Bursa ha venti città gemelle.
","Sometimes the city calls `` Yeşil Bursa '' which means `` Green Bursa '' because of the large parks , forests and gardens in the urban area of the city . Bursa is home of Uludağ University .
","A volte la città chiama Yeşil Bursa ' ' ', che significa Bursa verde ', a causa dei grandi parchi , foreste e giardini nella zona urbana della città . Bursa è la sede dell' Università Uludağ .","A volte la città viene chiamata ""Yeşil Bursa"", che significa ""Bursa verde"" a causa dei grandi parchi, foreste e giardini presenti nell'area urbana della città. Bursa è sede dell'Università Uludağ.
"
"She was 36 years old .
",Aveva 36 anni.,"Aveva 36 anni.
","She was 36 years old .
",Aveva 36 anni.,"Aveva 36 anni.
"
"The Port of Manchester in north west England was created as a customs port on 1 January 1894 , four months before the opening of the Manchester Ship Canal transformed Manchester from a landlocked city into a major sea port .
","Il porto di Manchester nel nord-ovest dell'Inghilterra è stato creato come un porto doganale il 1o gennaio 1894, quattro mesi prima dell'apertura del Manchester Ship Canal trasformato Manchester da una città senza sbocco sul mare in un grande porto marittimo.","Il porto di Manchester, nel nord-ovest dell'Inghilterra, è stato creato come porto doganale il 1° gennaio 1894, quattro mesi prima che l'apertura del Manchester Ship Canal trasformasse Manchester da città senza sbocco sul mare in un importante porto marittimo.
","It was created as a customs port on 1 January 1894 . THis was four months before the opening of the Manchester Ship Canal transformed Manchester from a landlocked city into a major sea port .
",È stato creato come un porto doganale il 1o gennaio 1894 . THis era quattro mesi prima dell'apertura del Manchester Ship Canal trasformato Manchester da una città senza sbocco sul mare in un grande porto marittimo .,"Fu creato come porto doganale il 1° gennaio 1894. Ciò avvenne quattro mesi prima che l'apertura del Manchester Ship Canal trasformasse Manchester da città senza sbocchi sul mare in un importante porto marittimo.
"
"Hofstetten-Fl üh is a municipality in the district of Dorneck in the canton of Solothurn in Switzerland .
",Hofstetten-Fl üh è un comune del Canton Solothurn di 724 abitanti.,"Hofstetten-Fl üh è un comune del distretto di Dorneck, nel cantone di Soletta, in Svizzera.
","Hofstetten-Fl üh is a municipality in the district Dorneck in the canton of Solothurn in Switzerland .
",Hofstetten-Fl üh è un comune svizzero del Canton Soletta.,"Hofstetten-Fl üh è un comune del distretto di Dorneck, nel cantone di Soletta, in Svizzera.
"
"See also List of places in Rhineland-Palatinate .
",Vedi anche Elenco dei luoghi in Renania-Palatinato .,"Vedi anche Elenco delle località della Renania-Palatinato .
","Rhineland-Palatinate is a parliamentary democracy . Every five years , all Germans over the age of 18 elect the members of the Rhineland-Palatinate Parliament .
","La Renania-Palatinato è una democrazia parlamentare . Ogni cinque anni , tutti i tedeschi di età superiore ai 18 anni eleggono i membri del parlamento della Renania-Palatinato .","La Renania-Palatinato è una democrazia parlamentare. Ogni cinque anni, tutti i tedeschi di età superiore ai 18 anni eleggono i membri del Parlamento della Renania-Palatinato.
"
"Tropical Storm Zeta was a late-developing tropical storm over the central Atlantic which formed after the 2005 Atlantic hurricane season had officially ended , and continued into January .
","Tropical Storm Zeta è stata una tempesta tropicale in ritardo sviluppo sull'Atlantico centrale che si è formata dopo la stagione dell'uragano Atlantico 2005 era ufficialmente terminata , e ha continuato a gennaio .","La tempesta tropicale Zeta è stata una tempesta tropicale a sviluppo tardivo sull'Atlantico centrale, formatasi dopo la fine ufficiale della stagione degli uragani atlantici del 2005 e proseguita fino a gennaio.
","Tropical Storm Zeta was the twenty-eighth and last storm of the 2005 Atlantic hurricane season .
",Tempesta tropicale Zeta è stato il ventottosimo e l'ultima tempesta della stagione dell'uragano Atlantico 2005.,"La tempesta tropicale Zeta è stata la ventottesima e ultima tempesta della stagione atlantica 2005.
"
"A hellhound is a supernatural dog , found in mythology , folklore and fiction .
","Un segugio infernale è un cane soprannaturale, trovato nella mitologia, nel folklore e nella finzione.","Il segugio infernale è un cane soprannaturale, presente nella mitologia, nel folklore e nella narrativa.
","A hellhound is a supernatural dog , found in mythology , folklore and fiction .
","Un segugio infernale è un cane soprannaturale, trovato nella mitologia, nel folklore e nella finzione.","Il segugio infernale è un cane soprannaturale, presente nella mitologia, nel folklore e nella narrativa.
"
"Greene agreed that she could earn more by breaking away from 20th Century Fox .
",Greene ha convenuto che potrebbe guadagnare di più rompendo da 20th Century Fox.,"Greene era d'accordo sul fatto che avrebbe potuto guadagnare di più staccandosi dalla 20th Century Fox.
","Greene agreed that she could earn more by leaving 20th Century Fox .
",Greene ha convenuto che potrebbe guadagnare di più lasciando 20th Century Fox .,"Greene ha convenuto che avrebbe potuto guadagnare di più lasciando la 20th Century Fox.
"
"The glacier flows at a rate of 20 - per day , resulting in around 20 billion tonnes of icebergs calved off and passing out of the fjord every year . Icebergs breaking from the glacier are often so large that they are too tall to float down the fjord and lie stuck on the bottom of its shallower areas , sometimes for years , until they are broken up by the force of the glacier and icebergs further up the fjord .
","Il ghiacciaio scorre ad un ritmo di 20 - al giorno , risultando in circa 20 miliardi di tonnellate di iceberg scolpiti e sfilando fuori dal fiordo ogni anno . Icebergs che si staccano dal ghiacciaio sono spesso così grandi che sono troppo alti per galleggiare giù dal fiordo e si trovano bloccati sul fondo delle sue zone più basse , a volte per anni , fino a quando non vengono disgregati dalla forza del ghiacciaio e icebergs più in alto il fiordo .","Il ghiacciaio scorre a un ritmo di 20 tonnellate al giorno, con il risultato che circa 20 miliardi di tonnellate di iceberg si staccano e passano fuori dal fiordo ogni anno. Gli iceberg che si staccano dal ghiacciaio sono spesso così grandi che sono troppo alti per galleggiare lungo il fiordo e rimangono bloccati sul fondo delle aree meno profonde, a volte per anni, fino a quando non vengono spezzati dalla forza del ghiacciaio e degli iceberg che risalgono il fiordo.
","The glacier flows at a rate of 20-35 metres per day , resulting in around 20 billion tons of icebergs breaking off and leaving the fjord every year .
","Il ghiacciaio scorre ad una velocità di 20-35 metri al giorno , con conseguente circa 20 miliardi di tonnellate di iceberg che si staccano e lasciano il fiordo ogni anno .","Il ghiacciaio scorre a un ritmo di 20-35 metri al giorno, con il risultato che ogni anno circa 20 miliardi di tonnellate di iceberg si staccano e lasciano il fiordo.
"
"Brightness and hope and devotion . ''
","Luminosità, speranza e devozione.","Luminosità, speranza e devozione. ''
","Brightness and hope and devotion . ''
","Luminosità, speranza e devozione.","Luminosità, speranza e devozione. ''
"
"The population was 144 at the 2000 census .
",La popolazione al censimento del 2000 era di 144 abitanti.,"La popolazione era di 144 abitanti al censimento del 2000.
","The population was 144 .
",==Evoluzione demografica==== Altri progetti ==== Note ==,"La popolazione era di 144 persone.
"
"Founding members of the Premier League are shown in italics .
",I membri fondatori della Premier League sono mostrati in corsivo.,"I membri fondatori della Premier League sono indicati in corsivo.
","Founding members of the Premier League are shown in italics .
",I membri fondatori della Premier League sono mostrati in corsivo.,"I membri fondatori della Premier League sono indicati in corsivo.
"
"The areas to show ` white ' are cut away with a knife or chisel , leaving the characters or image to show in ` black ' at the original surface level .
","Le aree da mostrare sono tagliate via con un coltello o uno scalpello, lasciando i caratteri o l'immagine da mostrare in nero al livello di superficie originale.","Le aree da mostrare ""bianche"" vengono tagliate via con un coltello o uno scalpello, lasciando i caratteri o l'immagine in ""nero"" al livello della superficie originale.
","The areas that will show ` white ' are cut away with a knife or chisel . This leaves behind the image to show in ` black ' at the original surface level .
",Le aree che mostreranno il bianco sono tagliate via con un coltello o uno scalpello. Questo lascia alle spalle l'immagine da mostrare in nero al livello di superficie originale.,"Le aree che mostreranno il ""bianco"" vengono tagliate via con un coltello o uno scalpello. Questo lascia dietro di sé l'immagine da mostrare in ""nero"" al livello della superficie originale.
"
"Grand View is a city in Owyhee County , Idaho , United States .
","Grand View è una città degli Stati Uniti d'America , capoluogo della contea di Owyhee.","Grand View è una città della contea di Owyhee, nell'Idaho, negli Stati Uniti.
","Grand View is a city of Idaho in the United States .
",Grand View è una città dell'Idaho negli Stati Uniti.,"Grand View è una città dell'Idaho, negli Stati Uniti.
"
"The quartet has also performed at the Vienna Musikverein and the Amsterdam Concertgebouw .
",Il quartetto si è esibito anche al Musikverein di Vienna e al Concertgebouw di Amsterdam.,"Il quartetto si è esibito anche al Musikverein di Vienna e al Concertgebouw di Amsterdam.
","The quartet has also performed at the Vienna Musikverein and the Amsterdam Concertgebouw .
",Il quartetto si è esibito anche al Musikverein di Vienna e al Concertgebouw di Amsterdam.,"Il quartetto si è esibito anche al Musikverein di Vienna e al Concertgebouw di Amsterdam.
"
"Hurricane Ivan was the 10th most intense Atlantic hurricane ever recorded . The cyclone was also the sixth hurricane and the fourth major hurricane of the active 2004 Atlantic hurricane season .
",L'uragano Ivan è stato il 10 ° uragano Atlantico più intenso mai registrato . Il ciclone è stato anche il sesto uragano e il quarto uragano maggiore della stagione attiva 2004 uragano Atlantico .,"L'uragano Ivan è stato il decimo uragano atlantico più intenso mai registrato. Il ciclone è stato anche il sesto uragano e il quarto uragano maggiore della stagione attiva degli uragani atlantici del 2004.
","Hurricane Ivan was the strongest hurricane of the 2004 Atlantic hurricane season .
",L'uragano Ivan è stato l'uragano più forte della stagione 2004 dell'uragano atlantico.,"L'uragano Ivan è stato il più forte uragano della stagione atlantica 2004.
"
"Tracy killed 71 people , caused $ 837 million in damage and destroyed more than 70 percent of Darwin 's buildings , including 80 percent of houses .
","Tracy ha ucciso 71 persone, ha causato 837 milioni di dollari in danni e distrutto più del 70 per cento degli edifici di Darwin, tra cui l'80% delle case.","Tracy uccise 71 persone, causò 837 milioni di dollari di danni e distrusse più del 70% degli edifici di Darwin, compreso l'80% delle case.
","Tracy killed 71 people , caused $ 837 million in damage and destroyed more than 70 % of Darwin 's buildings , including 80 % of the houses .
","Tracy ha ucciso 71 persone , ha causato 837 milioni di dollari in danni e distrutto oltre il 70 per cento degli edifici di Darwin , di cui 80 per cento delle case .","Tracy uccise 71 persone, causò 837 milioni di dollari di danni e distrusse più del 70% degli edifici di Darwin, compreso l'80% delle case.
"
"The British Rail Class 360 electric multiple units were built by Siemens in two sub-types from 2002-2003 and 2004-2005 .
",Le unità multiple elettriche British Rail Class 360 sono state costruite da Siemens in due sottotipi tra il 2002-2003 e il 2004-2005 .,"Le unità multiple elettriche British Rail Class 360 sono state costruite da Siemens in due sottotipi dal 2002-2003 e dal 2004-2005.
","The British Rail Class 360 electric multiple units were built by Siemens in two sub-types from 2000-2005 .
",Le unità multiple elettriche British Rail Class 360 sono state costruite da Siemens in due sottotipi tra il 2000 e il 2005 .,"Le unità multiple elettriche British Rail Class 360 sono state costruite da Siemens in due sottotipi dal 2000 al 2005.
"
"It rapidly intensified into Tropical Storm Marco with 65 mph winds that afternoon .
",Si è rapidamente intensificato in Tempesta Tropicale Marco con venti di 65 mph quel pomeriggio.,"Nel pomeriggio si è rapidamente intensificata fino a diventare la Tempesta Tropicale Marco, con venti di 65 miglia orarie.
","It quickly strengthened into Tropical Storm Marco with 65 mph winds that afternoon .
",Si è rapidamente rafforzato in Tempesta Tropicale Marco con venti di 65 mph quel pomeriggio.,"Nel pomeriggio si è rapidamente rafforzata fino a diventare la tempesta tropicale Marco, con venti di 65 miglia orarie.
"
"Sergio Rodríguez García , aka Rodri , is a Spanish footballer currently playing for Hércules CF , mainly as a central defender .
","Sergio Rodríguez García , detto anche Rodri , è un calciatore spagnolo che attualmente gioca per Hércules CF , principalmente come difensore centrale .","Sergio Rodríguez García, in arte Rodri, è un calciatore spagnolo che attualmente gioca nell'Hércules CF, principalmente come difensore centrale.
","Sergio Rodríguez García is a Spanish football player . He plays for Hércules .
",Sergio Rodríguez García è un calciatore spagnolo. Gioca per Hércules.,"Sergio Rodríguez García è un calciatore spagnolo. Gioca per l'Hércules .
"
"Many are fitted with highly modified Volkswagen engines and a few home-built hybrids have Ford Pinto engine , Chevrolet Corvair , Porsche , Mazda , Subaru or other four - to eight-cylinder water-cooled engines .
","Molti sono dotati di motori Volkswagen altamente modificati e alcuni ibridi costruiti in casa hanno Ford Pinto motore, Chevrolet Corvair, Porsche, Mazda, Subaru o altri quattro - a otto cilindri raffreddati ad acqua.","Molti sono dotati di motori Volkswagen altamente modificati e alcuni ibridi costruiti in casa hanno motori Ford Pinto, Chevrolet Corvair, Porsche, Mazda, Subaru o altri motori da quattro a otto cilindri raffreddati ad acqua.
","Many are fitted with highly modified Volkswagen engines and a few have engines from such cars as the Ford Pinto , Chevrolet Corvair , Porsche , Mazda , Subaru or other four - to eight-cylinder water-cooled engines .
","Molti sono dotati di motori Volkswagen altamente modificati e alcuni hanno motori da auto come la Ford Pinto , Chevrolet Corvair , Porsche , Mazda , Subaru o altri quattro - a otto cilindri di motori raffreddati ad acqua .","Molte sono dotate di motori Volkswagen altamente modificati e alcune hanno motori provenienti da auto come Ford Pinto, Chevrolet Corvair, Porsche, Mazda, Subaru o altri motori da quattro a otto cilindri raffreddati ad acqua.
"
