Normal,Simple,SARI,METEOR,ROUGE_F,SPEARMAN_CORRELATION,PEARSON_CORRELATION
Ma ovviamente anche questa essere solo un ' ipotesi .,Ma essere solo un'ipotesi,49.3552,0.102,0,0,0
"Concorda , quindi , con la proposta del relatore .",concordare con la proposta del relatore,100.0,0.9977,0,0,0
Ma non essere certo il solo .,Ma non essere essere il solo,60.8995,0.5718,0,0,0
Si affrontare i problemi di copyright,Si affrontare questi problemi di copyright.,17.1591,0.7934,0,0,0
"Sostituire , inoltre , il comma 2 dell ' articolo 2 con il seguente : "" 2 .","Il comma 2 dell'articolo 23 essere sostituire dal seguente : "" 2",55.4939,0.5752,0,0,0
1989 : essere l ' anno della svolta,Il 1997 essere l'anno della svolta.,29.4841,0.5068,0,0,0
Per lo svolgimento della prova essere essere assegnare n,Per lo svolgimento della prova venire assegnare n,100.0,0.999,0,0,0
E questa non essere una novità .,Non essere una novità clamorosa,48.3333,0.5515,0,0,0
"La Commissione proseguire l ' esame , rinviare da ultimo nella seduta del 24 luglio 2003 .",La Commissione proseguire l'esame rinviato nella seduta del 15 luglio 2004,48.4308,0.5685,0,0,0
Ma ciò essere vero solo in parte,essere vero solo in parte.,86.7424,0.8676,0,0,0
Ma proprio questo essere il nodo centrale del problema,essere qui il nodo del problema.,76.3636,0.8034,0,0,0
Il giudizio sul candidato essere : ottimo,Il giudizio sul candidato essere estremamente positivo.,65.9091,0.8294,0,0,0
"Le cose essere cambiare , però",Adesso le cose essere cambiare.,100.0,0.9977,0,0,0
Non essere una scelta da poco .,Non essere una scelta consapevole,53.8889,0.75,0,0,0
La ringraziare infinitamente per la risposta .,La ringraziare per la sua autorevole risposta,100.0,0.9985,0,0,0
La risposta essere ovvia : no,La risposta essere ovviamente no.,72.381,0.7014,0,0,0
"Non essere "" assolutamente così !",Non dovere essere assolutamente così!,100.0,0.9977,0,0,0
"Eh , la classe non essere acqua",Ma la classe non essere acqua.,83.3333,0.8552,0,0,0
"Non sempre essere così , anzi .",Non essere essere sempre così,100.0,0.996,0,0,0
Allora non ci essere interventi,Non ci essere altri interventi.,75.7143,0.8152,0,0,0
Questo essere un falso problema,Questo essere un problema malposto.,70.8333,0.7433,0,0,0
E questa non essere cosa da poco .,E non essere una cosa facile,61.7063,0.6615,0,0,0
"Ok , vedere se riesco a spiege ar- me",vedere se intanto riesco a spiegare meglio.,43.3598,0.6282,0,0,0
"Insomma , qual essere il problema",Allora il problema qual essere?,45.2778,0.7407,0,0,0
"Ovviamente , essere solo l ' inizio .",Ma purtroppo essere solo l'inizio,25.5952,0.3178,0,0,0
Però c ' essere un ' altra domanda .,Un'altra domanda essere la seguente,33.4425,0.3758,0,0,0
"Le novità , tuttavia , non finire qui .",Le novità però non finire qui,66.6667,0.8067,0,0,0
Però c ' essere anche una buona notizia,Sicuramente essere una buona notizia.,56.3095,0.625,0,0,0
Non essere un lavoro da poco .,Non essere un lavoro inutile,66.6667,0.7938,0,0,0
"Anzi , essere proprio il contrario",Ma talvolta essere vero proprio il contrario.,88.0952,0.8431,0,0,0
"Per questo la guerra non essere più una necessità , ma una scelta !","La guerra non essere una necessità, ma una necessità.",51.5015,0.748,0,0,0
"Nella presentazione e nella verbalizzazione della domanda le donne richiedenti asilo , ove possibile , si avvalere di un ' assistenza adeguata e specificare da parte di personale appartenere al loro sesso",Nella presentazione e nella verbalizzazione della domanda le donne richiedenti asilo potere avvaler - si di un'assistenza adeguata e specifica da parte di,47.3332,0.6659,0,0,0
""" Questo essere solo l ' inizio .",E questo essere essere solo l'inizio!,22.7778,0.3074,0,0,0
articolo 119 della Costituzione sostituire dal seguente :,"L'articolo 88 della Costituzione essere sostituire dal seguente : "" Art. 88.",72.7506,0.6244,0,0,0
"Per ulteriori informazioni , telefonare allo 067004932 .",Per informazioni telefonare allo 0516480704,100.0,0.996,0,0,0
"E questa ne essere una conferma """,E questa essere una sola prova.,46.8452,0.4189,0,0,0
Ma il problema essere tuttavia un altro .,Ma il problema essere generale,66.6667,0.7938,0,0,0
Sai forse qual essere essere il problema,Vuoi sapere qual essere il problema?,97.2222,0.9985,0,0,0
« Questo essere un altro problema .,Il problema essere un altro,45.1389,0.5111,0,0,0
Ma questo non essere il caso,Ma non essere il caso nostro.,82.2222,0.9654,0,0,0
"Però , qual essere il problema ?",E il problema qual essere,80.5556,0.7938,0,0,0
"Vabbè essere per la prossima volta , se ci essere ! ! !",essere per la prossima volta!,52.0536,0.5188,0,0,0
Alla pubblica udienza dell ' 8 aprile 2004 il ricorso essere essere trattenere in decisione,Alla pubblica udienza del 30 aprile 2002 il ricorso venire trattenere in decisione.,76.5796,0.7046,0,0,0
"posto ai voti , l ' articolo 5 , essere approvare .",Posto ai voti essere approvare l'articolo 27,62.5214,0.5659,0,0,0
essere essere quasi una sorpresa per molti .,essere essere una sorpresa molto piacevole,78.0952,0.7782,0,0,0
essere essere fare passi avanti .,Molti passi in avanti essere essere fare,78.0952,0.9654,0,0,0
"Si passare , pertanto , all ' esame degli emendamenti relativi all ' articolo 13 .",Si passare all'esame degli emendamenti all'articolo 10,31.6545,0.3538,0,0,0
"Da allora , però , molte cose essere cambiare",Da allora molte cose essere cambiare.,57.1429,0.9067,0,0,0
"Questo , ovviamente , essere un problema",Questo essere un tuo problema.,77.0833,0.8067,0,0,0
Questo essere solo un esempio tra molti .,Questo essere un piccolissimo esempio,28.8889,0.3,0,0,0
"Fatti gli occhi , figurateve la sua maraviglia quando si accorse che gli occhi si muovevare e che lo guardavare fisso .",Ma fare gli occhi tristi quando si accorserare che gli occhi si essere spenti e che lo guardavare.,37.9377,0.2929,0,0,0
l ' HTML essere : Attivo i BBcode essere : Attivo ciao a tutti !,"l'HTML essere : Attivo i BBcode essere : "" Attivo ciao!",40.3442,0.7149,0,0,0
Purtroppo il punto essere un altro .,il mio punto essere un altro,44.9074,0.6189,0,0,0
"La Commissione proseguire l ' esame , rinviare da ultimo nella seduta dell ' 11 maggio 2004 .",La Commissione proseguire l'esame rinviato nella seduta del 4 maggio 2005,54.6109,0.6901,0,0,0
Ma si potere fare di più,Ma potere fare di più.,100.0,0.9977,0,0,0
Ora il danno essere essere fare .,Il danno ormai essere fare,50.1389,0.75,0,0,0
"La Commissione proseguire l ' esame congiunto , rinviare nella seduta del 29 luglio 2004 .",La Commissione proseguire l'esame rinviato nella seduta del 15 luglio 2004,47.3385,0.6085,0,0,0
"La Commissione proseguire l ' esame , rinviare nella seduta del 20 aprile 2004 .",La Commissione proseguire l'esame rinviato alla seduta del 2 aprile 1997,63.4894,0.7781,0,0,0
"ribadiscere , pertanto , la sua proposta di parere favorevole .",ribadiscere pertanto la sua proposta di parere favorevole,59.7817,0.8294,0,0,0
"Già così , essere solo una goccia nell ' oceano",Ma questa essere solo una goccia nell'oceano.,40.5447,0.5257,0,0,0
Gli avere fare una bella sorpresa,E avere fare una bella sorpresa.,53.8889,0.6914,0,0,0
Ovviamente non essere questo il caso .,Ma non essere il caso,80.5556,0.7938,0,0,0
L ' ingresso essere libero per tutti,L'ingresso essere libero per tutti.,16.2037,0.2174,0,0,0
Poi però la situazione essere precipitare .,Allora la situazione essere precipitare,66.6667,0.7938,0,0,0
"La risposta , ovviamente , essere no .",La risposta essere ovviamente No,70.5026,0.6356,0,0,0
- Il tribunale fissare un ' udienza in camera de consiglio per la comparizione del debitore e del commissario giudiziale .,Il giudice fissare in seduta di consiglio per la seduta del 21 dicembre 2002,22.3244,0.3796,0,0,0
"Il problema , semmai essere un altro .",Il problema essere essere un altro,72.381,0.7014,0,0,0
E questa non essere una novità,Non essere una n novità.,40.463,0.625,0,0,0
Oggi sapere che non essere vero,so bene che non essere vero.,56.7725,0.7114,0,0,0
Ma ci essere il rovescio della medaglia .,Ma essere il normale rovescio della medaglia,100.0,0.9985,0,0,0
Non si potere fare finta di niente,Non potere fare finta di niente.,100.0,0.9985,0,0,0
"Allora , qual essere il problema",Allora il problema qual essere?,69.8148,0.5718,0,0,0
I posti complessivamente disponibili essere 75 .,I posti disponibili essere 40,80.5556,0.7938,0,0,0
La presente legge essere dichiarare urgente ed entrare in vigore il giorno successivo a quello di pubblicazione sul Bollettino Ufficiale della Regione Calabria,La presente legge essere dichiarare urgente ed entrare in vigore il giorno successivo la sua pubblicazione nel Bollettino Ufficiale della Regione Calabria.,91.0343,0.9562,0,0,0
Durante la notte non essere riuscire a dormire,Quella notte non riuscire a dormire.,70.873,0.8413,0,0,0
Come essere nascere questo suo libro,Come essere nascere questo libro?,73.7963,0.7217,0,0,0
Il condizionale essere comunque d ' obbligo .,Tutti i condizionali essere d'obbligo,58.5913,0.5836,0,0,0
Non essere infatti la prima volta,"Non essere la prima volta, anzi.",69.4444,0.7031,0,0,0
Almeno questa essere una buona notizia .,essere già una buona notizia,47.6389,0.75,0,0,0
""" Non andare da nessuna parte",Diversamente non andare da nessuna parte.,88.8889,0.9813,0,0,0
Ma la strada essere quella .,Ma la sua strada essere un'altra,38.6111,0.625,0,0,0
La risposta essere : no,La risposta essere ovviamente no.,60.9722,0.6464,0,0,0
La ringraziare per la cortese attenzione e la saluto cordialmente .,ringraziare per l'attenzione e salere,66.0979,0.5515,0,0,0
"Questo essere un punto fondamentale """,Questo essere un punto fondamentale.,54.6296,0.6464,0,0,0
Ma questo non essere ovviamente il caso,Ma non essere il caso nostro.,76.5741,0.6914,0,0,0
Ma questo essere solo l ' inizio !,Ma essere solo l'inizio,29.4444,0.4395,0,0,0
Questo essere un punto veramente molto importante .,Questo essere un altro punto importante,47.963,0.7353,0,0,0
Ma la legge non essere « uguale per tutti » ?,La legge non essere uguale per tutti,88.3892,0.8848,0,0,0
"Dopo il comma 2 , aggiungere il seguente : 3",Dopo il comma 1 essere aggiungere il seguente : « 2.,100.0,0.9997,0,0,0
Proprio qui stare il problema .,Tutto il problema stare qui,76.25,0.892,0,0,0
"Dopo l ' articolo 8 , aggiungere il seguente : Art",Dopo l'articolo 6 aggiungere il seguente : « Art,38.2143,0.5208,0,0,0
Vabbè questa poi essere una mia opinione ...,Ma questa essere una mia opinione...,78.2341,0.7454,0,0,0
"Si passare , successivamente , all ' esame degli emendamenti all ' articolo 2",Si passare all'esame degli emendamenti all'articolo 108.,28.0249,0.3568,0,0,0
potere far- ci un esempio ?,potere far - ci qualche esempio,52.3214,0.7353,0,0,0
E questa essere un ' altra storia .,Ed essere un'altra storia,22.7381,0.1316,0,0,0
"posto ai voti , essere approvare l ' articolo 2 .",Posto ai voti essere approvare l'articolo 16,47.948,0.5659,0,0,0
E questo essere una buona notizia,Ed essere una buona notizia.,37.6786,0.2937,0,0,0
Naturalmente non mancare le difficoltà .,Ma le difficoltà non mancare,66.6667,0.75,0,0,0
