Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
anche machiavelli autore de il principe fu testimone e scrisse dell' esecuzione,machiavelli scrisse anche di il principe fu testimone di quel evento,22.8523,0.3748,0.1042,11.2,0,0
a che cosa potrebbe essere dovuto,a che cosa era dovuta,70.8333,0.75,0.0909,42.7,0,0
non si può andare avanti così,non puoi andare avanti cosi,47.4206,0.5111,0.0909,23.6,0,0
anche questo è un mistero,questo e un bel mistero,49.3056,0.2,0.0227,12.7,0,0
complessivamente però il bilancio è positivo,il bilancio e senz altro positivo,47.4206,0.5011,0.0899,18.0,0,0
la risposta mi sembra facile,la risposta mi sembra facile,42.9167,0.5111,0.0455,23.6,0,0
ernesta decise di aiutare le nuvolette e così cercò subito una soluzione con i suoi fidati amici luigi mario nicola e antonio,ernesta decise di aiutare le nuvolette e cosi cerco di trovare subito una soluzione con i suoi amici luigi mario e antonio,47.9318,0.8309,0.3738,60.5,0,0
perchè sono le due facce della stessa medaglia,sono le due facce di una stessa medaglia,100.0,0.999,0.1978,100.0,0,0
stato anche attivo nel migliorare l' assistenza sanitaria e nell' espansione delle cliniche per i veterani,era anche attivo nel cercare di migliorare l'assistenza medica e nell'espansione delle chirurgia per i pazienti,25.1264,0.2464,0.0777,6.2,0,0
la risposta è stata unanimemente positiva,quasi tutte le risposte sono positive,42.7778,0.0,0.0,4.1,0,0
il sindaco fece tutto il necessario per convincere i cittadini ricchi e poveri a indossare i guanti di madame sciantosa organizzò una grossa sfilata cittadina pubblicò articoli su tutti i giornali parigini e ricoprì la città di pubblicità che esaltavano l’ eleganza dei guanti di madame sciantosa,il sindaco fece tutto il necessario per convincere i cittadini ricchi a indossare i guanti di madame sciantosa e molti altri giornali che dicevano a madame,19.0597,0.3407,0.2364,18.6,0,0
l appello pertanto deve essere respinto,l appello deve essere respinto,66.6667,0.8203,0.1136,40.9,0,0
ventidue locomotive sono state costruite hanno dominato i servizi sulla linea fino al loro ritiro alla fine del 1981,ventidue locomotive sono state costruite per la prima volta sulla linea fino al 1981,17.1828,0.4436,0.1224,17.8,0,0
si tratta invece di una questione controversa,si tratta di una questione controversa,72.4964,0.83,0.1124,76.0,0,0
evidentemente le cose sono cambiate,ma alcune cose sono cambiate,88.8889,0.968,0.0909,66.9,0,0
lo guarda e pensa questo dio è mio figlio,lo guarda e pensa a questo dio e mio figlio,20.338,0.7718,0.1935,35.5,0,0
posto ai voti è respinto anche l emendamento 7.3,posto ai voti l emendamento 6. 3 viene respinto,78.3333,0.8437,0.1935,45.2,0,0
il cambiamento è già sotto gli occhi di tutti,sono sotto gli occhi di tutti i cambiamenti emergenti,100.0,0.9993,0.2174,100.0,0,0
negli anni '90 stato suggerito che maria potrebbe essere stata la granduchessa i cui resti erano mancanti dalla tomba di romanov che stata scoperta vicino a ekaterinburg in russia e riesumata nel 1991,nel 1990 maria potrebbe essere stata la 27 d'europa i suoi resti furono mancanti nella tomba di romanov che stata trovata in fotografia a e,33.7415,0.4674,0.0909,13.0,0,0
preannuncia comunque il suo voto favorevole,preannuncia quindi il proprio voto favorevole,29.6296,0.6189,0.0889,19.3,0,0
dove un criptosistema contrassegnato con rc4 uno dei diversi cifrari che il sistema essere configurato per l' uso,dove un filetosistemama o rc4 uno dei diversi cifrari che il sistema essere utilizzato per l'uso di rc,54.3954,0.6615,0.2364,49.9,0,0
heihachi e kazuya si alleano per combattere i jack-4 e portare decine di androidi insieme ma heihachi inizia a perdere la sua forza,heihachi ha anche determinato che kazuya e kazuo stanno finalmente cercando di uccidere tutti gli altri pinguini insieme,50.8862,0.0694,0.1111,2.8,0,0
ma ne varrà ancora la pena,ma ne era valsa la pena,66.6667,0.625,0.0899,23.0,0,0
mi spiace su questo non sono assolutamente d accordo,mi dispiace non sono d accordo,67.0665,0.5042,0.0899,27.6,0,0
l' interstate 66 un' autostrada interstatale negli stati uniti orientali,l'interstate 66 un interstatale negli stati uniti,25.7764,0.499,0.1895,22.8,0,0
è una questione di buon senso,e anche una questione di buon senso,42.7146,0.6914,0.1111,43.5,0,0
dopo essere tornato alla forma fisica quasi completa i luoghi di infortunio di saha sono tornati e lo hanno costretto con una lamentela alla coscia durante la vittoria dello united contro bolton a old trafford dove saha aveva avuto un bell' aspetto causando vari problemi di difesa saha stato escluso per diverse settimane mancando i giochi chiave,dopo essere tornato a casa sahasa quasi tutti i luoghi di infortunio alla schiena durante la sua vita ha dovuto portare kahahla alla,33.0623,0.0,0.0182,0.8,0,0
così che non sono più due ma una carne sola,non sono piu due ma due cose sola,8.5859,0.3796,0.1099,12.9,0,0
ufficialmente è un divorzio consensuale,e stato un divorzio facile,52.5,0.5889,0.0909,39.8,0,0
questi sono stati anni difficili,sono stati anni difficili,100.0,0.9922,0.1149,100.0,0,0
ma una volta non era così,questa volta non deve essere cosi,70.4563,0.5773,0.0899,30.2,0,0
non bisogna dunque fare di ogni erba un fascio,certo non bisogna fare di tutta l erba un fascio ovvio,93.1746,0.9776,0.1702,78.6,0,0
tra questi ci sono anche frutta e verdura,quali sono i prodotti e le verdure,49.3651,0.0568,0.0,4.9,0,0
la commissione approva quindi la proposta di parere favorevole del relatore,la commissione approva la proposta di parere dei relatore,73.4745,0.8819,0.1739,75.1,0,0
un flusso di carica positiva fornisce la stessa corrente elettrica di un flusso di cariche negative nella direzione opposta la corrente convenzionale positiva nella direzione delle cariche in movimento positive e negativa nella direzione delle cariche in movimento negative,ci sono molte cariche in movimento indotto dalla carica elettrica positiva e negativa nella direzione opposta delle cariche in moto contrario,28.9412,0.0439,0.0,2.0,0,0
il sito è anche in versione inglese francese tedesca e svedese,il sito e in versione inglese e italiana,38.9683,0.6617,0.1319,36.3,0,0
questo è il problema principale,e il loro problema principale,77.6984,0.7938,0.1364,66.9,0,0
tecnicamente che tipo di guerra sarebbe,tecnicamente questo tipo di guerra e intesa,39.3056,0.4827,0.0667,24.4,0,0
ma non farei di ogni erba un fascio,non si puo fare di ogni erba un fascio,55.2609,0.6944,0.1087,23.4,0,0
ora invece c è un inversione di tendenza,e indispensabile una inversione di tendenza,87.1429,0.83,0.1778,76.0,0,0
che però non è l unica,ma non e certo l unica,63.5516,0.625,0.1124,23.0,0,0
vietnam del sud si riferisce a uno stato che il vietnam meridionale fino al 1975 ha ricevuto il riconoscimento internazionale nel 1950 come lo stato del vietnam e in seguito come la repubblica del vietnam,il vietnam del sud uno stato che uno stato pacifico fino al 1954 questo stato il suo nome ufficiale nel 1950,59.5976,0.199,0.0769,13.5,0,0
infine cuocete- le in forno caldo per circa 5 minuti a 250°,cuocere in forno caldo a 180° per 5 minuti,91.3889,0.888,0.1935,86.3,0,0
il presidente ricordato che nella seduta di ieri si è svolta la relazione dichiara aperta la discussione generale,il presidente ricorda che nella seduta del presidente si e svolta la relazione generale,44.1288,0.4377,0.1856,28.4,0,0
motorvision un video della band alternative rock statunitense soundgarden,motorvision un video musicale della band grunge soundgarden,68.1385,0.574,0.2083,21.1,0,0
"la seduta è tolta ore 11,25","la seduta e tolta alle ore 16, 25",37.0106,0.6722,0.2174,22.3,0,0
per maggiori informazioni consultare il sito ufficiale,per maggiori informazioni consulta il sito,30.5556,0.5563,0.0899,23.0,0,0
c è ancora del lavoro da fare,c e ancora molto lavoro comune da fare,62.4074,0.7194,0.0879,16.5,0,0
e questo è un dato di fatto innegabile,e un dato di fatto,58.6706,0.7938,0.1364,66.9,0,0
divenne paralizzato da un ictus nel 1921 e non si riprese mai morendo a long ashton vicino a bristol in inghilterra il 23 luglio 1927,divenne un paralisi nel 1921 e non si riprese vivo a long ashton vicino a una casa di collocazione nel 1921,39.9008,0.4486,0.0952,17.0,0,0
e allora il gioco è fatto,e il gioco era fatto,100.0,0.996,0.1364,100.0,0,0
e questo è un fenomeno culturale,e un fenomeno culturale,40.873,0.3827,0.046,24.9,0,0
decorso tale termine i decreti possono comunque essere adottati,decorso tale termine i decreti sono adottati,66.6667,0.8413,0.1739,64.3,0,0
dopo il comma 7 aggiungere il seguente 8,dopo il comma 7 e aggiunto il seguente 8,77.3611,0.8819,0.2174,59.7,0,0
il punto però è un altro,il punto pero e un altro,46.713,0.5435,0.0899,19.4,0,0
spero di essere stato chiaro,spero di essere stato chiaro,61.0317,0.8203,0.1136,57.9,0,0
questo è uno dei metodi,questo e un buon metodo,56.1508,0.3,0.0682,14.1,0,0
quando l' uragano epsilon si come tempesta tropicale il 29 novembre fu la prima volta che 27 tempeste tropicali o subtropicali si erano formate nell' atlantico durante una stagione degli uragani,l'uragano epsilon si formato il 29 novembre,29.9486,0.1512,0.1053,1.0,0,0
questo era un cattivo segnale,questo e un altro segnale negativo,65.0,0.1667,0.0,9.7,0,0
in attesa di un vostro cortese riscontro porgo cordiali saluti,in attesa di un vostro cortese riscontro le porgo i miei distinti saluti,100.0,0.9998,0.3093,100.0,0,0
ampia e documentata l attività didattica,l attivita didattica e documentata,45.1389,0.1948,0.0682,7.7,0,0
e questa non sarebbe una novità,ma dopotutto non e una novita,50.3175,0.2174,0.1124,9.0,0,0
le lacrime gli vengono agli occhi,le lacrime gli vengono agli occhi,44.7619,0.625,0.0899,23.0,0,0
la seduta sospesa alle 14.15 è ripresa alle 15.30,"la seduta sospesa alle 16. 15 e ripresa alle 16, 30",56.9053,0.6265,0.25,23.0,0,0
qualcuno ne ha letto finora qualcosa sui giornali,qualcuno ha letto sul giornale,34.881,0.1,0.0,10.7,0,0
sembrerebbe impossibile eppure è così,sembra impossibile ma e vero,43.0556,0.5111,0.0909,23.6,0,0
balnerio cambori una e una delle principali balneari dello stato meridionale brasiliano di santa catarina,balnerio cambori una e una delle principali balneari dello stato brasiliano di santa catarina,47.1106,0.7212,0.1782,20.2,0,0
il brilliant dalla fronte viola una specie di della famiglia trochilidae,il brilliant dalla fronte viola un membro della famiglia trochilidae,23.8835,0.4573,0.102,16.8,0,0
i tempi ora sono cambiati,caro mio i tempi sono cambiati,78.0952,0.7782,0.0674,50.8,0,0
le cose invece non sono così semplici,le cose non sono proprio cosi semplici,65.79,0.6914,0.1333,43.5,0,0
ha una superficie di 854 km e una popolazione di oltre 73.000 abitanti di cui quasi il 100 parla tedesco,ha una superficie di 854 km e una popolazione di oltre 73. 000 abitanti,37.3249,0.4373,0.2626,33.0,0,0
questo sarebbe davvero un peccato,ed e veramente un peccato,69.4444,0.5111,0.0909,23.6,0,0
articolo 6 bis inserire il seguente art,dopo l articolo 6 bis e inserito il seguente art,85.6548,0.8951,0.2366,65.8,0,0
eppure un dato è certo,eppure un dato e certo,27.0833,0.3,0.0682,14.1,0,0
dopo essersi ritirato dalla vita politica nel 1970 si a sde boker un kibbutz nel deserto del negev dove visse fino alla sua morte,nel 1969 si a sde boker un kibbutz in goatville dove visse un anno,31.837,0.4027,0.1154,17.7,0,0
l emendamento 1.1 posto ai voti è approvato,posto ai voti e approvato l emendamento 01. 1,40.1923,0.7182,0.1935,26.3,0,0
certamente avremmo voluto fare di più,tuttavia abbiamo potuto fare di piu,47.6389,0.3676,0.0674,16.2,0,0
la band fondata da dave hlubek e steve holland ha preso il nome da una prostituta che avrebbe mutilato e decapitato i suoi clienti,la band stata fondata da dave hlubek e steve holland che avrebbe ucciso i suoi clienti consegnando i suoi prodotti alimentari alla prostituta h,55.6085,0.4867,0.1455,19.4,0,0
e non è affatto un problema da poco,non e un suo problema personale,52.9762,0.2941,0.0674,10.7,0,0
disgraziatamente ora la situazione è diversa,la situazione italiana e diversa,19.3056,0.5111,0.0682,23.6,0,0
2 nella casa del padre mio vi sono molti posti,2 nella casa del padre mio vi sono molti posti,100.0,0.9995,0.2366,100.0,0,0
la situazione si fa sempre più grave,la situazione si fa seria e grave,100.0,0.9985,0.1778,100.0,0,0
intel ha prodotto il controller host uhci universal host controller interface e lo stack di software aperto national semiconductor compaq e microsoft hanno co scritto la specifica ohci open host controller interface philips ha prodotto i primi usb-audio e ti ha prodotto i chip hub utilizzati,il controller attuale del sistema operativo awci open noto anche come h + + h3c un controller di rete interno molto potente e open source,30.2427,0.0621,0.0,1.6,0,0
comunque questa è la mia opinione,l opinione mia e questa,55.5556,0.0,0.0,4.4,0,0
la un comune francese situato nel dipartimento della vandea nella regione dei paesi della loira,la un comune francese situato nella regione pays de la loire nel dipartimento della vandea,97.9167,0.9999,0.3762,100.0,0,0
allora qual è oggi la situazione,la situazione italiana qual e,57.5397,0.5111,0.0227,21.4,0,0
la celluloide altamente infiammabile e si decompone facilmente e non ampiamente utilizzata,la celluloide molto facilmente digeribile e non viene utilizzata molto spesso,48.9153,0.3501,0.1224,9.0,0,0
l’ enorme cella frigo montata in fondo alla via dava ristoro alle nuvolette nelle ore più calde,l ’ enorme cella frigo posta in fondo alla via davanzale alle nuvolette nelle ore piu calde,42.0406,0.4172,0.1359,15.1,0,0
dove una volta c’ erano le tavole di legno ora c’ era solo aria,dove c ’ erano le tavole di legno ora c ’ era solo aria di legno,43.928,0.7348,0.1212,15.3,0,0
i metadati sono   dati sui dati,i metadati sono dati sui dati,66.6667,0.6236,0.1556,51.3,0,0
non sembra essere stato coinvolto in alcun combattimento e ha avuto poca o nessuna influenza con la leadership repubblicana militare guidata dal capo di stato maggiore dell' ira liam lynch,non sembra essere stato coinvolto in alcun combattimento o ha lasciato la leadership militare di stato per il resto dell'ira dimar lynch e suo,25.4245,0.1879,0.0727,3.7,0,0
per l organizzazione degli uffici e per l ordinamento interno del ministero si applica la normativa vigente alla data del 9 giugno 2001,per l'organizzazione degli uffici e per l ordinamento interno del ministero si applica la normativa prevista alla data del 9 giugno 2001,28.527,0.8719,0.3925,74.9,0,0
abbiamo un rapporto bellissimo,abbiamo un rapporto straordinario,40.4762,0.2586,0.023,12.8,0,0
cresciuto in una fattoria centenaria a cayuga ontario dove ha frequentato il liceo e ha eccelleto nello sport,cresciuto in una fattoria a cayuga ontario ha frequentato il liceo e ha iniziato il liceo,54.5284,0.5077,0.1782,39.7,0,0
ma forse è solo una stupida impressione,ma e una tua impressione,75.8929,0.75,0.1364,42.7,0,0
il risultato è evidente,e il risultato e evidente,27.9762,0.6313,0.1364,42.7,0,0
per maggiori informazioni si consulti il sito,per maggiori informazioni si puo consultare il sito del,53.548,0.7812,0.1304,23.4,0,0
circa 12000 anni fa la temperatura del pianeta ricominciò ad alzarsi i ghiacci iniziarono a sciogliersi le piogge ripresero a cadere finiva l’ era glaciale e aveva inizio l’ era temperata nella quale viviamo ancora oggi,circa 1200 anni fa la temperatura del pianeta comincio ad alzarsi i ghiacci iniziarono a cadere e presto la temperatura riprese ad alzasi del nord,28.6661,0.2244,0.0727,4.6,0,0
era uno studente di musica e studioso corale presso l' di cambridge e ha anche studiato canto e flauto a manchester presso il royal northern college of music,era uno studente di musica e studioso di cambridge,18.1056,0.2184,0.0652,3.1,0,0
altrove la situazione non è certo meno grave,la situazione europea non e certo migliore,31.6667,0.4189,0.0667,14.5,0,0
non ci sarebbero state vittime,finora non vi sono state vittime,63.5516,0.625,0.0674,32.5,0,0
la presente legge regionale è dichiarata urgente ai sensi dell articolo 45 dello statuto ed entra in vigore il giorno successivo a quello della sua pubblicazione sul bollettino ufficiale della regione piemonte,la presente legge e dichiarata urgente ai sensi dell articolo 45 dello statuto ed entra in vigore il giorno della sua pubblicazione sul bollettino ufficiale della regione piemonte,55.4344,0.899,0.4727,77.4,0,0
c è ovviamente un ma,c e stato un ma,48.6111,0.2,0.0455,12.7,0,0
questo è un punto critico,questo e un bel punto fermo,37.6984,0.25,0.0674,10.7,0,0
rinvia quindi ad altra seduta il seguito dell esame,rinvia quindi il seguito dell esame alla prossima seduta,45.6746,0.5378,0.086,31.6,0,0
il xx bomber command operativo bombardieri strategici b-29 della 20th air force che stavano attaccando il giappone nell' operazione matterhorn sono stati costretti a muoversi pure ma anche se questo ha influenzato la loro efficienza per un breve periodo di tempo all' inizio del 1945 la 20th air force si in basi di nuova costituzione nelle marianas sotto il comando del nuovo xxi bomber command,il xx secolo command of - 29 si cellule nucleari che sono state costruite dalla 20th air force nel dopoguerra l'obiettivo era quello di,24.8847,0.059,0.0,1.5,0,0
questa è una vera provocazione,e sono una vera e propria provocazione,56.6667,0.1923,0.044,7.8,0,0
nella biologia molecolare moderna il genoma la delle informazioni ereditarie di un organismo codificato sia nel dna o per molti tipi di virus nell rna,nella biologia molecolare il genoma la delle informazioni ereditarie che un organismo o una persona ha nel dna l'rna o la rna,41.698,0.4618,0.1091,6.6,0,0
dopo il pensionamento ha adottato il g o nome della penna yozan,dopo il suo morte ha preso il nome di gzan,15.9358,0.2735,0.0638,7.1,0,0
laura lane welch bush la moglie del quarantatreesimo presidente degli stati uniti george w. bush ed stata la first lady degli stati uniti dal 20 gennaio 2001 al 20 gennaio 2009,laura lanew bush un ex presidente degli stati uniti d'america,32.5134,0.3758,0.0625,11.3,0,0
perché tra il dire e il fare,poi tra il dire e il fare,66.6667,0.9813,0.1333,80.9,0,0
non è vero che le cose stiano così,non e vero che le cose stanno cosi,49.3939,0.5575,0.0879,23.4,0,0
potrei saper- ne qualcosa di più,volete saper - ne di piu di computer,49.7222,0.1613,0.0879,11.0,0,0
decorso tale termine si prescinde dal parere,decorso tale termine si prescinde dal parere,100.0,0.9985,0.2366,100.0,0,0
qual è la conclusione del suo ragionamento,qual e la conclusione di questo ragionamento,57.3082,0.8413,0.1778,64.3,0,0
c è un fatto nuovo,e un fatto abbastanza nuovo,67.6984,0.7938,0.1364,66.9,0,0
all udienza del 25 giugno 2004 il ricorso è stato trattenuto per la decisione,alla pubblica udienza del 25 giugno 2004 il ricorso veniva trattenuto in decisione,100.0,0.9998,0.3093,100.0,0,0
altrove in europa il lut scandinavo a sei corde indigeno aveva guadagnato in aree di incursioni vichinghe in tutto il continente,altrove in europa il lut scandinavo a sei corde indigene aveva bisogno di aree di scrittura vichinghe in tutto il continente europeo,52.9273,0.3886,0.1636,27.2,0,0
potrebbe però essere vero anche il contrario,e vero esattamente il contrario,74.7619,0.6356,0.1136,35.0,0,0
peter dennis blandford   pete townshend un chitarrista rock inglese cantante cantautore e autore noto principalmente come chitarrista e cantautore per gli who come per la sua carriera solista,peter dennis blandford un chitarrista e cantautore statunitense,34.8887,0.2594,0.1075,4.8,0,0
sono state suggerite diverse possibili spiegazioni tra cui il riscaldamento radiogenico dal nucleo del pianeta la conversione del metano ad alta pressione in idrogeno diamante e idrocarburi lunghi e la convezione nell' atmosfera inferiore che causa la rottura delle onde gravitazionali sopra la tropopausa,sono stati suggerito diverse spiegazioni tra cui il riscaldamento radioattivo dal nucleo il gas che ha fatto la transizione del metano ad alta pressione e la gas,33.501,0.2507,0.1273,9.8,0,0
e la risposta più attendibile è che no,e la risposta piu attendibile e che no,58.5606,0.4445,0.087,22.1,0,0
l' aikido stato creato da morihei ueshiba indicato da alcuni praticanti dell' aikido come,l'aikido stato creato da morihei ueshiba nel 1987,38.4675,0.1095,0.2041,2.5,0,0
quali sono i punti qualificanti,quali sono i loro punti deboli,100.0,0.9977,0.1573,100.0,0,0
chiojdu un comune rumeno della contea di buzu situato nella parte nord occidentale della romania,chiojdu un comune rumeno della contea di buzu,98.8095,0.999,0.2553,100.0,0,0
messaggio originale il 18 10 2004 maia ha scritto,messaggio originale il 18 10 2004 maia ha scritto,100.0,0.9993,0.2366,100.0,0,0
propone infine di esprime un parere favorevole circa la sussistenza dei presupposti costituzionali,propone quindi di esprimere un parere favorevole sulla sussistenza dei presupposti costituzionali,63.0396,0.8502,0.25,67.6,0,0
era proprio un illusione,forse era soltanto un illusione,65.0,0.375,0.0674,21.4,0,0
gli assunti non possono essere condivisi,questo assunto non puo essere condiviso,80.0,0.8067,0.1573,38.0,0,0
nel 480 eschilo fu chiamato di nuovo in servizio militare questa volta contro le forze invasori di serse nella battaglia di salamina e forse anche nella battaglia di plataea nel 479,eschilo fu chiamato dai romani nella battaglia di salamina e forse in una battaglia di platae,42.162,0.2799,0.1942,9.4,0,0
non sarebbe sicuramente la stessa cosa,non e proprio la stessa cosa,66.6667,0.625,0.0899,32.5,0,0
allora qual è la soluzione,poi la soluzione finale qual e stata,45.8333,0.0,0.0,3.3,0,0
altrimenti a cosa serve,e a cosa serve,91.6667,0.8099,0.092,77.9,0,0
c è tuttavia un rovescio della medaglia,ma c e anche un rovescio della medaglia,57.7742,0.6817,0.1304,36.6,0,0
la controversy ha preso il nome dall' uso di spurgeon del termine declassamento per descrivere la prospettiva di alcuni altri battisti verso la bibbia,la controversa questione di spurgeon il nome dato a spurgo nel cielo e il livello attuale della bibbia per descrivere il cambiamento di,52.1451,0.0959,0.0727,1.4,0,0
infine vorrei dire una cosa,voglio dire ancora una cosa,100.0,0.996,0.1364,100.0,0,0
c è ancora una novità,ma e davvero una novita,58.3333,0.1,0.0455,10.7,0,0
si rivolga presso le università degli studi,devi rivolger - ti presso le universita degli studi,33.8889,0.5679,0.234,14.9,0,0
il che non è cosa da poco,ma la cosa non e immotivata,70.873,0.6615,0.1099,50.8,0,0
è vero però anche il contrario,e vero tutto il contrario,57.8373,0.5111,0.0909,23.6,0,0
egli così è davvero il re del mondo,egli e davvero il re del mondo,45.8333,0.6371,0.1111,27.8,0,0
quali sono gli altri suoi impegni,quali sono i prossimi impegni,70.873,0.75,0.0909,42.7,0,0
forse è proprio questa la dolce vita,forse e questa la vita,64.6296,0.75,0.1364,42.7,0,0
ma questa è solo una delle possibili vie di uscita,e una via d uscita,64.9438,0.6727,0.1136,54.8,0,0
ci può spiegare di cosa si tratta,ci puo spiegare di che cosa si tratta,54.2201,0.8648,0.1978,70.7,0,0
questa non è un opinione è un dato di fatto,impossibile non e un dato di fatto e una opinione,45.4563,0.6347,0.1935,32.5,0,0
la nazionale di calcio del kenya soprannominata harambee stars la squadra nazionale del kenya ed controllata dalla federazione calcistica keniota,la nazionale di calcio del kenya la nazionaledi calcio del 1996,70.7967,0.6443,0.1895,57.7,0,0
cessa il vento calma è la bufera torna a casa fiero il partigian sventolando la rossa sua bandiera vittoriosi e alfin liberi siam,cessa il vento calma e alla fine del gas calma il partigiane,18.1326,0.2434,0.1237,9.7,0,0
e non c è stato per molto tempo,e non c e stato per molto tempo,39.0491,0.6817,0.1099,36.6,0,0
le cose naturalmente non stanno così,le cose invece non stavano esattamente cosi,40.2778,0.4189,0.0667,14.5,0,0
in definitiva quindi l appello deve essere rigettato,l appello deve essere rigettato,100.0,0.996,0.1778,100.0,0,0
ma il destino beffardo è in agguato,ma il destino era in agguato,44.8611,0.7353,0.0889,23.0,0,0
il treno non si può mica perdere,il treno non puo perdere,55.5556,0.6313,0.0227,25.4,0,0
amen il caso era chiuso,il caso e stato chiuso,70.8333,0.6313,0.0682,25.4,0,0
si potrebbe magari aprire una discussione apposita continuamente aggiornata,si puo aprire una discussione apposita,62.9167,0.5752,0.1111,43.0,0,0
il convento la residenza ufficiale del governatore di gibilterra dal 1728,il convento la residenza reale del governatore di malta dal 1728,35.2462,0.7712,0.1684,26.7,0,0
ci sono un sacco di cose nascoste,ci sono un sacco di altre cose,100.0,0.9985,0.1778,100.0,0,0
ma di cosa si tratta esattamente,ma di che cosa si tratta realmente,87.4074,0.9577,0.0889,61.5,0,0
diversi nuovi negozi zellers sono stati aperti nel 2008,la gamma di negozi zellers a partire dal 2008,56.4506,0.101,0.0638,3.0,0,0
invece non è proprio così,non puo proprio essere cosi,67.6389,0.5111,0.1364,23.6,0,0
la risposta è sì e no,la risposta e stata no,50.0,0.3,0.0682,14.1,0,0
altrimenti non potrei più far- lo,ma non potevi far - lo,57.7778,0.5011,0.1124,18.0,0,0
"sospendo pertanto la seduta fino alle ore 11,15","sospende nuovamente la seduta fino alle ore 11, 15",47.6058,0.6822,0.1915,39.3,0,0
l acqua verrà utilizzata sia per uso domestico che per irrigazione,l acqua verra utilizzata per irrigazione e per irrigo,39.0509,0.6411,0.1702,16.5,0,0
possibile che non ci sia una via d uscita,non c e una via d uscita,72.381,0.7454,0.1556,42.4,0,0
appleby la storica della contea ha formato un quartiere storico ed stato non riformato dal municipal corporations act 1835 anche se la riforma venuto tardi nel 1885,apple ha creato un quartiere nel 1885 nel 1884 il quartiere fu chiamato mayal corporations act 1835,30.1929,0.1402,0.0381,5.1,0,0
