Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
e questa è decisamente una buona cosa,ma questo e un altra cosa,63.3333,0.1961,0.0225,9.7,0,0
l articolo 9 infine dispone sull entrata in vigore del decreto legge stesso,l articolo 9 dispone l entrata in vigore del decreto legge,68.631,0.8507,0.2128,59.9,0,0
ma adesso le cose potrebbero cambiare,ma le cose possono cambiare all improvviso,28.4722,0.4189,0.0444,14.5,0,0
qui la questione è più complessa,ma la questione e piu complessa,54.1667,0.2174,0.0674,15.2,0,0
su un ulteriore punto però occorre essere estremamente chiari,su questo punto occorre essere estremamente chiaro,55.4563,0.5662,0.0444,24.4,0,0
nata nel 1828 morì nel 1883,nato nel 1828 mori nel 1883,11.4286,0.625,0.1538,23.0,0,0
e così la mia vita sarà salva,e cosi la vita e salva,54.1667,0.5011,0.0674,18.0,0,0
si hai mai litigato con qualche tuo insegnante,hai mai parlato con qualche insegnante,18.6111,0.6464,0.0899,20.5,0,0
le proposte comunque non mancano,le proposte non sono mancate,55.754,0.5111,0.0449,23.6,0,0
non si può fare finta di nulla,ma di certo non potete far finta di niente,54.6627,0.5952,0.0652,19.1,0,0
il sito è consultabile in italiano inglese e tedesco,il sito e in italiano e tedesco,55.9812,0.7212,0.1111,18.6,0,0
cuocete in forno preriscaldato a 180 ° c per circa mezz ora,cuocere in forno per 180 minuti a 70 ° c,27.3257,0.5252,0.043,12.4,0,0
l incontro non dovrebbe essere facile,l incontro non sara facile,48.8095,0.3,0.0227,14.1,0,0
ma ci vorrà ancora del tempo,ma ci vorra molto tempo,55.4563,0.5111,0.0682,23.6,0,0
quello è in ritardo,anche oggi sono in ritardo,66.6667,0.375,0.0455,21.4,0,0
questo è un punto decisivo,questo e un altro punto incerto,58.1548,0.8067,0.1778,53.7,0,0
ma questo è un problema del dopo,ma e un problema fastidioso,25.0,0.2542,0.0449,11.5,0,0
ma questo non è l inferno,non e questo l paradiso,45.873,0.2,0.0455,12.7,0,0
come uscire dal circolo vizioso,come uscire da questo circolo vizioso,84.1667,0.755,0.1556,57.0,0,0
ma c era un problema,ma il problema principale e un altro,83.8889,0.8413,0.1778,48.9,0,0
conseguentemente sostituire il comma 1 con il seguente 1,sostituire il comma 1 con il seguente 1,97.3132,0.9471,0.1538,84.1,0,0
all’ inizio benedetto era in testa rispetto a luca in vantaggio di una bracciata sorridendo dentro di sé quando tutto ad un tratto luca lo superò e raggiunse il lato opposto della piscina per primo,all ’ inizio benedetto era in testa proprio sopra a luca per essere in vantaggio di una bracciata sorridendo quando tutto lo faceva il verso di,15.6562,0.4174,0.2182,16.4,0,0
ecco questo questo è un pò il punto,infatti questo e il punto,37.2619,0.2,0.0455,12.7,0,0
rinvia infine il seguito dell esame ad altra seduta,rinvia successivamente il seguito dell esame ad altra seduta,58.2702,0.7687,0.129,43.2,0,0
si ringrazia per la consueta preziosa collaborazione,la ringraziamo per la consueta e gentile collaborazione,20.2778,0.4122,0.0435,12.2,0,0
e questo è un fatto positivo,ed e un fatto positivo,47.6389,0.75,0.1364,42.7,0,0
questa è un altra domanda difficile,la domanda e un altra,47.2222,0.1,0.0,10.7,0,0
ringraziando anticipatamente per la risposta porgo cordiali saluti,ringrazio per la risposta e porgo cordiali saluti,100.0,0.999,0.2366,100.0,0,0
questo è esattamente il contrario,e stato tutto il contrario,45.5556,0.375,0.0455,21.4,0,0
ma c è una ulteriore problema,ma ci sono parecchi altri problemi,100.0,0.9977,0.1573,100.0,0,0
fin qui credo siamo d accordo,e fin qui possiamo essere d accordo,63.9484,0.5662,0.0667,24.4,0,0
si rivolga all università degli studi,deve rivolger - si presso le universita degli studi,45.8333,0.3549,0.1277,9.5,0,0
corrispondentemente dopo il comma 2 dell articolo 13 del testo unico aggiungere i seguenti 2 bis,dopo il comma 2 dell articolo 13 del testo unico e aggiunto il seguente 2 bis,78.4822,0.8594,0.2828,67.4,0,0
ma non è tanto questo il problema,ma i problemi non sono questi,78.3796,0.8067,0.0674,38.0,0,0
il cerchio si è chiuso,cosi il cerchio e chiuso,55.754,0.5111,0.1364,23.6,0,0
poi uscì per cercare il cappello assieme alla sua amica,poi usci per cercare il cappello assieme alla sua amica,29.2737,0.8951,0.2366,78.3,0,0
clicca qui per scaricare la brochure d invito,per leggere la brochure d invito,15.8333,0.1667,0.022,9.7,0,0
poiché il disegno di legge consiste in un solo articolo si procederà direttamente alla votazione finale,poiche il disegno di legge consiste in un articolo unico avverto che si procedera direttamente alla votazione finale,55.663,0.8599,0.3495,60.3,0,0
dove starebbero i problemi,dove sta allora il problema,77.0833,0.75,0.0682,30.2,0,0
dietro al terrorismo c è arafat,dietro al terrorismo c e ancora molto terrorismo,12.5,0.2419,0.0659,12.2,0,0
fu colpito anche il tendone,la tenda fu colpito anche la tenda,48.4722,0.4189,0.0444,14.5,0,0
ma questo è solo un inizio,e stato solo l inizio,85.5556,0.7938,0.1364,66.9,0,0
anzi avviene esattamente il contrario,anzi e avvenuto il contrario,18.6508,0.375,0.0455,21.4,0,0
la ringrazio di vero cuore,la ringrazio di tutto cuore,100.0,0.996,0.1364,100.0,0,0
ma è ancora tutto da vedere,ma e ancora da vedere,55.8532,0.4991,0.0909,32.6,0,0
ne rinvia quindi il seguito della discussione ad altra seduta,il seguito della discussione viene rinviato ad altra seduta,63.3333,0.8541,0.1075,43.2,0,0
ma la questione vera è un altra,mala questione e un altra,57.8373,0.75,0.1364,30.2,0,0
qual era il titolo originale,qual e il titolo originale,65.4762,0.5889,0.0909,39.8,0,0
poi tutti sappiamo come è andata a finire purtroppo,poi sappiamo come e andata a finire,38.2875,0.7302,0.1111,29.1,0,0
non vogliamo far- ti del male,ma non volevo far del male,57.8373,0.3704,0.0225,15.2,0,0
c è una rivolta strisciante,c e una rivolta indescrivibile,73.8889,0.5889,0.1111,39.8,0,0
la guerra quindi c è,la guerra c e stata,54.7619,0.375,0.0227,21.4,0,0
  compagnate da un alto tasso di umidità el ta pianura padana già in parte presente oltre le colline a sud della convalle in alcune occasioni la neve è   frequente pur discontinua a seconda de   ori di nevosità media annua che salgono procedendo dalla convalle circa 20/30&#xa0;cm annui verso i quartieri periferici   40/50&#xa0;cm annui le ultime grandi nevicate risalgono al   e 2009 al 2 febbraio e 6 7 gennaio 2009 al 2628 gennaio 2006 rimasta al suolo a lungolle bassissime temperature registrate con valori massimi sotto lo zero anche in centro per quasi una settimana l' estate è relativamente calda per quanto il periodo di massima gradaz   cata tendenza a fenomeni temporaleschi,compagnate da un alto tasso di umidita del tutto assente e invece la nebbia che caratterizza la vicina brianza e la pianura padana gia,27.0823,0.1505,0.5091,0.6,0,0
da ieri sera ho trovato una novità guardare con un cannocchiale nelle stanze illuminate dei vicini,da ieri ho trovato una novita interessantissima nelle camerette dei vicini,16.2015,0.2751,0.0417,6.3,0,0
questi sono i giorni dell ira,erano davvero i giorni dell ira,43.4392,0.6615,0.0899,50.8,0,0
il nome è già tutto un programma,il nome e gia un programma,30.4167,0.625,0.1573,23.0,0,0
sussistono giusti motivi per dichiarare interamente compensate fra le parti le spese del giudizio,sussistono giusti motivi per dichiarare compensate fra le parti le spese del presente giudizio,60.7132,0.9382,0.3061,80.5,0,0
secondo me questa è una cosa gravissima,secondo me e una cosa giusta,53.3796,0.6464,0.0899,20.5,0,0
ma chi mi dà questa certezza,chi mi puo dare questa certezza,49.1667,0.1961,0.0225,9.7,0,0
è ovviamente una provocazione,e stata una provocazione,66.6667,0.3827,0.0682,24.9,0,0
ma è proprio il contrario,e stato tutto il contrario,84.1667,0.7938,0.1364,66.9,0,0
questo è un nostro problema,e un nostro problema,53.8889,0.2799,0.023,15.1,0,0
sarebbe stata ormai soltanto una questione di tempo,e una questione di tempo,66.6667,0.7938,0.1364,66.9,0,0
la strada è suggestiva ma strettissima,la strada e quella giusta,50.0,0.0847,0.0227,8.7,0,0
si gettano tutti in acqua,ma tutte dobbiamo essere gettite in acqua,62.2222,0.3606,0.044,13.1,0,0
il risultato è buono,il risultato puo essere comunque buono,44.6429,0.7353,0.0899,23.0,0,0
la seduta sospesa alle 17.50 è ripresa alle 17.55,la seduta sospesa alle 15. 50 e ripresa alle 17. 55,56.9053,0.6265,0.2083,23.0,0,0
e adesso quali sono i programmi,quali sono i bei programmi,66.6667,0.6356,0.0909,35.0,0,0
il problema è proprio questo,e questo e proprio il suo problema,50.3241,0.3165,0.0667,8.5,0,0
non si perde più tempo,non puo piu perdere tempo,53.3333,0.4331,0.1136,19.4,0,0
sospendo pertanto la seduta che riprenderà alle 15,sospendo la seduta che riprendera alle 15,43.109,0.8413,0.2174,48.9,0,0
b sostituire il comma 2 con il seguente 2,sostituire il comma 2 con il seguente 2,46.8546,0.5575,0.0879,25.8,0,0
ma allora dov è il problema,dove e stato allora il problema,54.9272,0.2174,0.0449,25.6,0,0
non si scherza su queste cose,non si puo scherzare su queste cose,58.6574,0.6371,0.1333,19.6,0,0
intanto di non essere un genio,ma non e un leader,52.9167,0.2,0.0227,12.7,0,0
come sempre aspettiamo anche i vostri contributi,aspettiamo anche i vostri contributi,61.0317,0.8203,0.1136,57.9,0,0
ma questa è un illusione,questa e un altra bella illusione,44.3452,0.1449,0.0444,8.2,0,0
ora lo è molto meno,e stato poco piu difficile,30.1389,0.0526,0.0,3.9,0,0
non si può più far finta di niente,ma di certo non potete far finta di niente,100.0,0.9993,0.2174,100.0,0,0
l assunto non è condivisibile,tale assunto non e pero condivisibile,28.4722,0.25,0.0667,10.7,0,0
le cose tuttavia non sono così semplici né così schematiche,le cose non sono cosi semplici,52.8238,0.8067,0.1573,53.7,0,0
ma certo questa sarebbe una complicazione,ma e una complicazione in piu,58.3333,0.25,0.0667,10.7,0,0
la ringrazio vivamente per il suo sempre preziosissimo aiuto,la ringrazio per il suo prezioso aiuto,100.0,0.9985,0.1778,100.0,0,0
ciò ha anche una logica,tutto cio ha una sua logica,69.4048,0.7782,0.1124,50.8,0,0
il turismo non è quello,non e il solo il moda,51.8056,0.1961,0.0225,9.7,0,0
il motivo è quindi fondato,il motivo e quindi fondato,12.963,0.75,0.1364,30.2,0,0
è facile veloce e divertente,ed e stato facile e piacevole,82.5,0.8067,0.1573,53.7,0,0
all udienza del 19 novembre 2004 i ricorsi sono stati trattenuti per la decisione,alla pubblica udienza del 19 novembre 2004 il ricorso veniva trattenuto in decisione,77.8535,0.9209,0.268,76.1,0,0
ma sul punto si tornerà più avanti,torneremo piu avanti su questo punto,60.7804,0.5435,0.0674,27.5,0,0
tutto avviene alla luce del sole,tutto cio avviene alla luce del sole,60.2742,0.6127,0.1333,37.7,0,0
il tempo non si ferma mai,il tempo non puo essere fermato,32.5397,0.1667,0.0,9.7,0,0
poi tutto è andato bene,tutto e andato molto bene,52.1429,0.75,0.1364,42.7,0,0
la risposta è proprio niente,la risposta e semplice,22.2222,0.3827,0.069,24.9,0,0
c è un evidente conflitto di interessi,c e un contraddizione di interessi,37.7778,0.526,0.1124,19.3,0,0
non c è più dagli anni ottanta,non e piu dall anno ottanta,50.8333,0.1667,0.0449,9.7,0,0
possibilmente uno che avesse bisogno dell aiuto,certo ho bisogno dell aiuto,54.4444,0.5111,0.0455,23.6,0,0
chiede quindi la verifica del numero legale,chiede la verifica del numero legale,34.4979,0.8535,0.1348,67.3,0,0
la ringrazio per la sua cortese attenzione,ringrazia per la cortese attenzione,62.8241,0.7938,0.0909,66.9,0,0
non è nei miei pensieri,non e un mio pensiero,66.0714,0.75,0.1364,42.7,0,0
come si può combattere così il terrorismo,come possiamo combattere cosi il terrorismo,66.6667,0.6189,0.0674,19.3,0,0
presenta un discreto numero di pubblicazioni e molti contributi a congressi,presenta un discreto numero di pubblicazioni ed alcuni contributi personali a congressi,78.5971,0.9139,0.2316,76.9,0,0
il giudizio sul candidato è ottimo,il giudizio sul candidato e lodevole,28.3333,0.3125,0.0444,16.2,0,0
sospende pertanto la seduta sino alle ore 18,la seduta viene sospesa alle ore 18,100.0,0.9985,0.1778,100.0,0,0
la seduta sospesa alle 11.30 è ripresa alle 12.30,la seduta sospesa alle 11. 30 e ripresa alle 15. 30,28.3424,0.6265,0.2917,23.0,0,0
questa secondo me è una cosa bellissima,secondo me e una cosa giusta,31.713,0.526,0.0899,19.3,0,0
c è ancora un aspetto da considerare,ma ci sono altri aspetti da considerare,40.7143,0.3235,0.0667,12.6,0,0
ciò indubbiamente è sotto gli occhi di tutti,e stato sotto gli occhi di tutti,36.1111,0.4189,0.0667,14.5,0,0
il recapito del plico rimane ad esclusivo rischio del mittente se per qualsiasi motivo non giunga a destinazione in tempo utile,il recapito del plico rimane ad esclusivo rischio del mittente per qualsiasi motivo lo stesso non giunga a destinazione in tempo utile,100.0,1.0,0.4954,100.0,0,0
c è però una novità importante,ma c e un altra novita,33.4722,0.1667,0.0225,9.7,0,0
siamo ancora agli inizi,ma siamo soltanto agli inizi,21.0317,0.75,0.0909,30.2,0,0
è davvero tutto oro quello che luccica,e tutto oro quel che luccica,30.1852,0.625,0.1099,23.0,0,0
ma la verità sarebbe un altra,la verita e un altra purtroppo,57.8373,0.4259,0.0899,18.0,0,0
e cosa si dovrebbe quindi fare,e quindi cosa dobbiamo fare,65.4762,0.3,0.0455,14.1,0,0
susanna voleva giocare e non appena notò sofia che si rinfrescava le mani nel laghetto susanna con aria felice saltò addosso a sofia,susanna voleva giocare e non vide sofia che si bagnava le mani nel laghetto susanna con aria felice che stringeva le braccia,40.1775,0.6577,0.2545,31.3,0,0
alla mamma di clara non piaceva l’ idea di stare in una tenda zuppa d’ acqua,alla mamma di clara non piaceva l ’ idea di stare in una tenda molto fresca,47.8314,0.8748,0.2828,60.3,0,0
ed anche questo potrebbe essere solo la punta dell iceberg,questa e solo la punta dell iceberg,50.463,0.4747,0.1099,22.8,0,0
le faccio un esempio,le faccio un esempio concreto,53.8889,0.75,0.0682,42.7,0,0
oggi questo è diventato più difficile,e diventata piu difficile da allora,49.1667,0.0833,0.0225,8.1,0,0
la commissione prosegue l esame congiunto rinviato nella seduta del 29 luglio 2004,la commissione prosegue l esame rinviato nella seduta del 29 luglio 2004,100.0,0.9997,0.2917,100.0,0,0
dichiara pertanto il suo voto favorevole sulla proposta di parere favorevole del relatore,dichiara infine il proprio voto contrario sulla proposta di parere dei relatori,69.2572,0.6783,0.1263,43.4,0,0
quali sarebbero le conseguenze un domani,quali sono state le conseguenze,64.881,0.6313,0.0682,25.4,0,0
la strana bicicletta aveva proprio la misura giusta per ernesta,la strana bicicletta aveva la misura giusta per ernesta,34.93,0.9041,0.2151,66.9,0,0
la commissione prosegue l esame rinviato nella seduta del 23 luglio 2003,la commissione prosegue l esame rinviato nella seduta del 23 luglio 2003,64.3022,0.9281,0.2708,79.8,0,0
sarebbe proprio una bella idea,e stata una grande idea,17.3611,0.1299,0.0,7.0,0,0
ma non è un pivot,ma non e un pivot,26.9841,0.1471,0.0444,8.5,0,0
le cose non vanno affatto così,le cose non potranno andare sempre cosi,88.5913,0.8552,0.1778,80.9,0,0
ma il vero punto qui è un altro,altro punto e il seguente,59.7619,0.2,0.0227,12.7,0,0
la legge dovrebbe entrare in vigore il 1 gennaio 2006,la presente legge entra in vigore dall 1 gennaio 2006,56.1905,0.8104,0.172,54.2,0,0
no non era facile,no non deve essere facile,100.0,0.996,0.1364,100.0,0,0
purtroppo forse la risposta è no,la risposta e stata no,43.75,0.4331,0.0682,19.4,0,0
semplicissimo avevo bisogno di un lavoro,ho bisogno di un lavoro,45.8333,0.4642,0.0455,17.0,0,0
questa sarebbe una bella ricerca,questa e una ricerca incrementale,65.4762,0.367,0.0899,11.4,0,0
posto ai voti l emendamento viene respinto,posto ai voti tale emendamento viene respinto,100.0,0.9985,0.1778,100.0,0,0
quali sono i punti qualificanti,quali sono i loro punti deboli,100.0,0.9977,0.1573,100.0,0,0
  oma aldo fabrizi per un certo periodo   vetturino si dice che lo spolverino e il berretto indossa nella pellicola del 1943 fossero gli st    all' epoca ancora giovane e sconosciuto aiuterà nella sceneggiatura,oma aldo fabrizi per un certo periodo lavoro davvero come vetturino si dice che lo spolverino e il berretto indossati,47.25,0.5166,0.5091,36.7,0,0
il problema spesso insoluto è proprio questo,e proprio li il problema,58.9484,0.5111,0.0455,23.6,0,0
l articolo 11 infine dispone l entrata in vigore della legge fin dal giorno successivo a quello di pubblicazione nella gazzetta ufficiale,l articolo 11 dispone l entrata in vigore della legge per il giorno successivo alla sua pubblicazione nella gazzetta ufficiale,81.5001,0.8675,0.3689,77.6,0,0
si questo è il mio grande obiettivo,e questo il mio obiettivo,41.713,0.75,0.0682,42.7,0,0
tornò subito a papòf per chiedere aiuto ai suoi amici d’ avventura luigi nicola e mario,torno subito a papof per chiedere aiuto ai suoi amici luigi mario e mario nicola,19.2746,0.6885,0.2424,39.2,0,0
quali sarebbero le conseguenze di una guerra,ma quali possono essere le conseguenze imprevedibili di una guerra,47.7146,0.5096,0.0421,10.6,0,0
sì era un mio carissimo amico,e un mio caro amico,86.1111,0.7938,0.1364,66.9,0,0
si rivolga comunque per saper- ne di più alle università degli studi,si deve rivolgere alle universita degli studi per saper - ne di piu,26.713,0.4403,0.1856,9.7,0,0
e allora cosa si dovrebbe fare,ed allora cosa dobbiamo fare,52.7778,0.2,0.0227,12.7,0,0
come sempre i commenti sono graditi,sono graditi tutti i commenti,56.6667,0.968,0.0899,50.0,0,0
dov è allora la notizia,dov e allora la notizia,41.6667,0.0,0.0,5.3,0,0
la colpa non è tutta loro naturalmente,ma la colpa non e loro,43.9352,0.7353,0.1124,32.5,0,0
ora è anche il contrario,era vero esattamente il contrario,45.5556,0.375,0.0455,21.4,0,0
forse non è così forse,non puo essere cosi bene,50.6944,0.2,0.0227,12.7,0,0
non sarà un compito facile ovvio,non e certo un compito facile,66.6667,0.5435,0.1124,27.5,0,0
speriamo sia la volta buona,speriamo sia la volta buona,100.0,0.996,0.1364,100.0,0,0
ora il problema è proprio questo,ed e questo il problema,52.6786,0.375,0.0455,21.4,0,0
pur tuttavia vi sono delle regole da rispettare,ma vi sono alcune regole da rispettare,100.0,0.9985,0.1778,100.0,0,0
la risposta è purtroppo no,la risposta e stata no,53.5317,0.75,0.1364,30.2,0,0
la risposta intelligente quale sarebbe,quale e stata la risposta,70.8333,0.6313,0.0682,25.4,0,0
questo è per me l amore,il tuo amore per me e instancabile,58.1019,0.4827,0.0659,24.4,0,0
si resta a disposizione per ulteriori chiarimenti,restiamo a disposizione per ogni ulteriore chiarimento possibile,57.6389,0.7483,0.1304,68.0,0,0
i due amici erano molto incuriositi e chiesero al cameriere il nome di quella specialità,i due amici erano molto sorpresi e chiesero al cameriere di quella speciale piatto,44.7909,0.6621,0.1818,42.6,0,0
un vantaggio però c è,ma c e un ulteriore vantaggio,48.8095,0.2941,0.0449,10.7,0,0
ovviamente si tratta solo del mio modestissimo punto di vista,si tratta di un punto di vista,100.0,0.9985,0.1778,100.0,0,0
2 la partecipazione al concorso è gratuita,la partecipazione al concorso e gratuita,32.5397,0.5718,0.1124,24.6,0,0
poi la situazione già precaria è precipitata,poi pero la situazione e precipitata,45.463,0.6189,0.1333,19.3,0,0
i tempi dunque sono molto stretti,i tempi sono comunque molto stretti,51.8056,0.7433,0.0899,24.3,0,0
l attività didattica è rilevante pertinente e ben documentata,l attivita didattica e pertinente e prolungata,20.9259,0.1923,0.0889,7.8,0,0
cos è poi il bello,che cos e il bello,64.6429,0.75,0.1364,30.2,0,0
analogo visto può essere rilasciato agli stranieri componenti lo stretto nucleo familiare convivente con il titolare,anche gli stranieri possono essere rilasciato agli stranieri componenti lo strettissimo nucleo familiare con il titolare del titolare,38.4888,0.6239,0.1176,19.7,0,0
questa sarebbe la prima volta,questa e la prima volta,66.6667,0.75,0.0909,42.7,0,0
la commissione delibera infine di nominare un comitato ristretto,la commissione delibera quindi di nominare un comitato ristretto,66.6667,0.9799,0.1739,59.7,0,0
da allora non ne ha avuto più notizie,da allora non ne ha avuto piu notizie,29.5455,0.283,0.022,7.3,0,0
e questa è una guerra,questa e una guerra come nessun altra,55.5556,0.2326,0.0,7.8,0,0
questo è chiaramente un errore,questo e stato un errore,63.8889,0.5111,0.0682,23.6,0,0
