Normal,Simple,SARI,METEOR,ROUGE_F,SPEARMAN_CORRELATION,PEARSON_CORRELATION
""" è difficile fare delle previsioni .",È difficile fare una previsione,100.0,0.996,0,0,0
Questa è una grande idea,è stata una grande idea.,50.3571,0.526,0,0,0
BEN : Non è colpa di nessuno,Non è una colpa mia.,59.3056,0.4574,0,0,0
"Ma non è , naturalmente , la sola",Ma non è certo la sola.,64.7685,0.7934,0,0,0
Visitate il nostro sito per maggiori informazioni .,visita il sito ufficiale,50.1984,0.4395,0,0,0
I lavori dovrebbero terminare nel 2009,I lavori terminarono nel 1862.,83.3333,0.8067,0,0,0
Il programma potrebbe subire variazioni,Il programma può essere modificato.,60.7143,0.3704,0,0,0
"Sulla base delle considerazioni suesposte , propone , conclusivamente , di esprimere parere favorevole .",Sulla base di tali considerazioni propone di esprimere parere favorevole,87.836,0.9138,0,0,0
Invece era soltanto la primavera del 1997,Era la primavera del 2003.,68.8095,0.625,0,0,0
"Sussistono , tuttavia , valide ragioni per compensare le spese del presente giudizio .",Sussistono buone ragioni per compensare integralmente tra le parti le spese di giudizio,57.629,0.8286,0,0,0
e di cosa si tratta,E di che cosa si tratta?,63.3532,0.5024,0,0,0
"E questo non può essere un caso "" .",E non è un caso,28.9683,0.3758,0,0,0
Questa è una legge generale » .,Questa è una legge generale,60.1058,0.7938,0,0,0
"Sussistono , tuttavia , giusti motivi per compensare fra le parti le spese di giudizio",Sussistono giusti motivi per compensare tra le parti le spese di giudizio.,100.0,0.9998,0,0,0
Ok : il primo passo è fatto .,Il primo passo è fatto,66.6667,0.8441,0,0,0
Ma di cosa si tratta,Ma di che cosa si tratta?,89.2063,0.8757,0,0,0
"La seduta , straordinaria ed urgente , comincerà alle 17,30",La seduta comincia alle 11. 30.,80.1786,0.7806,0,0,0
"Questo è il mio punto di vista , naturalmente .",Questo è il mio punto di vista,52.4542,0.8413,0,0,0
Questa non è una buona idea .,Non è una buona idea,100.0,0.996,0,0,0
""" La risposta è semplicissima",La risposta è semplice :.,72.2222,0.7433,0,0,0
"e noi , da che parte stiamo ?",Da che parte stiamo noi,75.0,0.968,0,0,0
"Per queste ragioni , esprimeremo senz' altro un voto favorevole .","Per questo motivo, porgiamo un voto favorevole",51.0417,0.5282,0,0,0
"Non è un sogno """,Non è un sogno impossibile.,47.9762,0.526,0,0,0
"I problemi , quindi , non mancano",Ma i problemi non mancano.,70.8333,0.7433,0,0,0
Le spese e gli onorari dei giudizi possono essere compensate,Compensa tra le parti le spese e gli onorari del giudizio.,86.9697,0.9624,0,0,0
Questa sarebbe una cosa positiva »,Questa è una cosa gravissima.,100.0,0.9977,0,0,0
"Anzi , questo è un punto dolente .",Questo è un punto essenziale,66.6667,0.7938,0,0,0
( Sì ) ma ci sono dei problemi,Ma c'è un problema di budget.,22.6389,0.0794,0,0,0
Per cui la risposta è no .,La risposta è ovviamente NO,50.0,0.6313,0,0,0
Ma forse è solo una mia idea .,Ma è solo una mia idea,43.3333,0.6189,0,0,0
"La ringrazio per l' attenzione , e la saluto cordialmente .",Ringrazio per l'attenzione e saluto,30.5556,0.2972,0,0,0
"Le cose , effettivamente , non stanno così",Le cose non stanno esattamente così.,68.3267,0.8413,0,0,0
Non sarebbe una buona idea ?,Non è una buona idea,87.5,0.7324,0,0,0
Ormai non c' è più dubbio !,Non c'è alcun dubbio!,68.2738,0.8413,0,0,0
"Proprio qui , però , è il punto .",Ed è proprio qui il punto,79.2328,0.949,0,0,0
"La Commissione prosegue l' esame , rinviato da ultimo nella seduta del 27 maggio 2003 .",La Commissione prosegue l'esame rinviato nella seduta del 25 maggio 2005,55.4503,0.6901,0,0,0
Questo è un pò fuori luogo,è stato un pò un pò strano.,37.4008,0.2113,0,0,0
"Perché tra il "" dire "" e il "" fare "" ....",E il senso è proprio questo.,41.4782,0.2373,0,0,0
""" "" e dov' è il problema",E allora il problema dov'è?,53.7037,0.1613,0,0,0
Ma qui non è proprio il caso .,Ma non è il caso,66.2963,0.75,0,0,0
"La Commissione approva , quindi , l' articolo aggiuntivo del relatore 13.01 .",La Commissione approva l'articolo aggiuntivo aggiuntivo aggiuntivo 1. 01 del relatore,54.1204,0.5515,0,0,0
è questo l' inizio della fine .,È l'inizio della fine,30.8333,0.4406,0,0,0
Rinvia quindi alla seduta di domani il seguito dell' esame,Rinvia il seguito dell'esame ad altra seduta.,47.7201,0.6476,0,0,0
"L' ingresso alla festa è , ovviamente , gratuito .",L'ingresso alla festa è gratuito,55.9127,0.5836,0,0,0
« Questo è un altro problema aperto,Questo è un problema serio.,40.7407,0.7433,0,0,0
La risposta è : probabilmente no .,La risposta è ovviamente NO,66.6667,0.75,0,0,0
Ma la verità sarebbe un' altra,Ma la verità è tutt'altra.,60.3175,0.5435,0,0,0
Eppure avrebbe avuto solo l' imbarazzo della scelta .,Ma l'imbarazzo della scelta è stato solo un'imbarazzo,33.3333,0.2641,0,0,0
E non è la prima volta,Non è la prima volta.,69.3651,0.8535,0,0,0
"111 La Commissione prosegue l' esame del provvedimento , rinviato nella seduta del 14 dicembre scorso .","La Commissione prosegue l'esame del provvedimento, rinviato nella seduta del 13 dicembre 2004",45.5948,0.6891,0,0,0
"articolo 4 , aggiungere il seguente : « Art",Dopo l'articolo 18 è aggiunto il seguente : Art,80.6125,0.6406,0,0,0
"Propongono , infine , di esprimere un parere non ostativo sui restanti emendamenti",Propone di esprimere un parere non ostativo sui restanti emendamenti.,83.2688,0.9861,0,0,0
La scelta è semplicemente questa : 1,Questa è la mia scelta.,61.1111,0.6464,0,0,0
Oggi le cose sono cambiate,Oggi le cose sono cambiate.,68.5185,0.8067,0,0,0
- Il comma 6 è soppresso,Il comma 2 è soppresso.,75.6944,0.8067,0,0,0
"Ora , il mio problema è questo .",Questo è il mio problema,100.0,0.996,0,0,0
"Ebbene , il più grande problema è un altro .",Il problema è stato un altro,49.9802,0.8067,0,0,0
« Oggi è il giorno della verità .,è il giorno della verità,100.0,0.996,0,0,0
"Successivamente , viene posto ai voti e respinto l' emendamento aggiuntivo 5.0.1 .",Posto ai voti l'emendamento 1. 1 viene respinto,59.7294,0.4889,0,0,0
"Si , campa cavallo mio che l' erba cresce .","Qui, l'erba cresce",23.2308,0.0746,0,0,0
""" Questo è solo l' inizio",Ma è solo l'inizio.,37.4008,0.2326,0,0,0
"non si può più andare avanti così """,Non può andare avanti così.,100.0,0.9977,0,0,0
"Il problema , qui , è un altro .",Il problema è stato un altro,54.0873,0.6464,0,0,0
E questa mi sembra fenomenale come affermazione .,Mi sembra una mia affermazione,61.25,0.2972,0,0,0
« Le cose non stanno proprio così,Le cose non stanno così.,82.2222,0.8535,0,0,0
Ringraziando- la anticipatamente in attesa di una risposta .,In attesa di una vostra risposta ringrazio,66.6035,0.5799,0,0,0
Ma non è proprio questo il caso,Ma non è il caso.,66.7328,0.8067,0,0,0
"In realtà , è proprio vero il contrario .",In realtà è vero proprio il contrario,75.609,0.8413,0,0,0
Correttamente documentata la attività didattica e assistenziale,L'attività didattica è documentata.,57.8319,0.436,0,0,0
Invece le cose qui stanno così .,Le cose stanno proprio così,66.6667,0.6313,0,0,0
Sembrerebbe incredibile ; ma è tutto vero e documentato,Sembra incredibile ma è vero.,84.9735,0.8535,0,0,0
« Non è un problema,Non è un suo problema.,73.6111,0.8067,0,0,0
"In conclusione , propone di esprimere parere favorevole senza osservazioni né condizioni .",In conclusione propone di esprimere un parere favorevole senza condizioni,91.1012,0.847,0,0,0
"La Commissione prosegue l' esame , rinviato nella seduta di ieri , 29 luglio 2004 .",La Commissione prosegue l'esame rinviato nella seduta del 15 luglio 1998,56.7632,0.6901,0,0,0
Ma questa non è una risposta,Non è una risposta facile.,70.8333,0.8067,0,0,0
"Guardando fuori dalla finestra, vide suo fratello Benedetto che lottava contro il vento.","vide un uomo che stava guardando il cielo, e guardava il cielo.",25.1485,0.2763,0,0,0
"La Commissione prosegue l' esame del provvedimento , rinviato da ultimo nella seduta del 9 novembre 1999 .",La Commissione prosegue l'esame del provvedimento rinviato nella seduta del 28 novembre 2000,56.4907,0.7357,0,0,0
Così non si va da nessuna parte » .,Non può andare da nessuna parte,32.2619,0.3049,0,0,0
- Non è un tuo problema .,Non è un mio problema,66.6667,0.75,0,0,0
"Il problema , semmai , è un altro",Il problema è però un altro.,76.734,0.7454,0,0,0
Il problema è ora però un altro .,Ma il problema è un altro,69.2989,0.755,0,0,0
E tuttavia il problema è un altro,Il problema è stato un altro.,48.5119,0.1899,0,0,0
Questa è l' unica soluzione umanamente plausibile .,Questa è l'unica soluzione,27.9167,0.3814,0,0,0
""" Anche qui c' è una differenza sostanziale",C'è una differenza fondamentale.,36.3889,0.8413,0,0,0
E sì che la vittoria era nell' aria .,E la vittoria è nell'aria,26.746,0.3178,0,0,0
Tuttavia sono stati raggiunti numerosi risultati,Sono stati ottenuti molti risultati.,56.4683,0.7433,0,0,0
"Anzi , per certi aspetti è più facile .",Per alcuni è stato più facile,25.754,0.4574,0,0,0
"Verissimo , ma questo non è un problema nostro",Non è un problema mio.,56.8519,0.7433,0,0,0
Oggi tutto questo non ha più senso,Tutto questo non ha un senso.,75.5556,0.9654,0,0,0
"L' emendamento 4.1 , posto ai voti , è respinto .",Posto ai voti è respinto l'emendamento 1. 1,66.3399,0.5533,0,0,0
La notizia è stata confermata da fonti ospedaliere .,La notizia è stata confermata dalle indagini,38.5606,0.3587,0,0,0
"In conclusione , il ricorso principale dev' essere rigettato .",In conclusione il ricorso deve essere rigettato,100.0,0.9985,0,0,0
C' è quindi un limite .,Ma c'è un limite,58.75,0.6189,0,0,0
A cosa può essere dovuta ?,A cosa può essere dovuta,50.463,0.6356,0,0,0
Non è proprio il caso .,Non è il tuo caso,57.1429,0.3,0,0,0
"La seduta è tolta ( ore 13,30 ) .","La seduta è tolta alle ore 14, 30",81.9444,0.8314,0,0,0
Non è un problema » .,Non è un mio problema,66.6667,0.6356,0,0,0
"No , non è proprio così ....","No, non può essere vero...",64.8611,0.7311,0,0,0
"Alla luce di tali considerazioni propone , infine , di esprimere parere favorevole","Alla luce delle considerazioni esposte, propone di esprimere parere favorevole.",83.3829,0.9139,0,0,0
Questa però è solo una mia opinione .,Ma è solo la mia opinione,44.1667,0.5011,0,0,0
"Tutti dormivano profondamente sotto le coperte, ad eccezione dei due gemelli, Sofia e Benedetto","Tutti gli uomini stavano seduti in fila e a due, davanti a Sofia.",3.9683,0.1572,0,0,0
Per ulteriori informazioni si può telefonare allo 0565962088,Per informazioni telefonare allo 0552303090.,81.9444,0.8067,0,0,0
Ma non si può far finta di nulla,Non possiamo far finta di niente.,84.7222,0.8413,0,0,0
E sarebbe un gran peccato .,Ed è un vero peccato,68.3333,0.5111,0,0,0
Ma questo non è assolutamente un problema .,Ma non è un problema mio,76.455,0.8745,0,0,0
Il fatto è un altro .,Ma il fatto importante è un altro,64.0741,0.7212,0,0,0
Non è un problema da poco,Non è un problema da poco.,61.5278,0.7934,0,0,0
"E : "" Non dir- me che è facile",Non so dire che è facile.,73.6574,0.6914,0,0,0
"Questo è stato un errore , enorme .",Questo è un grave errore,51.3889,0.3,0,0,0
""" Questa è una bellissima storia .",Questa è una storia vera,43.6508,0.1471,0,0,0
La salsa dovrà risultare densa pur abbastanza scorrevole .,La salsa deve essere servita bene,67.0238,0.4907,0,0,0
Tutto è davanti agli occhi .,Tutto ciò è sotto gli occhi di tutti,61.1111,0.1613,0,0,0
"Hanno fatto un buon lavoro , comunque »",Aveva fatto un ottimo lavoro.,47.8373,0.4574,0,0,0
Propone pertanto di esprimere su di esso parere favorevole .,Propone di esprimere parere favorevole su un parere favorevole,47.5244,0.6361,0,0,0
"Il problema dunque c' è , ed è serio",Il problema è stato molto serio.,47.5487,0.5068,0,0,0
Eppure non c' è alternativa .,Non c'è altra alternativa,46.5278,0.9977,0,0,0
"Non tutti i mali , però , vengono per nuocere",Non tutto il male viene per nuocere.,28.3054,0.3221,0,0,0
E allora dove sarebbe il problema ?,E allora il problema dov'è,50.0,0.0962,0,0,0
"Che cosa si deve dire , allora",Che cosa si può dire allora?,65.0463,0.7934,0,0,0
"Ahimè , le cose non stanno proprio così",Le cose non stanno così.,51.3258,0.755,0,0,0
Qui è solo l' inizio » .,Ma è solo l'inizio,30.9722,0.3233,0,0,0
Il loro problema è proprio questo .,Questo è il grande problema,53.2407,0.339,0,0,0
Questa è una domanda veramente esplosiva : entrambi !,Questa è una bella domanda!,69.4444,0.8067,0,0,0
Le cose però non starebbero così,Le cose non stanno così.,40.463,0.7212,0,0,0
"La situazione è comunque sotto controllo """,La situazione è sotto controllo.,77.9365,0.8535,0,0,0
C' è un interesse assai tiepido .,C'è un discreto interesse,50.8333,0.6464,0,0,0
"Come sempre , c' è un rovescio della medaglia .",Ma c'è un rovescio della medaglia,59.6429,0.706,0,0,0
"L' attività didattica è rilevante , pertinente e ben documentata .",L'attività didattica è pertinente e pertinente,33.1184,0.3276,0,0,0
E non sarebbe la prima volta,E non è la prima volta.,73.955,0.6914,0,0,0
"ma è un mio limite , certo",Ma è un mio limite.,82.328,0.83,0,0,0
INS. : Che cosa si può fare al computer ?,Che cosa si può fare al computer,92.0833,0.9577,0,0,0
"Un' altra , e non sarà l' ultima",E non sarà l'ultimo.,67.1429,0.487,0,0,0
Che cosa si potrebbe fare praticamente,Che cosa si può fare adesso?,87.619,0.9654,0,0,0
« Questa è un' altra vita .,Ma questa è un'altra vita,37.2619,0.1695,0,0,0
"Non ho resistito alla tentazione "" .",Non posso più aver - ci paura,53.9352,0.3606,0,0,0
E questa non sarebbe una novità .,Non è una novità assoluta,73.6111,0.75,0,0,0
è questo l' inizio della fine ?,È l'inizio della fine.,29.3452,0.3178,0,0,0
Non dovrebbe essere un diritto di tutti ?,Non è un diritto di nessuno,60.5159,0.7353,0,0,0
Ma fosse solo qui il problema,Ma il problema è proprio qui.,54.9603,0.5314,0,0,0
"Conseguentemente , sostituire il comma 5 con il seguente : « 5 .",Sostituire il comma 3 con il seguente :,39.2237,0.3221,0,0,0
"La seduta è tolta ( ore 13,05 ) .","La seduta è tolta alle ore 14, 05",81.9444,0.8314,0,0,0
"è stato un piacere , grazie",è stato un piacere e piacevole.,51.6667,0.7311,0,0,0
"Questa è stata , francamente una sorpresa .",Questa è stata una grande sorpresa,57.6852,0.7353,0,0,0
"E molte cose sono cambiate , oggi .",Da allora molte cose sono cambiate,66.6667,0.7782,0,0,0
"Qui è , dunque , il punto",Ed è qui il punto.,81.9444,0.8067,0,0,0
Oggi è davvero una strana giornata .,Oggi è stata una bella giornata,67.8571,0.7353,0,0,0
Ma questa non è certo una novità .,Ma non è una novità,84.0278,0.7324,0,0,0
Ma le parole sono queste .,Ma la parola è un'altra,46.6667,0.1,0,0,0
Comunque la storia è questa,Questa è la mia triste storia.,83.1944,0.8413,0,0,0
""" Sì ma questo è un problema culturale .",Questo è un problema grave,37.9167,0.5111,0,0,0
"Ringraziando per l' attenzione , distintamente saluto .",La ringrazio per l'attenzione e la saluto,46.3564,0.3587,0,0,0
Ci sono dei lavori in corso .,I lavori sono ancora in corso,100.0,0.9977,0,0,0
Ma la strada è questa,Ma la strada è ancora lunga.,43.254,0.2857,0,0,0
"Il sito è disponibile anche in inglese , francese e spagnolo",Il sito è disponibile anche in inglese.,55.5952,0.7556,0,0,0
Anche questa non è una novità,Non è una novità assoluta.,52.5,0.7433,0,0,0
Certo è meglio la prevenzione della cura .,è la prevenzione della malattia,54.1667,0.4331,0,0,0
Poi però accadde una cosa stranissima,Ma poi accadde una cosa strana.,43.6508,0.4189,0,0,0
"La Commissione prosegue l' esame , rinviato da ultimo nella seduta del 23 luglio 2002 .",La Commissione prosegue l'esame rinviato nella seduta del 15 luglio 1998,49.5616,0.5685,0,0,0
"Il punto sostanziale , tuttavia , è un altro .",Ma il punto è un altro,56.5741,0.7353,0,0,0
"L' articolo 57 del codice penale è sostituito dal seguente : "" Art",L'articolo 323 del codice penale è sostituito con il seguente : « Art,88.7351,0.8106,0,0,0
"Decorso tale termine , i decreti legislativi sono emanati anche in mancanza del parere .",Decorso tale termine i decreti sono emanati anche in mancanza del parere,80.5199,0.9281,0,0,0
"Sussistono , tuttavia , giusti motivi per compensare fra le parti le spese del giudizio .",Sussistono giusti motivi per compensare tra le parti le spese di giudizio,82.1329,0.8628,0,0,0
"La Commissione prosegue l' esame , rinviato da ultimo nella seduta del 29 gennaio 2003",La Commissione prosegue l'esame rinviato nella seduta del 23 gennaio 1998.,51.9547,0.6401,0,0,0
Ma questo è solo l' inizio delle sue avventure .,Ma è solo l'inizio di una nuova avventura,42.0966,0.4213,0,0,0
Quali sono le cause del fenomeno,Quali sono le cause del fenomeno?,64.3813,0.7454,0,0,0
Il giudizio complessivo è ; molto buono,Il giudizio complessivo è abbastanza buono.,64.3717,0.8413,0,0,0
Proprio questo è il problema,Questo è il grande problema.,60.0794,0.625,0,0,0
Ad Alberto piacque Volpina.,A Sofia piaceva tanto tanto la sciapina.,2.7778,0.0943,0,0,0
"Ma questa è un' altra storia , mi sembra",Ma questa è un'altra storia.,49.9074,0.4574,0,0,0
