Normal,Simple1,SARI_1,METEOR_1,ROUGE_F_1,BLEU_1,Simple2,SARI_2,METEOR_2,ROUGE_F_2,BLEU_2
"Pur essendo un insediamento rurale, si trova a breve distanza da Glasgow e funge da città dormitorio",Nel insediamento rurale si trova a breve distanza da Glasgow e può servire da città dormitorio,22.401217252783407,0.7258,0.7097,50.1,Nel insediamento rurale si trova a breve distanza da Glasgow e ha una città dormitorio,21.14801864801865,0.6534,0.6667,45.9
Come dire : due piccioni con una fava,Come dire : due piccini con una fava,22.46031746031746,0.7031,0.6667,27.1,"Come dire, due piccini con una fava",59.08119658119657,0.8648,0.6667,50.0
Non faccio del male a nessuno,Ma non volevo far del male,83.33333333333333,0.9977,1.0,100.0,Ma non volevo far del male,83.33333333333333,0.9977,1.0,100.0
A chi si presenta la domanda,A chi è presentata la domanda,43.17460317460317,0.5011,0.25,18.0,A chi è presentata la domanda,43.17460317460317,0.5011,0.25,18.0
è semmai vero il contrario,Era vero esattamente il contrario,46.031746031746025,0.5111,0.2857,23.6,Era vero esattamente il contrario,46.031746031746025,0.5111,0.2857,23.6
C' è tanta strada da fare ancora,La strada da fare è ancora molta,75.63131313131312,0.7577,0.7273,53.3,La strada da fare è ancora molta,75.63131313131312,0.7577,0.7273,53.3
"Nel merito , la questione è fondata",Nel merito la questione è fondata,91.66666666666667,0.9977,1.0,100.0,Nel merito la questione è fondata,91.66666666666667,0.9977,1.0,100.0
Il resto è opinabile,Il resto è stato tutto semplice,58.333333333333336,0.5773,0.2857,30.2,Il resto è stato tutto semplice,58.333333333333336,0.5773,0.2857,30.2
Per ogni membro effettivo può essere nominato un supplente,Per ogni membro effettivo è nominato un supplente,66.66666666666667,0.8648,0.7692,50.0,Per ogni membro effettivo è nominato un supplente,66.66666666666667,0.8648,0.7692,50.0
"Il codice quindi non viene compilato bensì c'è un interprete (in JavaScript lato client esso è incluso nel browser che si sta utilizzando) che esegue riga per riga, a tempo di esecuzione, quanto trascritto nello script","Il codice quindi non viene compilato mediante Javascript ed è contenuto nel browser che si utilizza ( in Javascript ) che effettua righe per pagina, a tempo, quanto si trascritte nello script, ossia quanto trascritto nello Script",31.26318414261029,0.6323,0.4,27.6,"Il codice quindi non viene compilato fra Java lato lato lato client ed è contenuto nel browser che si utilizza, a tempo limitato, quanto fa riflettere sul modalità di esecuzione, ossia quanto trascrivere nello script, quanto fece nello Script di seguito, quanto trascritto nello Scrip di testo, quanto resta eseguito nel client",30.59558943573566,0.4999,0.3415,21.2
"Dunque , al danno si aggiunge la beffa",Al danno si vuole davvero aggiungere la beffa,91.66666666666667,0.999,1.0,100.0,Al danno si vuole davvero aggiungere la beffa,91.66666666666667,0.999,1.0,100.0
"Infatti , i casi sono due",I casi possono essere due,83.33333333333333,0.996,1.0,100.0,I casi possono essere due,83.33333333333333,0.996,1.0,100.0
è questo il senso della mia vita,La vita è il senso,49.44444444444445,0.75,0.3333,23.6,La vita è il senso,49.44444444444445,0.75,0.3333,23.6
Naturalmente non può far questo da solo,Ma non può fare da solo,71.52777777777777,0.83,0.8,76.0,Ma non può fare da solo,71.52777777777777,0.83,0.8,76.0
"Certo , ma il problema è quello dell' approccio",Il problema è l'approccio,56.38528138528139,0.5077,0.2857,36.1,Il problema è l'approccio,56.38528138528139,0.5077,0.2857,36.1
Si noti che la somma dei residui all'interno di un campione casuale è necessariamente nulla e quindi i residui non sono necessariamente indipendenti,Si noti che la somma dei residuo all'interno di un campione casuale è sempre nulla,44.682917888563054,0.4748,0.5405,31.3,Si noti che la somma dei residuo all'interno di un campione casuale è sempre nulla,44.682917888563054,0.4748,0.5405,31.3
"La WWE ha riferito di aver sospeso dieci wrestler citati nella controversia, anche se Batista non era uno di loro","La WWE ha anche sospeso i wrestler citati nella controversia, anche se Batista non era uno di loro",52.35648148148149,0.7697,0.6061,53.1,"La WWE ha anche sospeso i wrestler citati nella controversia, anche se Batista non era uno di loro",52.35648148148149,0.7697,0.6061,53.1
Questi è altresì l' opera d' arte,Questa è l'opera d'arte,25.89285714285714,0.0658,0.75,9.7,Questa è l'opera d'arte,25.89285714285714,0.0658,0.75,9.7
"Dopo l' articolo 17 , aggiungere il seguente : Art",Dopo l'articolo 17 aggiungere il seguente : « Art,70.28409090909089,0.735,1.0,67.2,Dopo l'articolo 17 aggiungere il seguente : « Art,70.28409090909089,0.735,1.0,67.2
La questione non è fondata,Entrambe le questioni non sono fondate,28.888888888888886,0.0725,0.0,6.9,Entrambe le questioni non sono fondate,28.888888888888886,0.0725,0.0,6.9
Non lo può assolutamente fare,Non possiamo fare così,38.333333333333336,0.2041,0.0,14.8,Non possiamo fare così,38.333333333333336,0.2041,0.0,14.8
Ma questo è solo il mio punto di vista,è il nostro punto di vista,86.14718614718616,0.8676,0.8889,84.6,è il nostro punto di vista,86.14718614718616,0.8676,0.8889,84.6
"L' appello , pertanto , è infondato e va respinto",L'appello è infondato e va pertanto respinto,75.82972582972583,0.6802,1.0,70.1,L'appello è infondato e va pertanto respinto,75.82972582972583,0.6802,1.0,70.1
Ora non si vuol fare di ogni erba un fascio,Non facciamo di tutta un'erba un fascio,60.16835016835017,0.6692,1.0,42.4,Non facciamo di tutta un'erba un fascio,60.16835016835017,0.6692,1.0,42.4
Ma forse le cose stanno davvero cambiando,Ma forse le cose stanno per cambiare,37.22222222222222,0.7212,0.4,26.3,Ma forse le cose stanno per cambiare,37.22222222222222,0.7212,0.4,26.3
"Conseguentemente , propone di esprimere parere favorevole",Propone infine di esprimere un parere favorevole,83.33333333333333,0.9985,1.0,100.0,Propone infine di esprimere un parere favorevole,83.33333333333333,0.9985,1.0,100.0
"Negli altri casi , non vale",In altri casi non vale,44.64285714285714,0.5111,0.25,23.6,In altri casi non vale,44.64285714285714,0.5111,0.25,23.6
Spesso anzi è prevista anche un' indennità di frequenza per i partecipanti,Talvolta è prevista un'indennità di frequenza per i partecipanti,59.53083953083952,0.7687,0.6667,51.3,Talvolta è prevista un'indennità di frequenza per i partecipanti,59.53083953083952,0.7687,0.6667,51.3
"Era , però , un gioco di parole",Era stato solo un gioco di parole,64.55026455026454,0.7632,0.6667,41.1,Era stato solo un gioco di parole,64.55026455026454,0.7632,0.6667,41.1
Sarebbe un discorso lungo,Questo è un altro discorso,75.0,0.996,1.0,100.0,Questo è un altro discorso,75.0,0.996,1.0,100.0
La documentazione di spesa deve essere trattenuta presso la sede del consorzio export per essere messa a disposizione del Ministero per eventuali controlli,La documentazione di spesa deve essere trattenuta presso la sede del consorzio per eventuali controlli,48.67538300688068,0.6162,0.6857,54.3,La documentazione di spesa deve essere trattenuta presso la sede del consorzio per eventuali controlli,48.67538300688068,0.6162,0.6857,54.3
"Il problema , quindi , non è facile da risolvere",Il problema non è facile da risolvere,64.69627594627595,0.9654,0.6667,41.1,Il problema non è facile da risolvere,64.69627594627595,0.9654,0.6667,41.1
MA NON è questo il punto,Ma non è il punto,83.33333333333333,0.996,1.0,100.0,Ma non è il punto,83.33333333333333,0.996,1.0,100.0
"Vedi la nota su 2 , 17","Vedi nota 2, 17",29.583333333333332,0.4,0.0,15.1,"Vedi nota 2, 17",29.583333333333332,0.4,0.0,15.1
La preventiva richiesta deve essere motivata e documentata,La richiesta deve essere motivata,42.032828282828284,0.5836,0.6,44.8,La richiesta deve essere motivata,42.032828282828284,0.5836,0.6,44.8
"Credevo , di essere una persona reale",Credevo di essere una persona reale,91.66666666666667,0.9977,1.0,100.0,Credevo di essere una persona reale,91.66666666666667,0.9977,1.0,100.0
Ci sarà pure un modo,Ci deve essere un modo,83.33333333333333,0.996,1.0,100.0,Ci deve essere un modo,83.33333333333333,0.996,1.0,100.0
E l' una ragione è questa,E l'una ragione è questa,41.98412698412699,0.5111,0.0,23.6,E l'una ragione è questa,41.98412698412699,0.5111,0.0,23.6
"All' articolo 3 , dopo il comma 7 è aggiunto il seguente : "" 8","Dopo il comma 3 dell'articolo 7 è aggiunto il seguente : "" 8",20.569800569800567,0.6838,0.6,38.8,"Dopo il comma 3 dell'articolo 7 è aggiunto il seguente : "" 8",20.569800569800567,0.6838,0.6,38.8
Questo è solo il primo passo,è stato il primo passo,91.66666666666667,0.996,1.0,100.0,è stato il primo passo,91.66666666666667,0.996,1.0,100.0
Che dunque c' è una speranza,Ma c'è una buona speranza,47.04365079365079,0.9985,1.0,35.0,Ma c'è una buona speranza,47.04365079365079,0.9985,1.0,35.0
Non è questo il senso,Non è il senso giusto,50.0,0.6356,0.2857,10.4,Non è il senso giusto,50.0,0.6356,0.2857,10.4
Questo è un punto estremamente critico,Questo punto è estremamente importante,32.142857142857146,0.2542,0.0,11.5,Questo è un altro punto incerto,58.333333333333336,0.625,0.25,32.5
"Nel 1895 circa, William Doble migliorò la forma della benna semicilindrica di Pelton con una benna ellittica che includeva un taglio per consentire al getto un ingresso più pulito nella benna","Nel 1895, William Dobler migliorò la forma della benna semicondita di Pelton con una benna ellittica che conteneva un raggio di azione molto ampio nella benna",17.49930753800723,0.5881,0.4364,34.0,"Nel 1895, William Dobler migliorò la forma della benna Crossimana di Pelton con una benna di bennasia che conteneva un taglio di acqua in Pelosa",14.94537208822923,0.4863,0.3704,26.6
Non c' è bisogno,Non c'era alcun bisogno,42.5,0.4406,1.0,27.5,Non c'era alcun bisogno,42.5,0.4406,1.0,27.5
Parere favorevole con osservazioni ) Si riprende l' esame sospeso nella seduta pomeridiana del 16 aprile,Parere favorevole con osservazioni ) Riprende l'esame sospeso nella seduta pomeridiana del 16 aprile scorso,53.85829448329449,0.8126,0.8889,57.7,Parere favorevole con osservazioni ) Riprende l'esame sospeso nella seduta pomeridiana del 16 aprile scorso,53.85829448329449,0.8126,0.8889,57.7
Ma la cosa non ha funzionato,Ma la cosa non ha funzionato,4.166666666666667,0.1961,0.0,9.7,Ma la cosa non ha funzionato,4.166666666666667,0.1961,0.0,9.7
"In sintesi può assegnare alla capacità didattica del candidato , nell' ambito della valutazione comparativa , il giudizio di eccellente","In sintesi formula la capacità didattica del candidato nel candidato, in particolare il giudizio complessivo sulla valutazione comparativa",37.31072631072631,0.4695,0.3529,19.0,"In sintesi formula la capacità didattica del candidato, nell'ambito della valutazione comparativa",36.56361888245946,0.4801,0.5517,21.2
2 ) - L' appello è fondato,2 ) L'appello è fondato,30.376984126984127,0.4331,1.0,23.6,2 ) L'appello è fondato,30.376984126984127,0.4331,1.0,23.6
Questo è per me un punto irrinunciabile,Per me è un punto fermo,83.33333333333333,0.9977,1.0,100.0,Per me è un punto fermo,83.33333333333333,0.9977,1.0,100.0
C' è un pò di tutto,C'è bisogno di tutto,22.61904761904762,0.4907,0.0,6.2,C'è bisogno di tutto,22.61904761904762,0.4907,0.0,6.2
Però insomma : la verità sta nel mezzo,Forse la verità sta nel mezzo,66.66666666666667,0.9765,0.8889,50.8,Forse la verità sta nel mezzo,66.66666666666667,0.9765,0.8889,50.8
"La verità è stata una , però",La verità è però un'altra,53.47222222222222,0.7182,0.3333,39.8,La verità è però un'altra,53.47222222222222,0.7182,0.3333,39.8
Vale la pena di visitar- lo,Vale la pena visitar - lo,38.161375661375665,0.526,0.6667,19.3,Vale comunque la pena visitar - lo,42.32804232804233,0.5174,0.6,15.6
"Ma il problema attuale , forse , è un altro ancora",Il problema può essere un altro,83.33333333333333,0.9977,1.0,100.0,Il problema può essere un altro,83.33333333333333,0.9977,1.0,100.0
Ci può fare un esempio,Può fare un esempio pratico,15.138888888888886,0.5111,0.25,12.7,Può fare un esempio pratico,15.138888888888886,0.5111,0.25,12.7
A cosa potrà servir- le,A cosa potrà servir - le,36.94444444444444,0.4259,0.2222,16.2,A cosa potrà servir - le,36.94444444444444,0.4259,0.2222,16.2
Aidan borbottò che lei non aveva cantato per tutti,Aidan borbottò che lei non aveva cantato per tutti,28.59710550887021,0.8819,0.75,75.1,Aidan borbottò che lei non aveva cantato per tutti,28.59710550887021,0.8819,0.75,75.1
Questo potrebbe essere un primo passo,è soltanto un primo passo,62.5,0.75,0.6667,42.7,è soltanto un primo passo,62.5,0.75,0.6667,42.7
Ma anche questo non è il punto,Ma non è il punto,91.66666666666667,0.996,1.0,100.0,Ma non è il punto,91.66666666666667,0.996,1.0,100.0
"Sì , ed è stato un peccato",Ed è stato un peccato,32.48677248677249,0.6313,0.0,14.1,Ed è stato un peccato,32.48677248677249,0.6313,0.0,14.1
Non è nei miei pensieri,Non è un mio pensiero,83.33333333333333,0.996,1.0,100.0,Non è un mio pensiero,83.33333333333333,0.996,1.0,100.0
"Aperta la busta , il tema viene dettato alla candidata",Aperta la busta viene dettato il tema alla candidata,83.33333333333333,0.9993,1.0,100.0,Aperta la busta viene dettato il tema alla candidata,83.33333333333333,0.9993,1.0,100.0
Innanzitutto grazie per aver accettato questa mia intervista,Ringrazio per aver accettato questa mia domanda,29.206349206349206,0.567,0.5,41.1,Ringrazio per aver accettato questa mia domanda,29.206349206349206,0.567,0.5,41.1
Ora accade esattamente il contrario,Può anche accadere il contrario,83.33333333333333,0.996,1.0,100.0,Può anche accadere il contrario,83.33333333333333,0.996,1.0,100.0
"Si , certo , è la guerra",La guerra è ancora aperta,47.61904761904762,0.3319,0.2857,8.5,Questa è la guerra più feroce,42.989417989417994,0.3276,0.25,15.2
"Nel 1981 Ali Agca fu condannato all'ergastolo per attentato (non riuscito) contro capo di stato estero, per l'attentato a Papa Giovanni Paolo II","Nel 1981 Ali Agri fu condannato all'ertotologico contro capo di Stato, per l'attentato a Papa Giovanni Paolo II",16.10846560846561,0.6457,0.5714,21.9,"Nel 1981 Ali Agri fu condannato all'ergasto per i crimini di guerra estero, per l'attentato a Papa Paolo II",18.603664853664856,0.5489,0.4186,23.1
Ma il fatto è solo uno,Ma il fatto era significativo,55.47619047619048,0.433,0.4444,26.7,Ma il fatto politico è un altro,91.66666666666667,0.9985,1.0,100.0
"A chi si rivolge questo libro , dunque",A chi è rivolto questo libro,83.33333333333333,0.9977,1.0,100.0,A chi è rivolto questo libro,83.33333333333333,0.9977,1.0,100.0
Questa è la mia priorità assoluta,è questa la mia priorità,83.33333333333333,0.996,1.0,100.0,è questa la mia priorità,83.33333333333333,0.996,1.0,100.0
"Sì , sarà per me un piacere",Per me è un piacere,48.379629629629626,0.6305,0.5714,12.4,Per me è un piacere,48.379629629629626,0.6305,0.5714,12.4
Un giorno d’estate faceva molto caldo e Ugolino aveva davvero tanta sete,Un giorno l ’ estate d ’ estate faceva molto caldo e Ugolino aveva davvero tanta voglia,26.79568238778765,0.9074,0.7692,45.3,Un giorno l ’ estate d ’ estate faceva molto caldo e Ugolino aveva davvero tanta voglia,26.79568238778765,0.9074,0.7692,45.3
"Sul palco Aidan fece dei suoni insoliti col suo computer portatile, Ida iniziò a fare il beat boxing, cioè dei suoni ritmati con la bocca, e Simo si mise a roteare sulla testa","Sul palco Aidan fece dei suoni insoliti : Ida iniziò a fare rumore insoliti con la bocca, e Simo iniziò a suonare la bocca",20.808075043352023,0.451,0.4444,30.6,"Sul palco Aidan fece dei suoni insoliti : Ida iniziò a fare rumore rumore molto acuto, poi Simo iniziò a suonare la bocca",16.273591200159288,0.3845,0.3396,20.4
Sostituire il comma 7 con il seguente : « 7,Sostituire il comma 7 con il seguente,66.66666666666667,0.9985,1.0,100.0,Sostituire il comma 7 con il seguente,66.66666666666667,0.9985,1.0,100.0
Naturalmente non mancano le ombre,Ma non mancano le ombre,66.66666666666667,0.7938,0.75,66.9,Ma non mancano le ombre,66.66666666666667,0.7938,0.75,66.9
Il bilancio è molto positivo,Il bilancio è molto positivo,17.12962962962963,0.5515,0.2857,35.0,Il bilancio è molto positivo,17.12962962962963,0.5515,0.2857,35.0
Qual è il vostro lavoro,Qual è il vostro lavoro,17.12962962962963,0.75,0.3333,42.7,Qual è il vostro lavoro,17.12962962962963,0.75,0.3333,42.7
"Nel 1998 il CDU di Rocco Buttiglione partecipa al progetto delll'ex presidente della Repubblica Francesco Cossiga che promuove la nascita di un nuovo soggetto politico, l'Unione Democratica per la Repubblica (UDR), che si propone la creazione di un terzo polo di centro alternativo al centrodestra e al centrosinistra","Nel 1998 il CDU di Rocco Buttiglione partecipa al progetto delll'ex presidente della Repubblica Francesco Cossiga che promuove la nascita di un nuovo soggetto politico, l'Unione Democratica per la Repubblica ( UDR ), che si propone la creazione di un terzo polo di centro alternativo al centrodestra e al centrosinistra",31.397506200752527,0.9733,0.9149,89.0,"Nel 1998 il CDU di Rocco Buttiglione partecipa al progetto delll'ex presidente della Repubblica Francesco Cossiga che promuove la nascita di un nuovo soggetto politico, l'Unione Democratica per la Repubblica ( UDR ), che si propone la creazione di un terzo polo di centro alternativo al centrodestra e al centrosinistra. Il CDU scadrà al prossimo gennaio dell'anno successivo",31.397506200752527,0.9504,0.835,75.6
Siamo in buone mani,Siamo anche in buone mani,50.0,0.75,0.5,42.7,Siamo anche in buone mani,50.0,0.75,0.5,42.7
Eventuali indicazioni bibliografiche ulteriori o alternative verranno fornite durante il corso,Eventuali indicazioni bibliografiche verranno fornite durante il corso,58.11147186147186,0.8294,0.6154,54.1,Eventuali indicazioni bibliografiche verranno fornite durante il corso,58.11147186147186,0.8294,0.6154,54.1
L' articolo è presente anche su,L'articolo è stato pubblicato anche su questo,27.916666666666668,0.5174,0.2,14.5,L'articolo è stato pubblicato anche su questo,27.916666666666668,0.5174,0.2,14.5
Carte più dettagliate e personalizzate possono essere create con un programma planetario come lo Starry Night,carte più dettagliate possono essere create con un programma in grado di creare un programma chiamato Starter Night,37.76687364922659,0.5556,0.3448,27.5,carte più dettagliate possono essere create con un programma in grado di risolvere lo Starry Night,42.58168731852942,0.7417,0.5185,38.4
Programma per non frequentanti da concordare con la docente,programmatico da concordare con il docente,37.62108262108262,0.3384,0.3077,18.3,programmare con il docente per concordare il docente,38.47578347578348,0.2871,0.2667,18.1
E non sono affatto la stessa cosa,Non possono essere la stessa cosa,91.66666666666667,0.9977,1.0,100.0,Non possono essere la stessa cosa,91.66666666666667,0.9977,1.0,100.0
"Si procederà , quindi , alla votazione",Si può procedere alla votazione,83.33333333333333,0.996,1.0,100.0,Si può procedere alla votazione,83.33333333333333,0.996,1.0,100.0
La stazione di Bordighera è situata lungo la linea Genova-Ventimiglia e serve l,La stazione di Bordigo è situata lungo la linea Genova - Francoussa e serve l'intera linea stradale,23.38209294731034,0.5823,0.5333,23.7,La stazione di Bordigo è situata lungo la linea Genova - Franco Emanuele e serve l'intera linea stradale - Messina,23.38209294731034,0.5716,0.5,19.8
Vi ringrazio per l' attenzione e vi auguro buon lavoro,Ringrazio per l'attenzione e auguro buon lavoro,49.473304473304474,0.6692,1.0,42.4,Ringrazio per l'attenzione e auguro buon lavoro,49.473304473304474,0.6692,1.0,42.4
Togliete dal forno e servite immediatamente,Togliere dal forno e servire,85.0,0.8441,0.8889,81.9,Togliere dal forno e servire,85.0,0.8441,0.8889,81.9
"Le cose sono cambiate , da allora",Da allora molte cose sono cambiate,91.66666666666667,0.9977,1.0,100.0,Da allora molte cose sono cambiate,91.66666666666667,0.9977,1.0,100.0
"Certo , ci sono dei limiti",Ci sono dei limiti superiori,16.984126984126984,0.0,0.0,3.6,Ci sono dei limiti superiori,16.984126984126984,0.0,0.0,3.6
E allora che cosa c' è che non va,Che cos'è che non va,35.07575757575757,0.6392,0.4,23.5,Che cos'è che non va,35.07575757575757,0.6392,0.4,23.5
ma una cosa dobbiamo dir- la,Una cosa devo comunque dire,83.33333333333333,0.996,1.0,100.0,Una cosa devo comunque dire,83.33333333333333,0.996,1.0,100.0
Questa è una lettera d' amore,è una bella lettera d'amore,8.333333333333334,0.3758,0.5,19.4,è una bella lettera d'amore,8.333333333333334,0.3758,0.5,19.4
Non vi sarebbero state vittime,Ma non vi sono state vittime,71.52777777777777,0.83,0.8,76.0,Ma non vi sono state vittime,71.52777777777777,0.83,0.8,76.0
"Tale attività , ben documentata , è buona come l' attività didattica",L'attività didattica è ben documentata,26.50462962962963,0.1053,0.3636,5.7,L'attività didattica è buona e documentata,33.10185185185185,0.2662,0.3333,10.9
è così o questa è una mia errata impressione,è una mia impressione personale,46.35683760683761,0.487,0.5,23.5,è una mia impressione o è solo un'impressione,57.68259518259518,0.8406,0.5455,35.9
"Sospendo tuttavia la seduta , che riprenderà alle 15",Sospendo la seduta che riprenderà alle 15,91.66666666666667,0.9985,1.0,100.0,Sospendo la seduta che riprenderà alle 15,91.66666666666667,0.9985,1.0,100.0
"Quali sono , dunque , i veri motivi della crisi italiana",Quali sono i motivi di questa crisi,54.0958428826076,0.7934,0.5455,43.5,Quali sono i motivi di questa crisi,54.0958428826076,0.7934,0.5455,43.5
Poi d' un tratto sentii una voce,Poi sentirono una voce,33.101851851851855,0.2467,0.2222,15.1,Poi sentirono una voce,33.101851851851855,0.2467,0.2222,15.1
Nell'antichità il se era spesso usato in duetto con il qin,Nel antichità il se era usato in due modi con il qin,15.603402445507706,0.7017,0.5455,24.1,Nel antichità il se era usato in duetti con il qin,15.603402445507706,0.7081,0.5714,26.7
Grazie e mi scusi il disturbo,Grazie e scusa ancora il disturbo,83.33333333333333,0.9977,1.0,100.0,Grazie e scusa ancora il disturbo,83.33333333333333,0.9977,1.0,100.0
E questa è una notizia,Ed è una buona notizia,83.33333333333333,0.996,1.0,100.0,Ed è una buona notizia,83.33333333333333,0.996,1.0,100.0
"Il primo utilizzo del riscaldamento elettrico fu per un torneo di balkline 18.2 tenutosi nel dicembre 1927 tra Welker Cochran e Jacob Schaefer , Jr","Il primo utilizzo del clima caldo fu per un torneo di balk - 2 tenutosi nel dicembre 1927 tra Welch Cochran e Karl Schaer, Jr",37.41756211268407,0.5196,0.4314,27.1,"Il primo utilizzo del clima elettrico fu per un torneo di balkling 18. 2. Robinson fu per la prima volta nel dicembre 1927 tra Welch Cochran e Wilhelm Schrafer, Jr",44.25738979854834,0.5294,0.4561,31.2
"Nel Medioevo europeo, l'erba veniva posta sotto i cuscini per favorire il sonno e allontanare gli incubi","Nel medievale, l'erba veniva messa sotto i piedi per favorire il sonno e evitare gli incubi",25.802077999658646,0.5749,0.4444,25.9,"Nel medievale, l'erba veniva messa sotto i piedi per favorire il sonno e evitare gli incubi",25.802077999658646,0.5749,0.4444,25.9
E il problema è proprio questo,Il problema è questo,41.17063492063492,0.5442,0.0,21.4,Il problema è questo,41.17063492063492,0.5442,0.0,21.4
Allora qual è la differenza,Dov'è allora la differenza,52.69841269841269,0.9977,1.0,46.3,Dov'è allora la differenza,52.69841269841269,0.9977,1.0,46.3
"Dopo l' articolo 423 del codice penale è inserito il seguente : "" Art",Dopo l'articolo 423 del codice civile è inserito il seguente : « Art,77.1786546786547,0.8089,1.0,78.0,Dopo l'articolo 423 del codice civile è inserito il seguente : « Art,77.1786546786547,0.8089,1.0,78.0
"Si arrampicò sulla roccia più grande, e guardò i gabbiani planare sopra le teste di Ida e del suo nuovo amico Aidan mentre camminavano sulla spiaggia diretti verso di lui",Si arrampicò sulla roccia più grande e guardò i gabbiani di Ida e del suo nuovo amico Aidan mentre camminava sulla spiaggia,33.015813449249976,0.693,0.72,47.6,Si arrampicò sulla roccia più grande e guardò i gabbiani fin le spalle di Ida e del suo nuovo amico Aidan verso di lui,32.867607009483436,0.7144,0.6923,48.1
Quello fu un grande periodo,è stato un grande periodo,33.05555555555555,0.2,0.0,12.7,è stato un grande periodo,33.05555555555555,0.2,0.0,12.7
L' errore concettuale è proprio questo,Questo è stato l'errore,37.77777777777777,0.2467,0.0,5.9,Questo è stato l'errore,37.77777777777777,0.2467,0.0,5.9
