Normal,Simple1,SARI_1,METEOR_1,ROUGE_F_1,BLEU_1,Simple2,SARI_2,METEOR_2,ROUGE_F_2,BLEU_2
Ma forse il problema è un altro,Il mio problema è un altro.,49.0939,0.6371,0.2222,27.8,Il mio problema è un altro.,49.0939,0.6371,0.2222,27.8
"è un' occasione da non perdere "" .",È veramente un'occasione da non perdere,63.6574,0.4808,0.4,25.6,È veramente un'occasione da non perdere,63.6574,0.4808,0.4,25.6
« E non è un compito facile .,Non era un compito facile,66.6667,0.75,0.5,42.7,Non è un compito facile!,50.463,0.7353,0.5714,32.5
"Questo è un punto fondamentale "" .",Questo è un punto fermo,48.9947,0.7938,0.6667,66.9,Questo è un punto fermo,48.9947,0.7938,0.6667,66.9
"Certo , il rischio c' è","Certo che no, è stato il rischio.",61.1322,0.7079,0.0,14.3,"Certo che no, è stato il rischio.",61.1322,0.7079,0.0,14.3
In attesa di una sollecita risposta le porgo distinti saluti .,In attesa di sua risposta porgo distinti saluti,49.4808,0.6862,0.6667,28.0,In attesa di una risposta porgo distinti saluti,66.6667,0.7948,0.8,40.3
La risposta è chiara : no .,Comunque la risposta è no,62.2222,0.75,0.3333,39.8,Comunque la risposta è no,62.2222,0.75,0.3333,39.8
""" Questo è un tema cruciale e delicato .",Questo è un tema delicato,65.7407,0.7938,0.6667,66.9,Questo è un tema delicato,65.7407,0.7938,0.6667,66.9
Non saprei proprio da che parte cominciare,Non sai neanche da che parte cominciare.,66.6667,0.5438,0.4615,30.5,Non sai neanche da che parte cominciare.,66.6667,0.5438,0.4615,30.5
La presente circolare sarà pubblicata integralmente nella Gazzetta Ufficiale della Regione siciliana,La presente circolare verrà pubblicata nella Gazzetta Ufficiale della Regione siciliana.,43.8033,0.7752,0.5263,32.6,La presente circolare verrà pubblicata nella Gazzetta Ufficiale della Regione siciliana.,43.8033,0.7752,0.5263,32.6
Naturalmente non è un compito facile,Ma non sarà un compito facile.,100.0,0.9985,1.0,100.0,Ma non sarà un compito facile.,100.0,0.9985,1.0,100.0
Presenta un discreto numero di pubblicazioni e molti contributi a congressi .,Presenta un piccolo numero di pubblicazioni ed alcuni contributi personali a congressi,68.5773,0.9139,0.8182,76.9,Presenta un piccolo numero di pubblicazioni ed alcuni contributi personali a congressi,68.5773,0.9139,0.8182,76.9
"Posto ai voti , l' emendamento 8.6 , è respinto .",è posto ai voti e respinto l'emendamento 41. 6,55.7158,0.4901,0.4,10.0,è posto ai voti e respinto l'emendamento 41. 6,55.7158,0.4901,0.4,10.0
Quali sono allora le novità ?,Ma quali sono le altre novità,66.9643,0.7353,0.4444,18.0,Ma quali sono le altre novità,66.9643,0.7353,0.4444,18.0
"E abrogata ogni disposizione contraria "" .",È abrogata ogni disposizione contraria,100.0,0.996,1.0,66.9,È abrogata ogni disposizione contraria,100.0,0.996,1.0,66.9
"C' è un altro problema , piuttosto",Ci sarà un altro problema.,49.504,0.4574,0.25,16.3,Il problema poi è un altro.,80.5556,0.8413,0.5,48.9
Ed il problema si è risolto »,Quindi il problema è risolto.,74.9008,0.8067,0.3333,23.0,Quindi il problema è risolto.,74.9008,0.8067,0.3333,23.0
È troppo facile e troppo arcaico,Ed è stato facile e piacevole.,61.1508,0.4509,0.2857,14.5,Ed è stato facile e piacevole.,61.1508,0.4509,0.2857,14.5
E non sarebbe una differenza di poco conto .,Questa è una differenza di non poco conto,53.6869,0.6005,0.1818,14.5,Questa è una differenza di non poco conto,53.6869,0.6005,0.1818,14.5
"La risposta , chiaramente , è : assolutamente no !","Assolutamente, la risposta è NO",70.1975,0.6615,0.6667,30.2,La nostra risposta è no!,74.5536,0.8067,0.3333,50.8
Ma è una partita tutta da giocare .,Naturalmente la partita è ancora tutta da giocare,92.2222,0.8737,0.8333,84.1,Naturalmente la partita è ancora tutta da giocare,92.2222,0.8737,0.8333,84.1
Naturalmente le difficoltà non mancano,Ma le difficoltà non mancano.,58.6111,0.8067,0.5,32.5,Ma le difficoltà non mancano.,58.6111,0.8067,0.5,32.5
L' obiettivo è stato quasi raggiunto,Il mio obiettivo era raggiunto.,42.5,0.4259,0.0,18.0,Il mio obiettivo era raggiunto.,42.5,0.4259,0.0,18.0
Adesso le cose sono cambiate .,Intanto molte cose sono cambiate,66.6667,0.5889,0.5,39.8,Intanto molte cose sono cambiate,66.6667,0.5889,0.5,39.8
"La Commissione prosegue l' esame , rinviato da ultimo nella seduta del 19 luglio 2004",La Commissione prosegue l'esame rinviato nella seduta del 15 luglio 1997.,57.822,0.7149,0.8182,36.0,La Commissione prosegue l'esame rinviato nella seduta del 15 luglio 1997.,57.822,0.7149,0.8182,36.0
C' è una grossa differenza,Ma c'è una grossa differenza.,33.5317,0.8648,0.5,15.2,Ma c'è una grossa differenza.,33.5317,0.8648,0.5,15.2
"Nata nel 1792 , morì nel 1879 .",Nato nel 1218 morì nel 1282,59.6429,0.4259,0.2,18.0,Nato nel 1218 morì nel 1282,59.6429,0.4259,0.2,18.0
Sostituire il comma 4 con il seguente : « 4,il comma 4 è sostituito dal seguente : « 4.,67.0268,0.803,0.5,49.6,il comma 4 è sostituito dal seguente : « 4.,67.0268,0.803,0.5,49.6
La ringrazio per l' aiuto,La ringrazio tantissimo per il suo aiuto!,58.7121,0.7031,0.5,27.1,La ringrazio tantissimo per il suo aiuto!,58.7121,0.7031,0.5,27.1
"Questo è il mio punto di vista , naturalmente",Questo è il punto di vista.,34.7222,0.5068,0.4444,19.7,Questo è il punto di vista.,34.7222,0.5068,0.4444,19.7
"Questo sì , sarebbe un bel passo avanti .",è già un bel passo avanti,46.25,0.526,0.25,19.3,è già un bel passo avanti,46.25,0.526,0.25,19.3
Visti gli atti tutti della causa,Visti gli atti della causa.,72.963,0.8067,0.5,23.0,Visti gli atti della causa.,72.963,0.8067,0.5,23.0
La causa è tuttora sconosciuta .,La loro causa è ancora sconosciuta,100.0,0.9977,1.0,100.0,La loro causa è ancora sconosciuta,100.0,0.9977,1.0,100.0
E questa è stata la cosa più difficile .,è questa la cosa più difficile,74.2424,0.949,0.8571,53.7,è questa la cosa più difficile,74.2424,0.949,0.8571,53.7
Ora la domanda è questa .,Questa è la grande domanda,73.6111,0.75,0.3333,42.7,Questa è la grande domanda,73.6111,0.75,0.3333,42.7
Il giudizio è : ottimo,Il giudizio risultante è ottimo.,61.3095,0.8067,0.3333,32.5,Il giudizio risultante è ottimo.,61.3095,0.8067,0.3333,32.5
Il problema allora è un altro,il mio problema è un altro.,48.5119,0.1899,0.0,6.8,Il problema può essere un altro.,57.4074,0.1899,0.0,7.5
Però questa è solo la mia misera opinione personale !,Ovviamente è solo una mia opinione personale!,37.004,0.6282,0.2222,16.5,Ovviamente è solo una mia opinione personale!,37.004,0.6282,0.2222,16.5
"Ora , le cose sono cambiate",Ma intanto le cose sono cambiate.,80.5556,0.8413,0.6,64.3,Ma intanto le cose sono cambiate.,80.5556,0.8413,0.6,64.3
"Vabbè , non è una grande novità .",E non è una novità,79.1667,0.7938,0.6667,66.9,E non è una novità,79.1667,0.7938,0.6667,66.9
E questo non è una bella cosa,Non è una piccola cosa.,56.1111,0.5435,0.0,15.2,Non è una piccola cosa.,56.1111,0.5435,0.0,15.2
Compensa integralmente fra le parti le spese di giudizio .,Compensa le spese di giudizio tra le parti,31.4867,0.3371,0.2667,15.3,Compensa le spese di giudizio tra le parti,31.4867,0.3371,0.2667,15.3
Per ulteriori informazioni visitate i siti :,Per ulteriori informazioni visita il nostro sito,56.6667,0.3727,0.3077,21.2,Per ulteriori informazioni si può visitare il sito :,63.447,0.5975,0.4286,31.6
"La Commissione prosegue l' esame rinviato , da ultimo nella seduta del 16 marzo 2005",La Commissione prosegue l'esame rinviato nella seduta del 5 marzo 1997.,48.3282,0.6235,0.7273,30.0,La Commissione prosegue l'esame rinviato nella seduta del 5 marzo 1997.,48.3282,0.6235,0.7273,30.0
Spese del presente grado di giudizio compensate .,Le spese del presente grado di giudizio sono compensate,77.1429,0.8018,0.7059,67.2,Le spese del presente grado di giudizio sono compensate,77.1429,0.8018,0.7059,67.2
Su ciò non dobbiamo far- ci illusioni,Ma non possiamo far - ci illusioni.,35.5952,0.6817,0.6,25.8,Ma non possiamo far - ci illusioni.,35.5952,0.6817,0.6,25.8
Vorrei fare un esempio concreto .,Una per fare un esempio,43.0556,0.375,0.25,21.4,Facciamo anche un esempio concreto,70.8333,0.75,0.5,42.7
Ma di certo non sono una novità .,ma non è una novità,100.0,0.996,1.0,66.9,ma non è una novità,100.0,0.996,1.0,66.9
"Ma c' è anche un aspetto positivo """,Ma ci sono anche altri aspetti.,35.9127,0.1266,0.0,7.8,Ma ci sono anche altri aspetti.,35.9127,0.1266,0.0,7.8
L' ordinamento contabile della Regione è disciplinato con legge regionale .,La legge regionale disciplina l'ordinamento contabile della Regione,46.2698,0.2809,0.125,7.3,La legge regionale disciplina l'ordinamento contabile della Regione,46.2698,0.2809,0.125,7.3
Quindi il problema forse è un altro,Il problema è stato un altro.,61.3161,0.8036,0.5,32.2,Il problema è stato un altro.,61.3161,0.8036,0.5,32.2
« La situazione attuale è gravissima,La situazione può essere grave.,69.7619,0.625,0.2857,23.0,La situazione può essere grave.,69.7619,0.625,0.2857,23.0
"I pagamenti avvengono mensilmente tramite assegno , al raggiungimento di 50 $",I pagamenti avvengono tramite assegno al raggiungimento di 50 $.,77.0416,0.9055,0.875,74.2,I pagamenti avvengono tramite assegno al raggiungimento di 50 $.,77.0416,0.9055,0.875,74.2
All' inizio tutto fu difficile .,All'inizio è stato difficile,64.7222,0.5077,1.0,46.3,All'inizio è stato difficile,64.7222,0.5077,1.0,46.3
"Propone , pertanto , che la Commissione esprima parere favorevole",Pertanto propone che la Commissione esprima parere favorevole.,68.287,0.8692,0.5333,38.6,Pertanto propone che la Commissione esprima parere favorevole.,68.287,0.8692,0.5333,38.6
« La situazione è gravissima,La situazione può essere grave.,52.6984,0.625,0.2857,23.0,La situazione può essere grave.,52.6984,0.625,0.2857,23.0
Non era certo questo il problema,Non siamo il vostro problema.,65.5556,0.4259,0.0,18.0,Non siamo il vostro problema.,65.5556,0.4259,0.0,18.0
"Oggi , qual è la situazione",Oggi qual è la situazione?,49.4444,0.5718,0.3333,27.5,E oggi qual è la situazione?,48.0556,0.5646,0.2857,27.8
Ma la realtà spesso è un' altra .,La realtà è ben altra,72.2222,0.75,0.3333,42.7,La realtà è ben altra,72.2222,0.75,0.3333,42.7
E potrebbe non essere il solo .,E non era il solo,69.4444,0.75,0.5,30.2,E non era il solo,69.4444,0.75,0.5,30.2
Ma il problema è proprio questo,Ma è proprio qui il problema.,56.9444,0.5174,0.2857,14.5,Ma è proprio qui il problema.,56.9444,0.5174,0.2857,14.5
E si potrebbe continuare a lungo .,E si può continuare a lungo,94.0741,0.9765,0.8889,50.8,E si può continuare a lungo,94.0741,0.9765,0.8889,50.8
Uno dei problemi più gravi oggi in città è il traffico,I problemi sono più difficili in città.,38.8107,0.2608,0.0,9.5,I problemi sono più difficili in città.,38.8107,0.2608,0.0,9.5
Il problema oggi è un altro,il mio problema è un altro.,100.0,0.9985,1.0,80.9,Il problema può essere un altro.,51.4815,0.6371,0.2222,27.8
Ci potreste dare dei consigli ?,Che consigli ci può dare,39.0278,0.2,0.0,12.7,Che consigli ci può dare,39.0278,0.2,0.0,12.7
"Propone , dunque , di esprimere un parere favorevole .",Propone infine di esprimere un parere favorevole,46.4646,0.7311,0.3636,19.6,Propone infine di esprimere un parere favorevole,46.4646,0.7311,0.3636,19.6
"Dunque , qual è il problema ?",Ma allora qual è il problema,48.3333,0.7353,0.2857,23.0,Ma allora qual è il problema,48.3333,0.7353,0.2857,23.0
Quella sarebbe un' altra storia,Ma quella era già un'altra storia.,36.0185,0.2373,0.4,13.1,Ma quella era già un'altra storia.,36.0185,0.2373,0.4,13.1
Questo non è più il caso,Non è il tuo caso.,72.8175,0.8067,0.3333,23.0,Non è il tuo caso.,72.8175,0.8067,0.3333,23.0
"Il problema , qui , è un altro .",Ma i veri problemi sono altri,32.1429,0.0,0.0,4.1,Il problema è quindi un altro,54.0873,0.7433,0.5,24.3
Comunque questa è una cosa .,Questa era una nuova cosa,51.1111,0.2,0.0,12.7,Questa era una nuova cosa,51.1111,0.2,0.0,12.7
« Qui il discorso è più complesso .,Ma qui il discorso è più complesso,50.4924,0.7934,0.4444,18.6,Ma qui il discorso è più complesso,50.4924,0.7934,0.4444,18.6
"L' emendamento 2.10 , posto ai voti , è respinto",Posto ai voti è respinto l'emendamento 1. 10.,68.1044,0.5889,1.0,41.1,Posto ai voti è respinto l'emendamento 1. 10.,68.1044,0.5889,1.0,41.1
C' è un problema però,Ci sono però alcuni problemi.,46.8519,0.1282,0.0,6.9,Ci sono però alcuni problemi.,46.8519,0.1282,0.0,6.9
"Ma non è , lontanamente , la stessa cosa",Forse non è la stessa cosa.,83.171,0.7577,0.6667,70.1,Eppure non è assolutamente la stessa cosa.,71.8813,0.7361,0.4,41.1
"Sostituire , inoltre , il comma 2 dell' articolo 2 con il seguente : "" 2 .","Il comma 8 dell'articolo 21 è sostituito dal seguente : "" 8",73.6021,0.5752,0.4444,43.2,"Il comma 5 dell'articolo 19 è sostituito dal seguente : "" 5",73.6021,0.5752,0.4444,43.2
"I problemi , tuttavia , non mancano",Tuttavia i problemi non mancano.,71.2963,0.7433,0.5,19.3,Tuttavia i problemi non mancano.,71.2963,0.7433,0.5,19.3
Personalmente mi trovo molto bene .,Mi sono trovato molto bene,100.0,0.996,1.0,100.0,Mi sono trovato molto bene,100.0,0.996,1.0,100.0
"Rinvia , infine , il seguito della discussione ad altra seduta .",Rinvia ad altra seduta il seguito della discussione,66.1111,0.7773,0.6667,30.5,Rinvia ad altra seduta il seguito della discussione,66.1111,0.7773,0.6667,30.5
"La Commissione prosegue l' esame , rinviato da ultimo nella seduta pomeridiana del 4 febbraio 2003 .",La Commissione prosegue l'esame rinviato nella seduta del 17 febbraio 2005,46.8885,0.6085,0.7273,32.0,La Commissione prosegue l'esame rinviato nella seduta del 17 febbraio 2005,46.8885,0.6085,0.7273,32.0
- Non è un problema .,Tutto ciò non è un problema,66.6667,0.7782,0.5714,30.2,Non è un problema recente,66.6667,0.7938,0.6667,66.9
"Ma , amiche mie , non è questo il problema !",ma il problema non è questo,54.1667,0.618,0.0,17.3,Ma questo non è l'unico problema,74.0308,0.7014,0.4,45.5
E qui la lista è decisamente lunga,La lista è lunga e complessa.,83.3333,0.8413,0.75,64.3,La lista è lunga e complessa.,83.3333,0.8413,0.75,64.3
Ma ne varrà davvero la pena .,Deve valer - ne veramente la pena,44.4841,0.3074,0.2222,13.1,Deve valer - ne veramente la pena,44.4841,0.3074,0.2222,13.1
E questo non avviene oggi,Questo non deve essere avvenuto.,50.0,0.25,0.0,9.7,Questo non deve essere avvenuto.,50.0,0.25,0.0,9.7
I lavori dovrebbero cominciare nel 2005 .,Nel 1863 cominciano i lavori,58.9484,0.5111,0.25,10.7,Nel 1863 cominciano i lavori,58.9484,0.5111,0.25,10.7
"Il presente decreto , pubblicato sulla Gazzetta Ufficiale della Repubblica italiana , entra in vigore il giorno della pubblicazione .",Il presente decreto viene pubblicato nella Gazzetta Ufficiale della Repubblica italiana ed entra in vigore il giorno successivo alla sua pubblicazione,81.3827,0.9005,0.8,72.4,Il presente decreto viene pubblicato nella Gazzetta Ufficiale della Repubblica italiana ed entra in vigore il giorno successivo alla sua pubblicazione,81.3827,0.9005,0.8,72.4
""" Questa è una bella realtà",Questa è una triste realtà.,69.4444,0.5718,0.25,24.6,Questa è una triste realtà.,69.4444,0.5718,0.25,24.6
In questo c' è un errore gravissimo .,questo è un grave errore,43.9352,0.75,0.3333,23.6,questo è un grave errore,43.9352,0.75,0.3333,23.6
"Nell' attesa di una sua risposta , porgo distinti saluti .",In attesa di sua risposta porgo distinti saluti,75.3604,0.8648,0.7143,50.0,In attesa di sua risposta porgo distinti saluti,75.3604,0.8648,0.7143,50.0
"In attesa di una vostra sempre efficiente risposta , vi ringrazio anticipatamente",in attesa di risposta ringrazio anticipatamente.,42.1792,0.5269,0.5,10.8,in attesa di risposta ringrazio anticipatamente.,42.1792,0.5269,0.5,10.8
"Approva , altresì , l' articolo 7 .",Approva altresì l'articolo 34,59.3651,0.4406,1.0,27.5,Approva altresì l'articolo 34,59.3651,0.4406,1.0,27.5
"Propone , pertanto , di esprimere un parere favorevole .",Propone pertanto di esprimere un parere favorevole,70.4701,0.9654,0.7273,48.9,Propone pertanto di esprimere un parere favorevole,70.4701,0.9654,0.7273,48.9
Oggi le cose sono cambiate,Oggi tante cose sono cambiate.,42.6389,0.5752,0.4444,43.0,Oggi tante cose sono cambiate.,42.6389,0.5752,0.4444,43.0
Ma questa è un' altra storia .,Questa è tutta un'altra storia,41.131,0.3319,0.6667,15.8,Ma questa è tutta un'altra storia,41.9643,0.4046,0.6,16.3
Adesso non puoi più fare niente .,Non potevamo fare assolutamente niente,49.2063,0.1471,0.0,7.2,Non potevamo fare assolutamente niente,49.2063,0.1471,0.0,7.2
Questa è proprio una bellissima notizia ! ! ! ! !,« Questa è una bella notizia,93.1746,0.9765,1.0,76.0,« Questa è una bella notizia,93.1746,0.9765,1.0,76.0
Dicevo che non è avido,Le avevo detto che non era semplice.,68.1818,0.3599,0.1818,12.2,Le avevo detto che non era semplice.,68.1818,0.3599,0.1818,12.2
"articolo , inserire il seguente : « Art",articolo 1 è inserito il seguente : « Art,49.7426,0.5453,0.3333,41.8,Dopo l'articolo 5 inserire il seguente : Art,40.9722,0.5257,0.7143,29.8
Beh alla fine è arrivata .,E siamo arrivati alla fine,87.5,0.7938,0.75,66.9,E siamo arrivati alla fine,87.5,0.7938,0.75,66.9
- Posso chieder- le una cosa ?,Posso chiedere solo una cosa,100.0,0.996,1.0,100.0,Posso chiedere solo una cosa,100.0,0.996,1.0,100.0
"Preannuncia , pertanto , il voto favorevole sulla proposta di parere del relatore .",Preannuncia conseguentemente il proprio voto contrario sulla proposta di parere favorevole del relatore,61.0847,0.8,0.5217,45.3,Preannuncia conseguentemente il proprio voto contrario sulla proposta di parere favorevole del relatore,61.0847,0.8,0.5217,45.3
"Qual è la situazione , oggi ?",Qual è la situazione generale,66.6667,0.7938,0.6667,66.9,Qual è la situazione generale,66.6667,0.7938,0.6667,66.9
Si ritiene pertanto di ammettere la candidata alle prove successive,Si ritiene quindi di ammettere il candidato alle prove successive.,28.9087,0.5213,0.125,9.9,Si ritiene quindi di ammettere il candidato alle prove successive.,28.9087,0.5213,0.125,9.9
"La partita , insomma , è ancora tutta da giocare",Insomma la partita è ancora tutta da giocare.,65.7621,0.6784,0.5333,42.8,Insomma la partita è ancora tutta da giocare.,65.7621,0.6784,0.5333,42.8
Vi ringrazio per l' attenzione e Vi auguro buon lavoro .,La ringrazio per la sua cortese attenzione e le auguro buon lavoro,100.0,0.9997,1.0,100.0,La ringrazio per la sua cortese attenzione e le auguro buon lavoro,100.0,0.9997,1.0,100.0
"Il cammino è stato lungo , arduo e tortuoso",Il cammino è lungo e difficile.,84.4444,0.8757,0.6667,51.5,Il cammino è stato lungo e difficile.,69.798,0.8648,0.6,50.0
"La notte sarà lunga """,La notte è ancora lunga.,100.0,0.9977,1.0,100.0,La notte è ancora lunga.,100.0,0.9977,1.0,100.0
"Salve a tutti , non mi è chiara una cosa",Ma una cosa non mi è chiara.,93.1746,0.9845,0.8889,68.0,Ma una cosa non mi è chiara.,93.1746,0.9845,0.8889,68.0
Ma non risolveremmo il problema .,Purtroppo non risolvono il problema,62.6984,0.3758,0.2222,15.8,Purtroppo non risolvono il problema,62.6984,0.3758,0.2222,15.8
non mi è molto chiara questa cosa .,Questa cosa non è proprio prevista,77.7778,0.6615,0.5,50.8,Questa cosa non è proprio prevista,77.7778,0.6615,0.5,50.8
LAVORO AUTONOMO : è verificata là condizione di reciprocità per lo straniero residente,lavoro A parità di opportunità è verificata una condizione di parità per gli stranieri.,21.14,0.3816,0.087,8.2,lavoratore deve essere verificata una condizione di parità per gli stranieri componenti lo stretto nucleo familiare.,18.1911,0.2805,0.0769,6.0
a che ti serve una scuola,A che serve questa scuola?,77.0833,0.8067,0.5,38.0,A che serve questa scuola?,77.0833,0.8067,0.5,38.0
Un altro esempio potrebbe essere questo .,Un altro esempio è il software,48.4722,0.2941,0.0,9.7,Un altro esempio è il software,48.4722,0.2941,0.0,9.7
"La terza separazione ha rotto il rapporto fra le due capacità insite nella sessualità , quella unitiva e procreativa , in una duplice direzione .",La tremenda differenza ha rotto il rapporto fra le due delle nello stesso secolo,29.3637,0.4291,0.4,31.3,"La tremenda differenza ha rotto il rapporto fra le due delle nello stesso tempo, in una posizione inverosimile",32.7247,0.5731,0.4118,38.8
Dunque questo è stato un passo avanti,Ed è un grande passo avanti.,75.5556,0.7934,0.2857,26.3,Ed è un grande passo avanti.,75.5556,0.7934,0.2857,26.3
« È un fatto gravissimo .,È un altro fatto grave,100.0,0.996,1.0,100.0,È un altro fatto grave,100.0,0.996,1.0,100.0
La femmina è più piccola e meno appariscente,La femmina è più piccola.,38.8889,0.1667,0.0,9.7,La femmina è la sua coda.,42.0833,0.082,0.0,6.6
Ma questo è un problema marginale evidentemente,Questo è un enorme problema.,73.6111,0.8067,0.3333,38.0,Questo è un enorme problema.,73.6111,0.8067,0.3333,38.0
La serata è difatti prevalentemente ad inviti,La serata è stata aperta.,66.7262,0.625,0.3333,32.5,La serata è stata aperta.,66.7262,0.625,0.3333,32.5
"Là , dove il dente duole , la lingua batte","Ma qui, la lingua batte dove il dente duole.",84.0242,0.9629,0.8571,57.1,"Ma qui, la lingua batte dove il dente duole.",84.0242,0.9629,0.8571,57.1
Mi potrebbe dare un consiglio ?,Mi potete dare dei consigli,69.4444,0.3,0.0,12.7,Mi potete dare dei consigli,69.4444,0.3,0.0,12.7
La proposta viene accolta all' unanimità,Questa proposta viene accolta all'unanimità.,30.4167,0.4808,0.8,27.5,Questa proposta viene accolta all'unanimità.,30.4167,0.4808,0.8,27.5
La sua è stata proprio una pessima caduta di stile,è una presa di stile.,56.6171,0.6464,0.2857,27.5,è una presa di stile.,56.6171,0.6464,0.2857,27.5
""" ; il comma 3 è sostituito dal seguente : "" 3 .",Sostituire il comma 3 con il seguente :,98.8095,0.999,1.0,100.0,Sostituire il comma 3 con il seguente :,98.8095,0.999,1.0,100.0
Non è una mancanza da poco,Non è una mancanza assoluta.,58.0556,0.7433,0.3333,34.3,Non è una mancanza assoluta.,58.0556,0.7433,0.3333,34.3
L' audizione informale è stata svolta dalle 11.15 alle 11.40 .,L'audizione si è svolta dalle 21. 15 alle 21. 40,65.2899,0.4745,1.0,22.4,L'audizione si è svolta dalle 21. 15 alle 21. 40,65.2899,0.4745,1.0,22.4
Non c' è più alcun dubbio,Non c'è alcun dubbio.,51.9444,0.9985,1.0,35.0,Non c'è alcun dubbio.,51.9444,0.9985,1.0,35.0
Ma questo è giusto un parere marginale,Ma è un mio parere personale.,100.0,0.9985,1.0,100.0,Ma è un mio parere personale.,100.0,0.9985,1.0,100.0
"La Commissione prosegue l' esame congiunto , rinviato nella seduta dell' 11 luglio 2002",La Commissione prosegue l'esame rinviato nella seduta del 6 luglio 2004.,52.5099,0.6235,0.7273,30.0,La Commissione prosegue l'esame rinviato nella seduta del 6 luglio 2004.,52.5099,0.6235,0.7273,30.0
"Il 1997 , invece , fu l' anno della svolta",Il 1962 è l'anno della svolta.,44.0807,0.5068,0.6,24.1,Il 1962 è l'anno della svolta.,44.0807,0.5068,0.6,24.1
"Il consiglio comunale elegge , altresì , un vice presidente .",Il consiglio comunale elegge pure un vice presidente,63.3333,0.8648,0.7143,50.0,Il consiglio elegge tra i suoi componenti un vice presidente,41.2202,0.686,0.375,20.6
Perchè il problema è questo,Questo è il vostro problema.,47.2222,0.4167,0.0,10.7,Questo è il vostro problema.,47.2222,0.4167,0.0,10.7
Però vi dico una cosa .,Però devo dire anche una cosa,70.0,0.6189,0.2222,9.7,Però devo dire anche una cosa,70.0,0.6189,0.2222,9.7
"Infine , esprimo parere contrario sulle restanti proposte emendative",Esprime infine parere contrario su tutte le restanti proposte.,51.2284,0.8437,0.5714,38.0,Esprime infine parere contrario su tutte le restanti proposte.,51.2284,0.8437,0.5714,38.0
Ringraziando- la per l' attenzione le porgo cordiali saluti,La ringrazio per l'attenzione e le porgo cordiali saluti.,53.8647,0.7146,0.8235,39.3,La ringrazio per l'attenzione e le porgo cordiali saluti.,53.8647,0.7146,0.8235,39.3
"Si passa , successivamente , all' esame degli emendamenti all' articolo 2",Si passa all'esame degli emendamenti relativi all'articolo 42.,40.9861,0.4464,0.8889,18.7,Si passa all'esame degli emendamenti all'articolo 108.,36.4947,0.3568,0.7059,11.4
