Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
"si preme insert più 6 , tastiera estesa","si premette inserzioni più 6, 0",37.4537,0.2679,0.1818,13.1,0,0
E questa qui è una cosa grave,E fu una cosa grave,55.6944,0.5515,0.4444,28.6,0,0
"Propone , quindi , alla Commissione di esprimere parere favorevole",Propone alla Commissione di esprimere un parere favorevole,50.3373,0.7031,0.4286,38.3,0,0
Dopo l' articolo 15 aggiungere : Art,Dopo l'articolo 15 aggiungere il seguente : « Art,48.2035,0.735,1.0,67.2,0,0
Certamente la risposta sarebbe negativa,La risposta fu categoricamente negativa,66.6667,0.3758,0.2222,19.4,0,0
"Pur essendo un insediamento rurale, si trova a breve distanza da Glasgow e funge da città dormitorio","Anche essendo un insediamento rurale, si trova a breve distanza da Glasgow e dal capoluogo",27.3426,0.7258,0.7333,69.9,0,0
Come dire : due piccioni con una fava,Come dire : due picci con unafava,13.8889,0.3995,0.3636,13.5,0,0
Non si poteva fare di più,Di più non potevo fare,66.6667,0.535,0.2222,10.4,0,0
Non faccio del male a nessuno,Ma non volevo far del male,100.0,0.9977,1.0,100.0,0,0
A chi si presenta la domanda,A chi si presenta la domanda,41.6667,0.5011,0.2222,18.0,0,0
è semmai vero il contrario,Era vero esattamente il contrario,61.3095,0.5111,0.2857,23.6,0,0
C' è tanta strada da fare ancora,La strada da fare è ancora molta,82.5758,0.7577,0.7273,53.3,0,0
"Nel merito , la questione è fondata",Nel merito la questione è fondata,100.0,0.9977,1.0,100.0,0,0
"Un appuntamento , quello di stasera , da non perdere , dunque",Un appuntamento da non perdere,66.6667,0.8203,0.6667,40.9,0,0
Il resto è opinabile,Il resto è stato tutto semplice,66.6667,0.5773,0.2857,30.2,0,0
Per ogni membro effettivo può essere nominato un supplente,Per ogni membro effettivo è nominato un supplente,66.6667,0.8648,0.7692,50.0,0,0
"Il codice quindi non viene compilato bensì c'è un interprete (in JavaScript lato client esso è incluso nel browser che si sta utilizzando) che esegue riga per riga, a tempo di esecuzione, quanto trascritto nello script","Il codice quindi non viene compilato unicamente nel browser che esso ospita, in quanto c'è stato un traduttore ( in inglese, francese o trascritto nello Script ) che effettua esplicitamente, a tempo di esecuzione, quanto è essenziale lo script",26.6469,0.6379,0.3881,31.5,0,0
"Nata nel 1701 , morì nel 1771",Nata nel 1701 morì nel 1771,79.5503,0.83,0.8,76.0,0,0
"Dunque , al danno si aggiunge la beffa",Al danno si vuole davvero aggiungere la beffa,100.0,0.999,1.0,100.0,0,0
"Infatti , i casi sono due",I casi possono essere due,100.0,0.996,1.0,100.0,0,0
"La seduta è tolta ( ore 13,05","La seduta è tolta alle ore 13, 05",81.9444,0.8314,0.6667,58.7,0,0
"Conseguentemente , all' articolo 15 , comma 4 , sopprimere la lettera e","All'articolo 15 : al comma 4, la lettera b ) è soppressa",57.7537,0.7165,0.8235,66.5,0,0
Una spiegazione c' è : marketing,Ma c'è una spiegazione,54.8611,0.8067,0.3333,12.4,0,0
è questo il senso della mia vita,La vita è il senso,55.1852,0.75,0.3333,23.6,0,0
Compensa integralmente tra le parti le spese dei giudizi riuniti,Compensa le spese del giudizio tra le parti,79.5455,0.7773,0.6667,30.5,0,0
"Mi sorge , però , spontanea una domanda",E una domanda mi sorge spontanea,53.5185,0.7353,0.4444,23.0,0,0
"In caso di parità di voti , prevale quello del presidente",Nel caso di parità prevale il voto del presidente,76.3425,0.888,0.875,86.3,0,0
Naturalmente non può far questo da solo,Ma non può fare da solo,88.1944,0.83,0.8,76.0,0,0
"Certo , ma il problema è quello dell' approccio",Il problema è quello dell'approccio,50.1389,0.4991,0.25,32.6,0,0
C' è ancora del lavoro da fare,Ma c'è ancora molto lavoro da fare,64.9272,0.8179,0.5455,30.7,0,0
Si noti che la somma dei residui all'interno di un campione casuale è necessariamente nulla e quindi i residui non sono necessariamente indipendenti,Si noti che la somma dei residuo all'interno di un campione casuale è Impossibile e quindi i residuo non sono assolutamente indipendenza,43.0941,0.6186,0.5,37.3,0,0
"La WWE ha riferito di aver sospeso dieci wrestler citati nella controversia, anche se Batista non era uno di loro","La WWE ha inoltre sospeso 10 wrestler pesanti nella controversia, anche se Batista non era uno dei loro sostenitori",48.5841,0.6471,0.4118,37.5,0,0
Il vero problema potrebbe quindi essere un altro,Il problema fu un altro,59.2262,0.4642,0.5,10.4,0,0
Questi è altresì l' opera d' arte,L'opera è veramente l'opera,20.9722,0.0658,0.25,9.7,0,0
"Dopo l' articolo 17 , aggiungere il seguente : Art",Dopo l'articolo 17 aggiungere il seguente : « Art,65.7639,0.735,1.0,67.2,0,0
La questione non è fondata,Entrambe le questioni non sono fondate,42.9167,0.0725,0.0,6.9,0,0
Non lo può assolutamente fare,Non potevamo fare assolutamente niente,100.0,0.996,1.0,100.0,0,0
Ulteriori informazioni si trovano sul sito,Potrete trovare maggiori informazioni sul sito,65.4762,0.6464,0.3636,16.3,0,0
Ma questo è solo il mio punto di vista,è il nostro punto di vista,93.5877,0.8676,0.8889,84.6,0,0
La commissione esaminatrice dispone complessivamente di 100 punti così ripartiti : 60 punti per i titoli ; 40 punti per le prove di esame,"La commissione dispone complessivamente di 100 punti, così ripartiti : 60 punti per titoli ; 40 punti per le prove d'esame",69.7076,0.8498,0.9231,79.7,0,0
Così non si va da nessuna parte,"Perciò, non puoi andare da nessuna parte",75.6944,0.7806,0.5455,34.6,0,0
"L' appello , pertanto , è infondato e va respinto",L'appello principale è perciò infondato e va respinto,36.8666,0.5011,0.4615,23.4,0,0
"Allora , qual è la mia conclusione",Quali sono le mie conclusioni,53.5714,0.0,0.0,5.3,0,0
Ora non si vuol fare di ogni erba un fascio,Non facciamo di tutta un'erba un fascio,66.8981,0.6692,1.0,42.4,0,0
Ma forse le cose stanno davvero cambiando,Oggi forse le cose stanno per cambiare,45.5556,0.5662,0.4,24.4,0,0
"Conseguentemente , propone di esprimere parere favorevole",Propone infine di esprimere un parere favorevole,100.0,0.9985,1.0,100.0,0,0
"Negli altri casi , non vale",In altri casi non vale,65.2778,0.5111,0.25,23.6,0,0
Spesso anzi è prevista anche un' indennità di frequenza per i partecipanti,è prevista un'indennità di frequenza per i partecipanti,57.0599,0.7773,0.7143,52.5,0,0
"Era , però , un gioco di parole",È stato solo un gioco di parole,70.8333,0.9308,0.75,41.1,0,0
Sarebbe un discorso lungo,è solo un discorso lungo,51.6667,0.3,0.0,14.1,0,0
La documentazione di spesa deve essere trattenuta presso la sede del consorzio export per essere messa a disposizione del Ministero per eventuali controlli,La documentazione di spesa deve essere trattenuta presso la sede del consorzio per eventuali controlli,44.8763,0.6162,0.6857,54.3,0,0
"Il problema , quindi , non è facile da risolvere",Il problema non è facile da risolvere,78.6645,0.9654,0.6667,41.1,0,0
"Mi viene un dubbio , allora",Ora mi viene un dubbio,39.5833,0.5111,0.2857,23.6,0,0
"L' attività didattica è rilevante , pertinente e ben documentata",L'attività didattica è pertinente e prolungata,34.9008,0.4046,0.4,16.3,0,0
Ma un passo avanti avanti è stato fatto,Il passo è stato fatto,20.0926,0.1299,0.0,8.5,0,0
MA NON è questo il punto,Ma non è il punto,100.0,0.996,1.0,100.0,0,0
Semmai è proprio il contrario,Semmai è vero il contrario,61.1111,0.375,0.2857,21.4,0,0
"E la notizia , ovviamente , ha fatto il giro del mondo",E subito la notizia ha fatto il giro del mondo,81.4542,0.9747,0.875,63.9,0,0
"Sussistono , tuttavia , giusti motivi per disporre la integrale compensazione tra le parti delle spese dei due gradi di giudizio",Sussistono giusti motivi per disporre la integrale compensazione fra le parti delle spese dei due gradi di giudizio,60.5423,0.9437,0.8824,83.9,0,0
La presente legge regionale è dichiarata urgente ai sensi dell' articolo 45 dello Statuto ed entra in vigore il giorno successivo a quello della sua pubblicazione sul Bollettino Ufficiale della Regione Piemonte,La presente legge è dichiarata urgente ai sensi dell'articolo 45 dello Statuto ed entra in vigore il giorno successivo alla sua pubblicazione sul Bollettino Ufficiale della Regione Piemonte,39.7562,0.8267,0.7925,66.3,0,0
"Vedi la nota su 2 , 17","Vedi nota su 2, 17",26.8939,0.3922,0.0,11.5,0,0
La preventiva richiesta deve essere motivata e documentata,La richiesta deve essere motivata e documentata,66.0256,0.8552,0.8333,80.9,0,0
"Credevo , di essere una persona reale",Credevo di essere una persona reale,100.0,0.9977,1.0,100.0,0,0
Ci sarà pure un modo,Ci deve essere un modo,100.0,0.996,1.0,100.0,0,0
articolo 563 del codice di procedura civile è abrogato,L'articolo 563 del codice di procedura civile è abrogato,22.8686,0.6406,0.75,45.9,0,0
E l' una ragione è questa,E l'una ragione è questa,54.3651,0.5111,0.0,23.6,0,0
"All' articolo 3 , dopo il comma 7 è aggiunto il seguente : "" 8","Dopo il comma 3 dell'articolo 7 è aggiunto il seguente : "" 8",20.5428,0.6838,0.6,38.8,0,0
Questo è solo il primo passo,è stato il primo passo,100.0,0.996,1.0,100.0,0,0
Che dunque c' è una speranza,Ma c'è una speranza,40.9722,0.8535,0.5714,12.8,0,0
Ma questo è solo un pensiero malizioso,Ma è solo un mio pensiero,49.7685,0.6189,0.0,19.3,0,0
E questo mi fa molto piacere,E questo mi ha fatto molto piacere,63.6574,0.8379,0.3636,29.1,0,0
Non è questo il senso,Non è il senso vero,66.6667,0.6356,0.2857,10.4,0,0
Questo è un punto estremamente critico,Questo è un altro punto incerto,66.6667,0.625,0.25,32.5,0,0
Questa sarebbe una forma di razzismo,è una forma di razzismo anche questa,56.7328,0.7934,0.4444,18.6,0,0
Questa è una strana sensazione,è comunque una sensazione strana,68.5185,0.535,0.2857,20.8,0,0
"Nel 1895 circa, William Doble migliorò la forma della benna semicilindrica di Pelton con una benna ellittica che includeva un taglio per consentire al getto un ingresso più pulito nella benna","Nel 1895, William Dodgson migliorò la forma della bennahmrica di Pelton con una ben visibile e un taglio più profondo nella benna",12.8834,0.5181,0.3529,19.1,0,0
Il dado è stato tratto,Eppure il dado è tratto,54.3651,0.5111,0.2857,23.6,0,0
Non c' è bisogno,Non c'era alcun bisogno,56.6667,0.4406,1.0,27.5,0,0
Parere favorevole con osservazioni ) Si riprende l' esame sospeso nella seduta pomeridiana del 16 aprile,Parere favorevole con osservazioni ) Riprende l'esame sospeso nella seduta del 16 aprile scorso,68.9962,0.8213,1.0,72.9,0,0
"In realtà , tuttavia , le cose stanno diversamente","In realtà, le cose stanno proprio così",39.8611,0.7806,0.7273,25.8,0,0
Ma la cosa non ha funzionato,Ma la cosa non ha funzionato,37.5,0.1961,0.0,9.7,0,0
"In sintesi può assegnare alla capacità didattica del candidato , nell' ambito della valutazione comparativa , il giudizio di eccellente",In sintesi il giudizio complessivo del candidato è assegnato alla capacità didattica del candidato,37.1404,0.4775,0.4138,25.6,0,0
2 ) - L' appello è fondato,2 ) L'appello è fondato,27.0833,0.4331,1.0,23.6,0,0
Richiesta una buona conoscenza della lingua inglese e tedesca,è richiesta una buona conoscenza della lingua inglese,73.5149,0.8919,0.7692,67.5,0,0
Questo è per me un punto irrinunciabile,Per me è un punto fermo,100.0,0.9977,1.0,100.0,0,0
"Ringraziando- vi per l' attenzione , attendo una vostra cortese risposta",Vi ringrazio per l'attenzione ed attendo una cortese risposta,47.9828,0.413,0.4444,12.8,0,0
C' è un pò di tutto,Ma c'è un ma,45.9722,0.9977,1.0,27.5,0,0
Non saprei proprio da dove cominciare,Non so da dove cominciare,40.463,0.5515,0.4,26.7,0,0
Questa è una presa per i fondelli,è una vera presa per i fondelli,43.5185,0.8413,0.6,48.9,0,0
Però insomma : la verità sta nel mezzo,La verità sta nel mezzo,100.0,0.996,1.0,100.0,0,0
"La verità è stata una , però",Però la verità è ben altra,61.8056,0.7011,0.3333,16.2,0,0
Vale la pena di visitar- lo,Vale la pena visitar - lo,46.2963,0.526,0.6667,19.3,0,0
"Ma il problema attuale , forse , è un altro ancora",Il problema attuale è un altro,53.8889,0.625,0.4444,23.0,0,0
Ci può fare un esempio,Può fare un esempio pratico,17.9167,0.5111,0.25,12.7,0,0
A cosa potrà servir- le,A cosa potrà servir - le,52.7778,0.4259,0.2222,16.2,0,0
"Il gioco , tuttavia , vale la candela",Ma il gioco vale la candela,62.381,0.8067,0.6,23.0,0,0
Aidan borbottò che lei non aveva cantato per tutti,Aidan borbottò che lei non aveva cantato per tutti i giorni,61.9304,0.8628,0.6667,59.0,0,0
Questo potrebbe essere un primo passo,è soltanto un primo passo,70.8333,0.75,0.6667,42.7,0,0
Ma anche questo non è il punto,Ma non è il punto,100.0,0.996,1.0,100.0,0,0
Il giudizio complessivo è : più che sufficiente,Il giudizio è quasi sufficiente,35.6019,0.535,0.2857,20.8,0,0
"Sì , ed è stato un peccato",è stato un vero peccato,61.3889,0.75,0.6667,42.7,0,0
Non è nei miei pensieri,Non è nei miei pensieri,41.4286,0.375,0.0,21.4,0,0
"Aperta la busta , il tema viene dettato alla candidata",Aperta la busta viene dettato il tema alla candidata,100.0,0.9993,1.0,100.0,0,0
Questa fu una scelta « minoritaria,E questa è una scelta,86.1111,0.7938,0.6667,39.8,0,0
Innanzitutto grazie per aver accettato questa mia intervista,Chiedo di aver accettato questa mia domanda,17.7399,0.4206,0.3333,24.4,0,0
Ma qui c' è ancora della strada da fare,La strada da fare è ancora molta,64.504,0.6692,0.5455,35.6,0,0
Ora accade esattamente il contrario,Ora accade esattamente il contrario,41.4286,0.375,0.25,21.4,0,0
"Si , certo , è la guerra",è proprio la guerra moderna,64.0873,0.3319,0.2857,15.8,0,0
Cosa può dir- ci a proposito,Cosa puoi dire a proposito,69.504,0.75,0.5,42.7,0,0
"Nel 1981 Ali Agca fu condannato all'ergastolo per attentato (non riuscito) contro capo di stato estero, per l'attentato a Papa Giovanni Paolo II","Nel 1981 Ali Agri fu condannato all'erto ( non riuscito ) contro capo di stato ) contro capi di stato estero, per l'attentato a Papa Giovanni Paolo II",24.7362,0.8115,0.6531,52.0,0,0
Ma il fatto è solo uno,Ma il fatto politico è un altro,100.0,0.9985,1.0,100.0,0,0
"La questione , tuttavia , è un' altra",La questione è ancora un'altra,68.1548,0.433,0.25,32.6,0,0
"A chi si rivolge questo libro , dunque",A chi è rivolto questo libro,100.0,0.9977,1.0,100.0,0,0
"Il periodo di congedo straordinario è utile ai fini della progressione di carriera , del trattamento di quiescenza e di previdenza",Il periodo di congedo straordinario è utile ai fini della progressione di carriera e del trattamento di quiescenza e previdenza,77.2882,0.9494,0.9189,85.8,0,0
Questa è la mia priorità assoluta,è questa la mia priorità,100.0,0.996,1.0,100.0,0,0
"Sì , sarà per me un piacere",è stato un piacere per me,54.5833,0.62,0.25,20.4,0,0
"Rinvia , pertanto , ad altra seduta il seguito dell' esame",Rinvia quindi il seguito dell'esame ad altra seduta,48.1662,0.6009,0.75,36.3,0,0
"Già , ma proprio qui sta problema",E proprio qui sta il problema,69.4907,0.83,0.8,76.0,0,0
Sarebbe una presa in giro per tutti,Questa fu una vera presa in giro,67.8571,0.4747,0.3636,26.3,0,0
Le restrizioni hanno di fatto posto fine a una guerra tra la Disney e gli inserzionisti aerei che hanno sorvolato i parchi per anni prima del settembre scorso,Le restrizioni di settembre hanno di fatto posto fine alla guerra tra gli inserzionisti che ronzavano sopra i parchi,37.3685,0.3743,0.3333,18.8,0,0
"Ciò premesso , formula una proposta di parere favorevole",Formula quindi una proposta di parere favorevole,56.6336,0.8413,0.6667,61.5,0,0
Non è un problema,Non è questo il problema,50.1984,0.3758,0.0,8.5,0,0
"E in una mossa non insolita negli sport giovanili, Edina ha pagato dei valutatori esterni per valutare i 44 bambini di quarta elementare che hanno provato all'inizio dell'autunno",Edina ha pagato dei valutatori esterni per valutare 44 bambini di quarta elementare che hanno provato all'inizio dell'autunno,53.5016,0.735,0.6829,51.0,0,0
Un giorno d’estate faceva molto caldo e Ugolino aveva davvero tanta sete,Un giorno l ’ estate d ’ estate faceva molto caldo e Ugolino aveva davvero tanta voglia,26.7957,0.9074,0.7692,45.3,0,0
"Sul palco Aidan fece dei suoni insoliti col suo computer portatile, Ida iniziò a fare il beat boxing, cioè dei suoni ritmati con la bocca, e Simo si mise a roteare sulla testa","Sul palco Aidan fece dei suoni insoliti con il suo computer musicale, Ida iniziò a fare il beat con la bocca, e Simo si mise a fare la bocca",26.3152,0.6516,0.6,51.3,0,0
"Ecco , allora il problema potrebbe essere proprio questo",è proprio questo il problema,77.9365,0.8203,0.5714,40.9,0,0
Sostituire il comma 7 con il seguente : « 7,Sostituire il comma 7 con il seguente,97.2222,0.9985,1.0,100.0,0,0
Naturalmente non mancano le ombre,Ma non mancano le ombre,66.6667,0.7938,0.75,66.9,0,0
"Non bisogna , dunque , fare di ogni erba un fascio",Innanzitutto non bisogna fare di tutta l'erba un fascio,65.9631,0.6988,0.9412,35.5,0,0
Il bilancio è molto positivo,Il bilancio è molto positivo,50.463,0.5515,0.2857,35.0,0,0
Qual è il vostro lavoro,Qual è il vostro lavoro,50.463,0.75,0.3333,42.7,0,0
"Nel 1998 il CDU di Rocco Buttiglione partecipa al progetto delll'ex presidente della Repubblica Francesco Cossiga che promuove la nascita di un nuovo soggetto politico, l'Unione Democratica per la Repubblica (UDR), che si propone la creazione di un terzo polo di centro alternativo al centrodestra e al centrosinistra","Nel 1998 il CDU di Rocco Buttiglione partecipa al progetto delll'ex presidente della Repubblica Francesco Cossiga che promuove la nascita di un nuovo soggetto politico, l'Unione Democratica per la Repubblica ( UDR ), che si propone la creazione di un terzo polo di centro alternativo al centrodestra e al centrosinistra",73.0169,0.9733,0.9149,89.0,0,0
"E non è un caso , ovviamente",Forse non era un caso,58.9484,0.5111,0.2857,21.4,0,0
Siamo in buone mani,Sono in buona mani,29.1667,0.2041,0.0,14.8,0,0
Eventuali indicazioni bibliografiche ulteriori o alternative verranno fornite durante il corso,Eventuali indicazioni bibliografiche verranno fornite durante il corso,62.619,0.8294,0.6154,54.1,0,0
Ok questa è una questione di stile,Ma è una semplice questione di stile personale,52.1429,0.9498,0.6,34.6,0,0
L' articolo è presente anche su,Maggiori informazioni sono presenti su questo sito,13.3532,0.1639,0.0,6.6,0,0
"Certo , passi in avanti sono stati fatti",Molti passi avanti sono stati fatti,41.6035,0.6205,0.5,38.5,0,0
Carte più dettagliate e personalizzate possono essere create con un programma planetario come lo Starry Night,carte più complesse e complicate possono essere create con un programma speciale come lo Starry Night,47.5222,0.8187,0.5926,45.8,0,0
Programma per non frequentanti da concordare con la docente,programma per non frequentanti il docente,47.2685,0.5126,0.3077,14.7,0,0
E non sono affatto la stessa cosa,Non possono essere la stessa cosa,100.0,0.9977,1.0,100.0,0,0
"Si procederà , quindi , alla votazione",Si può procedere alla votazione,100.0,0.996,1.0,100.0,0,0
La stazione di Bordighera è situata lungo la linea Genova-Ventimiglia e serve l,La stazione di Bordiger è situata lungo la principale linea Genova - ventilata. Fa parte dell'infinita linea genovese - vento e serve l'insieme,17.8196,0.558,0.3889,11.8,0,0
Vi ringrazio per l' attenzione e vi auguro buon lavoro,Ringrazio per l'attenzione e auguro buon lavoro,43.0159,0.6692,1.0,42.4,0,0
Togliete dal forno e servite immediatamente,Togliere dal forno e servire,93.3333,0.8441,0.8889,81.9,0,0
"Le cose sono cambiate , da allora",Da allora molte cose sono cambiate,100.0,0.9977,1.0,100.0,0,0
La risposta più logica è : no,La risposta è stata no,48.5185,0.4099,0.2222,7.7,0,0
"Certo , ci sono dei limiti",Ci sono dei limiti superiori,25.0,0.0,0.0,3.6,0,0
E allora che cosa c' è che non va,Che cos'è che non va,30.8333,0.6392,0.4,23.5,0,0
"La domanda , però , è un' altra",La mia domanda specifica invece è un'altra,35.8135,0.1266,0.2,7.8,0,0
"Abbiamo parlato di molte cose , insieme",Abbiamo parlato di molte cose,50.463,0.75,0.5,42.7,0,0
ma una cosa dobbiamo dir- la,Una cosa devo comunque dire,100.0,0.996,1.0,100.0,0,0
"Il Comitato approva , quindi , la proposta di parere favorevole del relatore",Il Comitato approva la proposta di parere del relatore,65.4862,0.8819,0.75,59.7,0,0
Per ulteriori informazioni rimandiamo al sito,Per ulteriori informazioni si rimanda al sito,75.8796,0.8413,0.6667,64.3,0,0
Questa è una lettera d' amore,è una lettera d'amore,13.6508,0.4395,0.8571,36.1,0,0
Non vi sarebbero state vittime,Ma non vi sono state vittime,88.1944,0.83,0.8,76.0,0,0
"Tale attività , ben documentata , è buona come l' attività didattica",L'attività didattica è buona e documentata,38.0556,0.2662,0.3333,10.9,0,0
è così o questa è una mia errata impressione,è possibile o è una mia impressione,74.6296,0.8757,0.6667,51.5,0,0
Eppure avrebbe avuto solo l' imbarazzo della scelta,Avranno l'imbarazzo della scelta,33.0556,0.3233,0.75,24.9,0,0
"Ma è solo , forse , un' impressione",Forse è solo un'impressione,47.2222,0.102,0.0,12.4,0,0
"Sospendo tuttavia la seduta , che riprenderà alle 15",Sospendo la seduta che riprenderà alle 15,100.0,0.9985,1.0,100.0,0,0
Ma non è una soluzione per tutti,Ma non è una soluzione,44.0741,0.6313,0.0,25.4,0,0
"Quali sono , dunque , i veri motivi della crisi italiana",Quali sono i veri motivi della crisi,68.6645,0.9654,0.7273,41.1,0,0
Per ulteriori informazioni si può telefonare allo 0565962088,Per informazioni telefonare allo 0565962088,41.7063,0.7118,0.6,33.5,0,0
Poi d' un tratto sentii una voce,Poi sentirono una voce,38.75,0.2467,0.2222,15.1,0,0
Nell'antichità il se era spesso usato in duetto con il qin,Nell'antichità il se era usato in due spicchi con il qin,19.7685,0.803,0.6364,37.8,0,0
Grazie e mi scusi il disturbo,Grazie e scusa ancora il disturbo,100.0,0.9977,1.0,100.0,0,0
E questa è una notizia,Ed è una buona notizia,100.0,0.996,1.0,100.0,0,0
"Il primo utilizzo del riscaldamento elettrico fu per un torneo di balkline 18.2 tenutosi nel dicembre 1927 tra Welker Cochran e Jacob Schaefer , Jr","Il primo utilizzo del calore elettrico fu per un torneo di balkline 18. 2 tenutosi nel dicembre 1927 tra Welch Cochran e Wilhelm Sch Schaefer, Jr",34.072,0.6071,0.5283,33.0,0,0
"Nel Medioevo europeo, l'erba veniva posta sotto i cuscini per favorire il sonno e allontanare gli incubi","Nel cristianesimo europeo, l'erba veniva posta sotto i tenda per favorire il sonno e non tutti gli sciabi",31.3697,0.6198,0.5263,44.3,0,0
E il problema è proprio questo,Il problema è questo,52.7778,0.5442,0.0,21.4,0,0
Allora qual è la differenza,Dov'è allora la differenza,67.9762,0.9977,1.0,46.3,0,0
"Dopo l' articolo 423 del codice penale è inserito il seguente : "" Art",Dopo l'articolo 423 del codice civile è inserito il seguente : « Art,72.178,0.8089,1.0,78.0,0,0
Anche per me è una sorpresa,È stata una vera sorpresa per me,71.5152,0.647,0.1818,14.3,0,0
"Si arrampicò sulla roccia più grande, e guardò i gabbiani planare sopra le teste di Ida e del suo nuovo amico Aidan mentre camminavano sulla spiaggia diretti verso di lui","Si arrampicò sulla roccia più grande, e guardò sopra le gabbiane di Ida e del suo nuovo amico Aidan mentre camminavano sulla spiaggia diretto verso di lui",25.5401,0.8111,0.6909,58.8,0,0
Quello fu un grande periodo,è stato un grande periodo,48.6111,0.2,0.0,12.7,0,0
"Dopotutto , è solo un gioco",Magari è solo un gioco,66.6667,0.6727,0.5714,54.8,0,0
Ma non risolveremmo il problema,Che non sempre risolvono il problema,74.7619,0.7353,0.4444,32.5,0,0
"Per ulteriori informazioni , scrivete- ci a",Per ulteriori informazioni scrivi a,66.6667,0.6356,0.4444,35.0,0,0
Sono un uomo fortunato,Sono proprio un uomo fortunato,52.7778,0.375,0.2857,21.4,0,0
L' errore concettuale è proprio questo,Questo è il suo errore,79.1294,0.6286,0.6667,26.0,0,0
"Stando al Vangelo secondo Marco, Giacomo e Giovanni furono detti da Gesù Boanerghes (""figli del tuono","Il Vangelo secondo Marco, Giacomo e Giovanni furono poi detti Gesù Boaner Racconti di Gesù",27.1497,0.4786,0.4138,37.8,0,0
C' è solo un problema,è un problema solo tuo,46.2963,0.2941,0.0,12.4,0,0
