Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
la rana velenosa d' oro come la maggior parte delle altre rane velenose immagazzina il suo veleno nelle ghiandole della pelle,la rana velenosa d'oro e un tipo di rana che e velenosa immagazzina il suo veleno e immagazzinato nelle ghiandole della pelle,34.375,0.1351,0.1455,4.4,0,0
la rivista time lo ha nominato una delle persone del xx secolo mentre una fotografia di alberto korda di lui intitolata guerrillero heroico è stata dichiarata   la fotografia più famosa del mondo,nel xx secolo una fotografia di alberto korda di lui e stata definita la fotografia piu famosa del xx secolo,32.1743,0.4095,0.1875,6.9,0,0
come parte del gruppo di pastori il pastore tedesco è un cane da lavoro sviluppato originariamente per pecore da pastore a causa della loro forza intelligenza e abilità nell' addestramento all' obbedienza sono impiegati come cani da polizia e cani da guerra in tutto il mondo,la parola pastorizia e un cane da lavoro e una parola per gli esseri umani che vivono in europa per pastore o cani da guerra in tutto il mondo,35.9175,0.2343,0.0455,3.4,0,0
con i risultati che sono sotto gli occhi di tutti,e i risultati sono sotto i nostri occhi,46.4499,0.5743,0.5333,47.8,0,0
la mia risposta è decisamente no,la risposta era stata un no deciso,57.8836,0.607,0.2222,15.6,0,0
comunque il primo passo è stato fatto,il primo passo era fatto,100.0,0.996,1.0,100.0,0,0
mentre si sviluppava un’ amicizia tra di loro lei gli confidò la sua frustrazione per il suo contratto con la 20th century fox e i ruoli che le erano stati offerti,lei gli disse che era felice per il suo contratto con 20th century fox e i ruoli che le erano stati offerti erano per il film,46.232,0.5068,0.4151,30.5,0,0
questo design divenne presto lo standard per i guanti da baseball,questi sono chiamati guanti da baseball,54.3056,0.0676,0.1429,1.5,0,0
circa 3000 nebulose planetarie sono ora note per esistere nella nostra galassia su 200 miliardi di stelle,circa 400 nebulose planetarie sono ora noti per esistere nella nostra galassia su 200 miliardi di stelle,50.6,0.5515,0.303,22.6,0,0
la partenogenesi è una forma di riproduzione asessuale che si trova nelle femmine dove la crescita e lo sviluppo di embrioni avviene senza fecondazione da parte di un maschio,la partenogenesi e una forma di riproduzione asessuale,9.5879,0.1585,0.1143,1.3,0,0
che cos è lo sport per tutti,che cos e lo sport,30.1852,0.75,0.5714,30.2,0,0
oggi la situazione è totalmente diversa,la situazione e completamente diversa,20.8333,0.2542,0.0,11.5,0,0
il consiglio ha deciso in favore di celebrare la risurrezione la prima domenica dopo la prima luna piena dopo l' equinozio di primavera indipendentemente dal calendario ebraico ha autorizzato il vescovo di alessandria di annunciare ogni anno la data esatta per i suoi colleghi vescovi,il consiglio ha deciso in giorni dopo la risurrezione della prima luna piena dopo l'equinozio di primavera,23.1371,0.2197,0.2623,4.1,0,0
questa è ormai una pagina di storia,questa e una pagina di storia,31.9444,0.1724,0.0,6.5,0,0
ma non è questo il punto chiaramente,ma non e il punto,49.213,0.75,0.5714,30.2,0,0
inoltre ci sono state stime non ufficiali di oltre 10 i. le precipitazioni hanno portato a inondazioni di strade ed edifici,inoltre le precipitazioni non sono state stime ufficiali di oltre 10 i. 000 abitanti,30.5556,0.0476,0.0,2.6,0,0
la maggior parte dei chaetognath sono trasparenti e sono a forma di siluro alcune specie di acque profonde sono arancio,la maggior parte dei chaetognath sono trasparenti e non a forma di siluro,32.2573,0.5569,0.625,41.1,0,0
sarà pronto alla fine del 2006,sara entro la fine del 2006,41.6667,0.1961,0.0,9.7,0,0
non si può vivere lì,cosi non posso piu vivere,47.9167,0.2,0.0,12.7,0,0
a lubbock in texas le piogge hanno portato a inondazioni flash chiudendo molti incroci e strade,a lubbock in texas le piogge hanno portato a inondazioni flash chiuse,56.2043,0.4476,0.4286,32.3,0,0
ma questo è solo un caso,puo essere solo un caso,46.4286,0.375,0.2857,21.4,0,0
molti personaggi e i loro disegni sono stati adattati da alcune delle precedenti opere e bozze di katsura hoshino come zone e continue e dei suoi assistenti,molti personaggi e cartoni animati sono stati adattati da alcune delle precedenti opere e bozze di katsura hoshino come zone e continuo come zone,39.2948,0.5742,0.5306,47.0,0,0
tutta l' armenia si trova nel caucaso meridionale la maggior parte della georgia e dell' azerbaigian tra cui l' exclave di naxivan rientrano in questa zona,tutta l'armenia e la georgia si trova nel caucaso meridionale la georgia e l'azerbaigian,8.558,0.1228,0.1622,3.3,0,0
il comune è anche suddiviso in 3 cantoni mamoudzou i mamoudzou ii e mamoudzou iii,mamoudzou e una citta in alaska,60.5303,0.0641,0.0,5.8,0,0
morì di tubercolosi al castello di schnbrunn a vienna il 22 luglio 1832,mori al castello di schnbrunn a vienna il 22 luglio 1832,41.2287,0.5794,0.5217,44.9,0,0
lo spettacolo ha seguito tre attrici americane che hanno fatto un provino per il ruolo di   billie jo nella soap opera svedese nya teater la vincitrice è stata alexandra sapot che è venuta a interpretare il cattivo   billie jo,lo spettacolo ha seguito tre attrici americane che hanno fatto un provino per il personaggio di billie jolly la vincitrice del film di produzione cinematografica nya teater,24.8362,0.2494,0.0976,4.3,0,0
corbetta corbéta nella variante locale del dialetto milanese è un comune di 16.323 abitanti della provincia di milano,corbet corbeta nel locale dialetto milanese e un comune di 16. 323 abitanti della provincia di milano,44.4459,0.735,0.75,40.3,0,0
il richiedente dovrà garantire l' esattezza dei dati relativi ai recapiti e indirizzi forniti e comunicare tempestivamente gli eventuali cambiamenti degli stessi intervenuti successivamente alla presentazione della domanda,il richiedente dovra garantire l'esattezza dei dati e dei indirizzi forniti e comunicare tempestivamente gli eventuali cambiamenti degli stessi,20.5932,0.4329,0.52,27.2,0,0
ma ora non è più sufficiente,ma non poteva essere sufficiente,100.0,0.996,1.0,100.0,0,0
a meno che non si specifichi esplicitamente il contrario tutti i contributi a wikipedia sono concessi in doppia licenza sotto la licenza cc-by-sa e la gfdl pertanto se si sceglie di non adottare licenze aggiuntive non è necessaria alcuna azione,a volte il contrario tutti i contributi a wikipedia sono concessi in licenza sotto la licenza cc - byte se non e necessario utilizzare il contrario,35.715,0.4164,0.3636,31.3,0,0
oggi è davvero una strana giornata,oggi e stata una buona giornata,66.2963,0.5011,0.25,18.0,0,0
torcy en-valois è un comune francese situato nel dipartimento dell' aisne a picardie nella zona di valois,torcy en - valois e un comune francese situato nella regione delle picardie nel dipartimento dell'aisne nel nord della francia,58.4185,0.747,0.9189,59.3,0,0
conseguentemente propone di esprimere parere favorevole,propone quindi di esprimere un parere favorevole,84.1667,0.8413,0.6667,64.3,0,0
questo è un altro dato di fatto,e un dato di fatto,52.7778,0.3178,0.2222,17.5,0,0
purtroppo il paragone non ha retto,il paragone non regge proprio,83.3333,0.7938,0.75,66.9,0,0
quali sono le condizioni ottimali,quali sono le condizioni ottimali,50.463,0.6356,0.4444,35.0,0,0
ma non è solo una questione terminologica,ma non e una pura questione terminologica,70.9854,0.7934,0.6,43.5,0,0
l' episodio è andato in onda il 10 gennaio 1991,l'episodio e stato mostrato il 10 gennaio 1991,52.3106,0.4459,0.5714,34.6,0,0
i cleveland indians sono una squadra di baseball professionista con sede a cleveland ohio,i cleveland indians sono una squadra di baseball della american major league di cleveland ohio,68.459,0.8495,0.5217,38.5,0,0
les assions è un comune francese situato nel dipartimento dell' ardèche,les assions e un comune francese del dipartimento dell'ardeche,42.3405,0.3155,0.25,6.9,0,0
ma i primi passi sono stati compiuti,i primi passi sono stati compiuto,36.1111,0.1961,0.0,8.1,0,0
prémont è un comune francese situato nel dipartimento dell' aisne nel picardie,premont e un comune francese situato nella regione picardie nel dipartimento dell'aisne nel nord della francia,51.4359,0.729,0.875,63.3,0,0
e non era certo la prima volta,non e questa la prima volta,79.6296,0.8067,0.6667,53.7,0,0
nonostante il coinvolgimento di microsoft le macchine basate su msx erano raramente viste negli stati uniti e in gran bretagna ma erano popolari in altri mercati,nonostante il coinvolgimento di microsoft le macchine basate su msx erano raramente utilizzate negli stati uniti e in altri paesi in gran bretagna ma erano popolari in altri mercato,46.0221,0.8131,0.6667,52.8,0,0
le cache si sono dimostrate estremamente efficaci in molte aree dell' informatica perché i modelli di accesso nelle tipiche applicazioni informatiche hanno località di riferimento,le cache si sono dimostrate estremamente efficaci in molte aree dell'informatica perche i modelli di accesso in tutte le aree sono disponibili in molte luoghi,37.9062,0.2175,0.1429,7.4,0,0
e forse l equivoco nasce proprio qui,e qui nasce la equivoco,60.7804,0.75,0.5,42.7,0,0
wabash è una città degli stati uniti d' america nella contea di wabash,wabash e una citta dell'oklahoma negli stati uniti,19.1518,0.3221,0.1333,11.6,0,0
a firenze vasari costruì anche il lungo passaggio ora chiamato corridoio vasariano che collega gli uffizi con palazzo pitti dall' altra parte del fiume,vasari costrui anche un lungo ponte ora chiamato corridoio vasariano,38.6256,0.1486,0.08,4.2,0,0
ad esempio la sua produzione sull' album di debutto   1 made of bricks di kate nash includeva un credito di scrittura sul singolo di successo   foundations nel 2008 paul epworth ha prodotto gran parte dell' omonimo album di debutto di sam sparro che è entrato nelle classifiche degli album del regno unito al numero 4 e nel singolo primal scream   cant go back insieme alla title track del loro recente album beautiful future,ha anche fatto molti album di successo con il singolo di debutto 1 made of bricks nel 2008 paul epworth ha anche cantato in alcune delle classifiche degli album del regno unito tra cui sam sparrow e vau go back,40.0206,0.351,0.1972,8.3,0,0
nella prima immunity challenge il giovane ulong ha lottato mentre jolanda insisteva per prendere tutto nella discarica lasciando l' anziano koror con il comando e alla fine vincere la sfida,nella prima immunity challenge il giovane ulong ha lottato mentre jolanda insisteva per prendere tutto nella discarica lasciando l'anziano koror con il comando di una sfida,33.4381,0.4779,0.3214,24.1,0,0
quest' ultimo situato nella parte centrale del talamanca range a circa 30 km a nord-est dalla città di san isidro del general protegge un certo numero di importanti ecosistemi sul versante del pacifico costaricano,questo si trova nella parte centrale del talamanca a circa 30 km a nord - est della citta di san isidro del golfo del messico,46.3729,0.4651,0.3243,12.0,0,0
attualmente il dmb viene utilizzato in un certo numero di paesi anche se utilizzato principalmente in corea del sud,ora la trasmissione multimediale digitale e divisa dalla trasmissione e dal metodo di ricezione del dmb terrestre e della trasmissione satellitare il dmb satellitare e fornito gratuitamente come l'attuale trasmissione radio terrestre e la trasmissione satellitare dmb e fornita sotto forma di canone mensile,57.137,0.298,0.1176,7.0,0,0
campigny è un comune francese del dipartimento di calvados nella regione di basse-normandie,campigny calvados e un comune francese situato nella regione basse - normandie nel dipartimento di calvados nel nord ovest della francia,61.0108,0.7898,0.7895,50.3,0,0
il college di spurgeon è un istituto teologico di istruzione superiore situato a south norwood hill londra,il collegio di spurgeon e un istituto teologico di londra si trova a south norwood hill londra,55.5737,0.8255,0.5833,35.9,0,0
ma questa è un utopia,ma quest ultima e un utopia,43.0556,0.3676,0.25,16.2,0,0
questi reperti hanno mostrato che le uova in questione probabilmente appartenevano a oviraptor stesso e che l' esemplare stava effettivamente covando le sue uova,questi reperti hanno mostrato che le uova in questione erano appartenute a oviraptor stesso e che il suo larve stava covando le sue uova,39.5577,0.118,0.0714,3.3,0,0
posto ai voti viene respinto l emendamento 30.0.13,posto ai voti l emendamento 3. 0. 13 viene respinto,73.0952,0.8236,1.0,36.5,0,0
ringraziando- la della cortese attenzione porgiamo distinti saluti,ringrazio per l attenzione e porgo distinti saluti,95.1032,0.898,0.9333,88.2,0,0
charritte de-bas è un comune francese situato nel dipartimento di pyrénées-atlantiques,charritte de - bas e un comune francese di 182 abitanti situato nel dipartimento di pyrenees - atlantiques nella parte sud occidentale della francia,46.9083,0.8144,0.7222,44.2,0,0
così c è un pò tutto,ma c e un ma,51.9444,0.75,0.5714,30.2,0,0
anche se il basilico crescerà meglio all' aperto può essere coltivato all' interno in una pentola e come la maggior parte delle erbe farà meglio su un davanzale rivolto all' equatore,le piante di solito crescono all'aperto in una pentola e come la maggior parte delle erbe puo essere coltivato all'interno di una pentola,24.7441,0.3555,0.3396,20.7,0,0
la cellulite è una descrizione piuttosto che un oggetto fisico,la cellulite e una forma di nudo corpo umano,64.8604,0.1063,0.0541,1.0,0,0
uno dei suoi grandi amori è il cinema,il suo grande amori e il cinema,55.9722,0.6148,0.4,18.6,0,0
il carcinoma midollare renale è stato definito   la settima nefropatia a cellule falciformi perché si trova quasi esclusivamente in individui con tratto a cellule falciformi o occasionalmente in quelli con malattia a cellule falciformi,il carcinoma midollare e la settima nefropatia a cellule falciforme perche si trova quasi esclusivamente in una malattia delle falci 5,37.6252,0.2414,0.125,6.2,0,0
forse i tempi non sono ancora maturi,non erano maturi i tempi,100.0,0.996,1.0,100.0,0,0
non è assolutamente così,non deve essere assolutamente cosi,73.254,0.7938,0.75,66.9,0,0
al censimento del 2006 peechelba e l' area circostante avevano una popolazione di 116 abitanti,nel 2006 c'erano una popolazione di 116 persone che vivevano in citta,44.4116,0.4006,0.48,21.3,0,0
rende tutto più difficile,rende tutto piu difficile,11.3095,0.4406,0.25,21.4,0,0
e questo è un conto  ,ed e un conto salatissimo,43.0556,0.375,0.2857,21.4,0,0
quante sono le possibili soluzioni,sono le uniche soluzioni possibili,100.0,0.996,1.0,100.0,0,0
il ponte fatih sultan mehmet noto anche come secondo ponte sul bosforo è un ponte a istanbul in turchia che attraversa lo stretto del bosforo,il ponte sul bosforo e un ponte a istanbul in turchia,45.2139,0.4505,0.3846,17.3,0,0
ecco una cosa è certa,un altra cosa e certa,17.3611,0.2,0.0,12.7,0,0
ci sono due specie viventi di chinchilla chinchilla brevicaudata e chinchilla lanigera,chinchilla e una specie viventi viventi di chin wanderer,20.0926,0.1852,0.0,5.4,0,0
altre nazioni avevano definizioni diverse del miglio nautico ma ora è definito a livello internazionale per essere esattamente 1.852 metri,altre nazioni avevano diverse definizione di miglio nautico ma ora solo nel 2000 e stato definito a livello internazionale per essere 1. 852 metri,33.2181,0.3509,0.1935,3.8,0,0
è stato singolarmente importante nello sviluppo e nella raccolta di arte modernista ed è spesso identificato come il museo più influente di arte moderna nel mondo,fu uno dei museo piu importanti e influenti dell'arte moderna,40.3072,0.0847,0.1,4.1,0,0
questo tuttavia non è sufficiente,ma non poteva essere sufficiente,69.6296,0.535,0.2222,20.8,0,0
per il momento non si può far nulla,per il momento non puo fare nulla,71.4646,0.8413,0.6667,48.9,0,0
molte erano però le questioni sul tappeto,la questione e pero sul tappeto,28.5119,0.3125,0.2,16.2,0,0
ma come è possibile,ma come e stato possibile,66.6667,0.5111,0.25,23.6,0,0
dino diede un’ occhiata al sasso e disse loro che era popò di cane essiccata,dino diede un ’ occhiata al sasso e disse loro che era popo di cane essiccata,25.4178,0.9364,0.8571,56.8,0,0
la televisione crea dramma e cerca di fare sesso con lo sport ha detto e non è di questo che si tratta,ha detto che la televisione aggiunge dramma inutile e sesso su questo sport,34.5458,0.5476,0.2857,12.9,0,0
è meglio conosciuto per la sua abilità spettacolare a caccia di uccelli in grado di strappare un uccello in volo a volte più di uno alla volta,e meglio conosciuto per la sua abilita nel caccia di uccelli in grado di strappare un uccello in volo a volte piu di uno alla volta,43.6145,0.6174,0.5106,44.8,0,0
le risposte dovrebbero essere ovvie immediate,le risposte devono essere ovvie,61.1111,0.2435,0.1818,11.7,0,0
ma ci sono anche stavolta le sue ragioni,ma ci sono altre ragioni,51.3889,0.5111,0.25,23.6,0,0
la dieta della maggior parte dei cetrioli consiste di plancton e materia organica in decomposizione che si trovano nel mare alcuni cetrioli di mare si posizionano in correnti e catturano il cibo che scorre con i loro tentacoli aperti,questi cetrioli sono ricchi di plancton e possono essere trovati nel mare,46.6408,0.2151,0.0,4.8,0,0
non senti che buon odore,non sentivo che era un buon odore,43.6508,0.2326,0.0,7.8,0,0
nessun numero razionale è trascendentale e tutti i numeri trascendentali reali sono irrazionali tuttavia alcuni numeri irrazionali non sono trascendentali,ogni numero razionale e trascendentale,59.0675,0.1948,0.2,13.0,0,0
la parola ha molti usi in lingua inglese che significa popolarmente conoscenza del paranormale in contrasto con conoscenza del misurabile di solito indicato come scienza,la parola ha molti usi in lingua inglese che significa conoscenza del paranormale,52.5177,0.7723,0.56,31.5,0,0
è monotipica all' interno del genere glirulus,il genere e monometrico,36.3889,0.0658,0.0,7.5,0,0
intorno al 1280 giotto seguì cimabue a roma dove vi era una scuola di pittori di affreschi di cui il più famoso fu pietro cavallini,intorno al 1280 giotto segui cimabue a roma una scuola di pittori i piu famosi fu pietro cavallini,42.3985,0.4464,0.2857,14.9,0,0
non lo avrei fatto,e non lo avevamo fatto apposta,60.8995,0.4259,0.2,18.0,0,0
entrambi rimangono senza nome tranne che come mamma e papà o nomi di animali domestici come miele e caro tra di loro,entrambi rimangono senza nome tranne che per come mamma e papa o anche per miele e carota,32.4055,0.2976,0.0741,5.8,0,0
un talon è l' artiglio di un uccello da preda il suo strumento di caccia principale,un talon e l'artiglio di un uccello che preda il suo preda principale,25.7538,0.4288,0.4,14.6,0,0
questo è il mio pensiero,questo e il mio personale pensiero,41.2963,0.8067,0.6667,53.7,0,0
le prospettive non sono rosee anzi,le prospettive non sono rosee,60.1058,0.6727,0.6667,54.8,0,0
la candidosi è una causa molto comune di irritazione vaginale o vaginite e può verificarsi anche sui genitali maschili,la candidosi e una causa di irritazione vaginale puo verificarsi anche sui geni maschili,23.0039,0.5512,0.3478,15.5,0,0
tuttavia può essere difficile reintrodurre le specie di ew in natura anche se i loro habitat naturali sono stati ripristinati perché le tecniche di sopravvivenza che normalmente vengono passate dai genitori alla prole durante la genitorialità possono essere perse,tuttavia e stato difficile ricontrollare le specie di ew in natura anche se i loro habitat naturali sono stati ripristinati perche le tecniche di sopravvivenza che normalmente vengono utilizzate per la prole durante la genitoriali possono essere perse,36.4478,0.6146,0.4474,40.9,0,0
qui poi la qualità della vita è bella,e la qualita della vita,25.5556,0.3319,0.2,13.0,0,0
non avrei avuto abbastanza soldi,non ho avuto i soldi,62.5,0.1,0.0,10.7,0,0
batman returns sarebbe stato l' ultimo film della serie di batman con tim burton e michael keaton rispettivamente come regista e attore protagonista,batman returns e stato l'ultimo film della serie di batman con timatns,40.576,0.2498,0.1333,5.7,0,0
qual è stata finora la tua esperienza a riguardo,qual e stata la tua esperienza al riguardo,41.1177,0.632,0.4286,33.8,0,0
probabilmente è la stessa cosa,e proprio la stessa cosa,61.3095,0.3824,0.4,21.8,0,0
davanti ci sono un centinaio di persone,ci sono un centinaio di persone che sono interessate,44.7619,0.501,0.3077,13.5,0,0
come si mette in pratica,come si puo mettere in pratica,75.6944,0.8067,0.6,38.0,0,0
invece ho potuto constatar- lo di persona,possiamo invece veder - lo di persona,19.3452,0.4827,0.4,24.4,0,0
nel 1945 guidò l' orchestra in sessioni di registrazione della grand canyon suite di ferde grofé nella carnegie hall e an american a parigi di george gershwin nello studio 8-h della nbc,nel 1945 e andato in registrazioni per la grand canyon suite di ferde grofe nella carnegie hall e an american a parigi,33.171,0.3796,0.2273,14.1,0,0
james mercer langston hughes è stato un poeta americano romanziere drammaturgo scrittore di racconti brevi e editorialista,james confer e stato uno scrittore e poeta statunitense,20.9805,0.1481,0.0,3.9,0,0
new south wales national parks and wildlife service hanno un centro di informazione turistica nella città,new york wales national parks and wildlife service hanno un centro di informazione turistica gratuito nella citta,29.9449,0.6511,0.3871,34.3,0,0
parere favorevole con osservazioni si riprende l esame sospeso nella seduta del 6 novembre,parere favorevole con osservazioni riprende l esame sospeso nella seduta del 6 novembre scorso,100.0,0.9998,1.0,100.0,0,0
screamers è un film documentario pubblicato all' inizio del 2007,screamers e un film d'animazione del 2007,29.7373,0.12,0.0714,1.4,0,0
tipicamente come una questione di generare spirito scolastico l istituzione utilizza ufficialmente o ufficiosamente questo soprannome delle squadre atletiche dell istituzione anche come soprannome per riferirsi a persone associate all istituzione in particolare i suoi studenti attuali ma anche spesso i suoi alunni la sua facoltà e la sua amministrazione pure,l'istituzione della scuola utilizza ufficialmente questo soprannome quando si parla di persone atletiche dell'istituzione anche se spesso i suoi studenti la sua facolta e la sua amministrazione,36.7272,0.3066,0.1702,7.1,0,0
questa è veramente una contraddizione in termini,e una contraddizione in termini,62.963,0.7938,0.8571,66.9,0,0
bah dove sta il problema,dove sta il tuo problema,41.3889,0.75,0.5,42.7,0,0
ma c è anche un altra conseguenza,e poi le conseguenze sono diverse,60.4762,0.1961,0.0,9.7,0,0
torcieu è un comune francese situato nel dipartimento di ain,torcieu e un comune,38.0952,0.6389,0.4,35.4,0,0
scoprì il fiume bogan e poi all' inizio del 1829 il darling superiore che prese il nome dal governatore,scopri il fiume bogan e nel 1829 il darling superiore al governo britannico diede il nome al governatore bogan,49.2108,0.6807,0.5,41.0,0,0
e quali ne sono le conseguenze,quali sono le sue conseguenze,50.3241,0.75,0.5,42.7,0,0
non devo proprio fare niente,non potevamo fare assolutamente niente,61.3095,0.3,0.0,14.1,0,0
anche questo non è un problema,non e un nostro problema,40.6151,0.2542,0.0,11.5,0,0
nella fase 19 della cronometro individuale è riuscito a sfidare le aspettative e mantenere la maglia gialla con un margine di soli 23 secondi rispetto allo sfidante cadel evans e 31 secondi rispetto al compagno di squadra levi leipheimer,nella fase 19 della cronometro individuale e riuscito a sconfiggere le aspettative e mantenere la maglia gialla con un po ’ di ritardo rispetto allo sfidante cadel evans e 31 secondi rispetto al compagno di squadra cadel,38.0236,0.2476,0.129,6.2,0,0
e l elenco potrebbe essere lunghissimo,e l elenco puo essere lungo,60.4167,0.5773,0.5,30.2,0,0
l' unc charlotte anche se nella contea di mecklenburg si trova nei pressi di harrisburg ed è facilmente accessibile ai residenti di cabarrus tramite l' interstate 85,l'unc charlotte anche se nella contea di micklenburg e vicino ai residenti di cabarrushburg,36.8527,0.1617,0.1714,6.3,0,0
vorrei cortesemente avere un suo parere in merito,volevo un tuo parere in merito,47.2222,0.3125,0.2,16.2,0,0
la ritrattistica si tinge di naturalismo sotto l' influenza dell' arte romana,la ritrattistica si tinge di naturalismo sotto l'influenza dell'arte romana,8.9812,0.2736,0.56,10.8,0,0
non sarà una donna,non e una donna azzurra,70.0,0.535,0.25,20.8,0,0
i piatti tradizionali coreani sono noti per il numero di contorni che accompagnano il riso a grani corti cotto al vapore,i piatti tradizionali coreani sono conosciuti come contorni con il riso a grani corti servito al vapore,36.7942,0.2311,0.0645,5.8,0,0
questo è un aspetto importante,questo e un altro aspetto molto importante,56.8519,0.8413,0.7273,64.3,0,0
a questo punto le larve vivranno del loro notevole grasso immagazzinato fino a quando non saranno pronte per la caccia,a questo punto le larve vivono del loro grasso immagazzinato fino a quando non avranno la caccia per la caccia,49.1477,0.7361,0.5263,39.0,0,0
nel 1850 carcoar era la seconda città più popolosa ad ovest delle montagne seconda per dimensioni solo a bathurst e divenne un centro bancario e amministrativo per l' area,nel 1850 carcoar era la seconda citta piu grande ad ovest delle montagne e divenne un centro bancario e amministrativo per l'area,49.2934,0.5993,0.45,38.3,0,0
sette dei seggi democratici erano in stati che sono andati per il candidato presidenziale repubblicano mitt romney nel 2012 contro obama tra cui arkansas montana south dakota e west virginia,i seggi sono stati per il governatore repubblicano mitt romney e il candidato repubblicano per il partito,32.8366,0.2231,0.0541,4.7,0,0
ma non è certo questa una sorpresa,non e una bella sorpresa,66.7659,0.75,0.5714,42.7,0,0
ovviamente questi problemi essenziali non possono essere affrontati qui,alcuni problemi non sono risolti,63.8889,0.0735,0.0,7.2,0,0
hanno girato gli stati uniti costantemente quell' anno anche se alla fine di esso todd se ne andò,hanno girato gli stati uniti da allora,32.2115,0.3113,0.381,17.0,0,0
per ulteriori informazioni visitate questo sito,per ulteriori informazioni visita il sito,87.619,0.8535,0.7273,67.3,0,0
ma si deve fare di più,tuttavia dobbiamo fare di piu,71.8056,0.7938,0.75,66.9,0,0
prima che emanuele potesse rendersi conto di cosa stava accadendo alberto gli strappò il guinzaglio di mano e con un grande splash si buttò in acqua,prima che emanuele pubblicasse il libro alberto gli strappo il guinzaglio di mano e con un grande splash si butto in acqua,30.3851,0.3014,0.1176,7.3,0,0
sembrano diverse ma sono sempre quelle le stesse,sembra strano ma sono sempre le stesse,49.5833,0.7114,0.6667,61.5,0,0
tuttavia vari leader successivi ibadi sono riconosciuti come veri imam tra cui abdullah ibn yahya al-kindi dell' arabia meridionale e gli imam della dinastia rustamid in nord africa,altri leader successivi includono abdullah ibn yahya al - kindi dell'arabia meridionale e gli imam della dinastia rustamid,19.5859,0.3848,0.5333,11.4,0,0
anche se naturale al pianoforte basie preferiva la batteria,sembrava che naturale al pianoforte basie preferiva la batteria,44.4444,0.354,0.2,9.1,0,0
ringwood è una città degli stati uniti d' america nella contea di major,ringwood e una citta dell'oklahoma negli stati uniti,42.423,0.4551,0.5333,20.6,0,0
florida championship wrestling è una promozione di wrestling professionale basata sull' ex championship wrestling indipendente dalla promozione della florida che operò dal 1961 al 1987,florida championship wrestling e una promozione di wrestling professionistico in florida che si e svolta dal 1961 al 1987,43.0388,0.5736,0.3871,20.4,0,0
non è e non sarà così naturalmente,cosi non e cosi non puo essere,51.9444,0.2143,0.0,8.6,0,0
ma desso fu una necessità,ma era proprio una necessita,54.4643,0.375,0.2857,21.4,0,0
edwin van der sar è un calciatore olandese che gioca come portiere per il manchester united,edwin van der sar e un calciatore olandese gioca per il manchester united,41.3763,0.8139,0.5556,28.0,0,0
quali sono ora i tuoi obiettivi,quali sono i tuoi obiettivi professionali,100.0,0.9977,1.0,100.0,0,0
